Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,TownSquareJeddah,Egyptian,00:00,StandardPremium,"1,383₹",58,0
SaudiArabia,TownSquareJeddah,Egyptian,00:00,Standard,"1,170₹",80,0
SaudiArabia,RedSeaMallJeddah,Egyptian,00:55,StandardPremium,"1,383₹",66,0
SaudiArabia,RedSeaMallJeddah,Egyptian,00:55,Standard,"1,170₹",60,0
SaudiArabia,RedSeaMallJeddah,Egyptian,00:55,StandardWheelchairSpace,"1,170₹",3,0
SaudiArabia,RedSeaMallJeddah,Egyptian,01:50,GoldStandard,"2,340₹",48,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,02:00,StandardPremium,"1,383₹",65,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,02:00,Standard,"1,170₹",70,3
SaudiArabia,RedSeaMallJeddah,Egyptian,07:30,StandardPremium,"1,383₹",66,0
SaudiArabia,RedSeaMallJeddah,Egyptian,07:30,Standard,"1,170₹",60,0
SaudiArabia,RedSeaMallJeddah,Egyptian,07:30,StandardWheelchairSpace,"1,170₹",3,0
SaudiArabia,TheRoofRiyadh,Egyptian,07:45,StandardPremium,"1,383₹",52,0
SaudiArabia,TheRoofRiyadh,Egyptian,07:45,Standard,"1,170₹",35,0
SaudiArabia,KingdomCentreRiyadh,Egyptian,08:00,VipStandard,"3,191₹",30,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,08:15,StandardPremium,"1,383₹",45,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,08:15,Standard,"1,170₹",46,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,08:45,StandardPremium,"1,383₹",65,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,08:45,Standard,"1,170₹",70,3
Egypt,CityCentreAlmaza,Egyptian,09:00,StandardPremium,493₹,37,5
Egypt,CityCentreAlmaza,Egyptian,09:00,Standard,452₹,50,0
Egypt,MallOfEgypt,Egyptian,09:00,Standard,452₹,129,0
Egypt,MallOfEgypt,Egyptian,09:00,StandardPremium,493₹,70,14
SaudiArabia,TownSquareJeddah,Egyptian,10:00,StandardPremium,"1,383₹",58,0
SaudiArabia,TownSquareJeddah,Egyptian,10:00,Standard,"1,170₹",80,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,10:30,StandardPremium,"1,383₹",45,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,10:30,Standard,"1,170₹",46,0
SaudiArabia,RiyadhParkRiyadh,Egyptian,10:30,StandardPremium,"1,383₹",32,0
SaudiArabia,RiyadhParkRiyadh,Egyptian,10:30,Standard,"1,170₹",32,0
Bahrain,CityCentreBahrain,Egyptian,11:00,Standard,827₹,130,1
SaudiArabia,TheEsplanadeRiyadh,Egyptian,11:30,StandardPremium,"1,383₹",89,0
SaudiArabia,TheEsplanadeRiyadh,Egyptian,11:30,Standard,"1,170₹",66,0
Egypt,CityCentreAlmaza,Egyptian,11:30,StandardPremium,493₹,37,5
Egypt,CityCentreAlmaza,Egyptian,11:30,Standard,452₹,50,0
Egypt,MallOfEgypt,Egyptian,11:30,Standard,452₹,129,0
