Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,08:00,StandardPremium,"1,378₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,08:00,Standard,"1,166₹",16,2
Uae,MallOfTheEmirates,English,08:20,StandardPremium,"1,041₹",48,10
Bahrain,CityCentreBahrain,English,08:30,Standard,824₹,109,2
Uae,YasMallAbuDhabi,English,08:35,Standard,868₹,31,0
Uae,YasMallAbuDhabi,English,08:35,StandardPremium,"1,106₹",49,4
Qatar,DohaFestivalCity,English,09:10,Standard,875₹,22,0
Qatar,DohaFestivalCity,English,09:10,StandardPremium,"1,094₹",37,3
Kuwait,TheAvenuesKuwait,English,09:25,StandardPremiumFamily,"1,163₹",15,0
Kuwait,TheAvenuesKuwait,English,09:25,StandardStandardFamily,904₹,10,0
Kuwait,TheAvenuesKuwait,English,09:25,StandardPremiumBachelor,"1,163₹",12,1
Kuwait,TheAvenuesKuwait,English,09:25,StandardStandardBachelor,904₹,10,0
Uae,TheGalleriaAlMaryahIsland,English,11:20,StandardPremium,"1,106₹",26,0
Uae,TheGalleriaAlMaryahIsland,English,11:20,Standard,868₹,14,0
SaudiArabia,RiyadhFrontRiyadh,English,12:00,StandardPremium,"1,378₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,12:00,Standard,"1,166₹",16,2
Bahrain,CityCentreBahrain,English,12:30,Standard,824₹,109,2
Uae,CityCentreMirdif,English,12:30,StandardPremium,"1,041₹",29,3
Uae,CityCentreMirdif,English,12:30,Standard,797₹,25,0
Qatar,DohaOasis,English,12:45,Standard,985₹,43,0
Qatar,DohaFestivalCity,English,13:40,Standard,875₹,22,1
Qatar,DohaFestivalCity,English,13:40,StandardPremium,"1,094₹",37,5
Uae,YasMallAbuDhabi,English,15:05,Standard,868₹,31,0
Uae,YasMallAbuDhabi,English,15:05,StandardPremium,"1,106₹",49,11
SaudiArabia,RiyadhFrontRiyadh,English,16:00,StandardPremium,"1,378₹",31,2
SaudiArabia,RiyadhFrontRiyadh,English,16:00,Standard,"1,166₹",16,2
Bahrain,CityCentreBahrain,English,16:30,Standard,824₹,109,5
Uae,TheGalleriaAlMaryahIsland,English,16:30,StandardPremium,"1,106₹",26,6
Uae,TheGalleriaAlMaryahIsland,English,16:30,Standard,868₹,14,7
Uae,MallOfTheEmirates,English,17:00,StandardPremium,"1,041₹",48,14
Uae,CityCentreMirdif,English,17:10,StandardPremium,"1,041₹",29,5
Uae,CityCentreMirdif,English,17:10,Standard,797₹,25,0
Qatar,DohaOasis,English,17:20,Standard,985₹,43,0
Kuwait,TheAvenuesKuwait,English,17:30,StandardPremiumFamily,"1,163₹",15,7
Kuwait,TheAvenuesKuwait,English,17:30,StandardStandardFamily,904₹,10,0
Kuwait,TheAvenuesKuwait,English,17:30,StandardPremiumBachelor,"1,163₹",12,4
Kuwait,TheAvenuesKuwait,English,17:30,StandardStandardBachelor,904₹,10,0
Qatar,DohaFestivalCity,English,18:10,Standard,875₹,22,0
Qatar,DohaFestivalCity,English,18:10,StandardPremium,"1,094₹",37,5
Kuwait,TheAvenuesKuwait,English,19:30,Standard,"1,163₹",49,6
Kuwait,TheAvenuesKuwait,English,19:35,StandardPremiumFamily,"1,163₹",15,0
Kuwait,TheAvenuesKuwait,English,19:35,StandardStandardFamily,904₹,10,0
Kuwait,TheAvenuesKuwait,English,19:35,StandardPremiumBachelor,"1,163₹",12,1
Kuwait,TheAvenuesKuwait,English,19:35,StandardStandardBachelor,904₹,10,0
Bahrain,CityCentreBahrain,English,20:30,Standard,824₹,109,7
Kuwait,TheAvenuesKuwait,English,22:20,StandardPremiumFamily,"1,163₹",15,4
Kuwait,TheAvenuesKuwait,English,22:20,StandardStandardFamily,904₹,10,0
Kuwait,TheAvenuesKuwait,English,22:20,StandardPremiumBachelor,"1,163₹",12,2
Kuwait,TheAvenuesKuwait,English,22:20,StandardStandardBachelor,904₹,10,0
