Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,Arabic,00:00,StandardPremium,"1,414₹",34,0
SaudiArabia,RiyadhParkRiyadh,Arabic,00:00,Standard,"1,196₹",41,8
SaudiArabia,RiyadhFrontRiyadh,Arabic,00:15,StandardPremium,"1,414₹",31,21
SaudiArabia,RiyadhFrontRiyadh,Arabic,00:15,Standard,"1,196₹",16,2
Bahrain,CityCentreBahrain,Arabic,07:45,Standard,846₹,116,5
Lebanon,CityCentreBeirut,Arabic,08:00,Standard,"6,489₹",134,3
Lebanon,CityCentreBeirut,Arabic,08:00,StandardPremium,"7,030₹",161,2
SaudiArabia,KingdomCentreRiyadh,Arabic,08:00,VipStandard,"3,264₹",30,8
SaudiArabia,RiyadhParkRiyadh,Arabic,08:00,StandardPremium,"1,414₹",34,0
SaudiArabia,RiyadhParkRiyadh,Arabic,08:00,Standard,"1,196₹",41,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,08:15,StandardPremium,"1,414₹",65,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,08:15,Standard,"1,196₹",70,6
Lebanon,CityCentreBeirut,Arabic,08:45,Standard,"6,489₹",85,7
Lebanon,CityCentreBeirut,Arabic,08:45,StandardPremium,"7,030₹",66,4
Kuwait,TheAvenuesKuwait,Arabic,09:20,MaxPremium,"1,317₹",237,28
SaudiArabia,RedSeaMallJeddah,Arabic,09:20,StandardPremium,"1,414₹",66,3
SaudiArabia,RedSeaMallJeddah,Arabic,09:20,Standard,"1,196₹",60,0
SaudiArabia,RedSeaMallJeddah,Arabic,09:20,StandardWheelchairSpace,"1,196₹",3,0
Uae,TheGalleriaAlMaryahIsland,Arabic,09:30,StandardPremium,"1,137₹",32,2
Uae,TheGalleriaAlMaryahIsland,Arabic,09:30,Standard,892₹,18,0
Uae,YasMallAbuDhabi,Arabic,09:30,Standard,892₹,60,4
Uae,YasMallAbuDhabi,Arabic,09:30,StandardPremium,"1,137₹",71,7
Uae,MallOfTheEmirates,Arabic,09:45,Standard,819₹,35,0
Uae,MallOfTheEmirates,Arabic,09:45,StandardPremium,"1,070₹",42,5
Uae,Mercato,Arabic,09:45,Standard,819₹,54,4
Uae,Mercato,Arabic,09:45,StandardPremium,"1,287₹",64,6
SaudiArabia,RedSeaMallJeddah,Arabic,09:45,GoldStandard,"2,393₹",48,8
SaudiArabia,RiyadhFrontRiyadh,Arabic,10:00,GoldStandard,"3,264₹",12,5
Uae,CityCentreMirdif,Arabic,10:15,StandardPremium,"1,070₹",71,14
Uae,CityCentreMirdif,Arabic,10:15,Standard,819₹,70,2
SaudiArabia,AlQasrMallRiyadh,Arabic,10:15,StandardPremium,"1,414₹",27,0
SaudiArabia,AlQasrMallRiyadh,Arabic,10:15,Standard,"1,196₹",26,0
SaudiArabia,AtyafMallRiyadh,Arabic,10:15,Standard,"1,196₹",19,0
SaudiArabia,AtyafMallRiyadh,Arabic,10:15,StandardPremium,"1,414₹",22,0
SaudiArabia,TownSquareJeddah,Arabic,10:15,StandardPremium,"1,414₹",76,3
SaudiArabia,TownSquareJeddah,Arabic,10:15,Standard,"1,196₹",75,1
SaudiArabia,TheRoofRiyadh,Arabic,10:30,StandardPremium,"1,414₹",32,2
SaudiArabia,TheRoofRiyadh,Arabic,10:30,Standard,"1,196₹",20,0
Uae,CityCentreFujairah,Arabic,10:45,Standard,819₹,56,2
Uae,CityCentreFujairah,Arabic,10:45,StandardPremium,"1,070₹",64,0
Lebanon,CityCentreBeirut,Arabic,10:45,Standard,"6,489₹",134,1
Lebanon,CityCentreBeirut,Arabic,10:45,StandardPremium,"7,030₹",161,16
SaudiArabia,RiyadhParkRiyadh,Arabic,10:45,StandardPremium,"1,414₹",34,1
SaudiArabia,RiyadhParkRiyadh,Arabic,10:45,Standard,"1,196₹",41,0
Kuwait,TheAvenuesKuwait,Arabic,10:50,TheatreStandard,"2,897₹",23,8
Oman,CityCentreMuscat,Arabic,10:50,Standard,671₹,36,7
Lebanon,CityCentreBeirut,Arabic,11:00,GoldStandard,"8,923₹",30,17
SaudiArabia,RiyadhFrontRiyadh,Arabic,11:00,StandardPremium,"1,414₹",65,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,11:00,Standard,"1,196₹",70,3
SaudiArabia,SaharaMallRiyadh,Arabic,11:00,Standard,"1,196₹",32,3
SaudiArabia,SaharaMallRiyadh,Arabic,11:00,StandardPremium,"1,414₹",38,0
Uae,WafiMallAtWafiCity,Arabic,11:15,Standard,819₹,52,2
Uae,WafiMallAtWafiCity,Arabic,11:15,StandardPremium,"1,070₹",91,7
Bahrain,VoxCinemasTheAvenues,Arabic,11:15,Standard,955₹,96,3
Bahrain,VoxCinemasTheAvenues,Arabic,11:15,StandardPremium,"1,193₹",32,8
Lebanon,CityCentreBeirut,Arabic,11:30,Standard,"6,489₹",85,18
Lebanon,CityCentreBeirut,Arabic,11:30,StandardPremium,"7,030₹",66,10
Oman,CityCentreQurum,Arabic,11:30,Standard,784₹,42,2
Oman,CityCentreQurum,Arabic,11:30,StandardPremium,960₹,53,4
Oman,CityCentreSuhar,Arabic,11:30,Standard,671₹,56,0
Oman,CityCentreSuhar,Arabic,11:30,StandardPremium,784₹,41,5
Uae,CityCentreDeira,Arabic,11:40,Standard,819₹,54,0
Uae,CityCentreDeira,Arabic,11:40,StandardPremium,"1,070₹",50,2
Uae,CityCentreDeira,Arabic,11:45,GoldStandard,"2,107₹",32,2
Uae,WafiMallAtWafiCity,Arabic,12:00,GoldStandard,"2,107₹",42,7
Lebanon,CityCentreBeirut,Arabic,12:00,GoldStandard,"8,923₹",22,19
Kuwait,TheAvenuesKuwait,Arabic,12:10,TheatreStandard,"2,897₹",18,16
Kuwait,TheAvenuesKuwait,Arabic,12:15,MaxPremium,"1,317₹",236,46
Uae,TheGalleriaAlMaryahIsland,Arabic,12:15,StandardPremium,"1,135₹",32,4
Uae,TheGalleriaAlMaryahIsland,Arabic,12:15,Standard,890₹,18,0
Uae,YasMallAbuDhabi,Arabic,12:20,Standard,890₹,60,3
Uae,YasMallAbuDhabi,Arabic,12:20,StandardPremium,"1,135₹",71,7
SaudiArabia,JubailGalleriaMallJubail,Arabic,12:20,Standard,"1,414₹",85,1
Uae,CityCentreAjman,Arabic,12:30,Standard,895₹,45,3
Uae,CityCentreAjman,Arabic,12:30,StandardPremium,"1,157₹",29,2
Uae,MallOfTheEmirates,Arabic,12:45,Standard,817₹,35,2
Uae,MallOfTheEmirates,Arabic,12:45,StandardPremium,"1,068₹",42,17
Uae,Mercato,Arabic,12:45,Standard,817₹,54,2
Uae,Mercato,Arabic,12:45,StandardPremium,"1,285₹",64,0
Bahrain,CityCentreBahrain,Arabic,12:45,Standard,845₹,116,12
Uae,TheGalleriaAlMaryahIsland,Arabic,12:55,StandardPremium,"1,135₹",29,3
Uae,TheGalleriaAlMaryahIsland,Arabic,12:55,Standard,890₹,26,4
Uae,CityCentreMirdif,Arabic,13:00,StandardPremium,"1,068₹",71,13
Uae,CityCentreMirdif,Arabic,13:00,Standard,817₹,70,4
Uae,NationTowersAbuDhabi,Arabic,13:00,StandardPremium,"1,379₹",59,0
Uae,NationTowersAbuDhabi,Arabic,13:00,Standard,890₹,52,0
