Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,MallOfTheEmirates,Tagalog,08:30,StandardPremium,"1,154₹",32,0
Uae,MallOfTheEmirates,Tagalog,08:30,StandardPreferredView,"1,221₹",16,4
Uae,Burjuman,Tagalog,09:20,Standard,932₹,41,1
Uae,CityCentreDeira,Tagalog,09:40,StandardPremium,"1,154₹",26,0
Uae,CityCentreDeira,Tagalog,09:40,Standard,932₹,55,0
Uae,CityCentreDeira,Tagalog,09:40,StandardPreferredView,"1,221₹",24,0
Uae,Burjuman,Tagalog,11:40,Standard,932₹,41,2
Uae,CityCentreDeira,Tagalog,12:00,StandardPremium,"1,154₹",26,3
Uae,CityCentreDeira,Tagalog,12:00,Standard,932₹,55,0
Uae,CityCentreDeira,Tagalog,12:00,StandardPreferredView,"1,221₹",24,0
Uae,Burjuman,Tagalog,14:00,Standard,939₹,41,0
Uae,MallOfTheEmirates,Tagalog,14:00,StandardPremium,"1,163₹",32,1
Uae,MallOfTheEmirates,Tagalog,14:00,StandardPreferredView,"1,230₹",16,4
Uae,CityCentreMirdif,Tagalog,14:15,StandardPremium,"1,163₹",24,1
Uae,CityCentreMirdif,Tagalog,14:15,StandardPreferredView,"1,230₹",14,0
Uae,CityCentreDeira,Tagalog,14:20,StandardPremium,"1,163₹",26,0
Uae,CityCentreDeira,Tagalog,14:20,Standard,939₹,55,0
Uae,CityCentreDeira,Tagalog,14:20,StandardPreferredView,"1,230₹",24,0
SaudiArabia,RiyadhFrontRiyadh,Tagalog,15:45,StandardPremium,"1,419₹",18,2
SaudiArabia,RiyadhFrontRiyadh,Tagalog,15:45,Standard,"1,201₹",23,2
SaudiArabia,SaharaMallRiyadh,Tagalog,16:15,Standard,"1,201₹",32,0
SaudiArabia,SaharaMallRiyadh,Tagalog,16:15,StandardPremium,"1,419₹",38,1
Uae,Burjuman,Tagalog,16:20,Standard,939₹,41,0
Uae,CityCentreDeira,Tagalog,16:40,StandardPremium,"1,163₹",26,0
Uae,CityCentreDeira,Tagalog,16:40,Standard,939₹,55,2
Uae,CityCentreDeira,Tagalog,16:40,StandardPreferredView,"1,230₹",24,0
SaudiArabia,AlQasrMallRiyadh,Tagalog,16:45,StandardPremium,"1,419₹",46,2
SaudiArabia,AlQasrMallRiyadh,Tagalog,16:45,Standard,"1,201₹",44,0
SaudiArabia,RiyadhParkRiyadh,Tagalog,17:45,StandardPremium,"1,419₹",28,0
SaudiArabia,RiyadhParkRiyadh,Tagalog,17:45,Standard,"1,201₹",28,2
SaudiArabia,AlQasrMallRiyadh,Tagalog,19:00,StandardPremium,"1,419₹",46,2
SaudiArabia,AlQasrMallRiyadh,Tagalog,19:00,Standard,"1,201₹",44,0
SaudiArabia,TownSquareJeddah,Tagalog,19:30,StandardPremium,"1,419₹",18,0
SaudiArabia,TownSquareJeddah,Tagalog,19:30,Standard,"1,201₹",22,0
SaudiArabia,RiyadhParkRiyadh,Tagalog,20:00,StandardPremium,"1,419₹",28,0
SaudiArabia,RiyadhParkRiyadh,Tagalog,20:00,Standard,"1,201₹",28,0
SaudiArabia,AlQasrMallRiyadh,Tagalog,21:15,StandardPremium,"1,419₹",46,2
SaudiArabia,AlQasrMallRiyadh,Tagalog,21:15,Standard,"1,201₹",44,0
SaudiArabia,RiyadhParkRiyadh,Tagalog,22:15,StandardPremium,"1,419₹",28,0
SaudiArabia,RiyadhParkRiyadh,Tagalog,22:15,Standard,"1,201₹",28,0
SaudiArabia,RiyadhFrontRiyadh,Tagalog,23:15,StandardPremium,"1,419₹",18,0
SaudiArabia,RiyadhFrontRiyadh,Tagalog,23:15,Standard,"1,201₹",23,2
