Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,04:30,StandardPremium,"1,410₹",24,0
SaudiArabia,RiyadhFrontRiyadh,English,04:30,Standard,"1,193₹",32,4
SaudiArabia,RedSeaMallJeddah,English,04:35,VipPremium,"1,735₹",48,0
SaudiArabia,RedSeaMallJeddah,English,04:35,VipWheelchairSpace,"1,735₹",2,2
SaudiArabia,RedSeaMallJeddah,English,05:30,GoldStandard,"2,386₹",48,0
SaudiArabia,RiyadhFrontRiyadh,English,05:30,GoldStandard,"3,253₹",32,7
SaudiArabia,TownSquareJeddah,English,07:00,VipPremium,"1,735₹",46,2
Bahrain,CityCentreBahrain,English,07:25,Standard,842₹,130,1
SaudiArabia,AlQasrMallRiyadh,English,07:30,StandardPremium,"1,410₹",41,3
SaudiArabia,AlQasrMallRiyadh,English,07:30,Standard,"1,193₹",38,0
SaudiArabia,RiyadhParkRiyadh,English,07:30,VipStandard,"1,735₹",30,4
SaudiArabia,KingdomCentreRiyadh,English,07:45,VipStandard,"3,253₹",30,3
SaudiArabia,RiyadhFrontRiyadh,English,07:50,MaxPremium,"1,952₹",146,5
SaudiArabia,RiyadhFrontRiyadh,English,07:50,MaxStandard,"1,735₹",125,0
SaudiArabia,RiyadhFrontRiyadh,English,07:50,MaxLounger,"2,169₹",10,0
Uae,MallOfTheEmirates,English,08:00,ImaxStandard,"1,221₹",157,4
Uae,MallOfTheEmirates,English,08:00,ImaxPremium,"1,776₹",123,6
Uae,MallOfTheEmirates,English,08:00,ImaxBalcony,"2,442₹",64,2
Uae,MallOfTheEmirates,English,08:00,ImaxLounger,"1,165₹",12,0
Egypt,MallOfEgypt,English,08:30,Standard,456₹,121,2
Egypt,MallOfEgypt,English,08:30,StandardVip,497₹,66,15
SaudiArabia,RedSeaMallJeddah,English,08:45,ImaxPremium,"2,060₹",151,7
SaudiArabia,RedSeaMallJeddah,English,08:45,ImaxStandard,"1,843₹",106,7
SaudiArabia,RedSeaMallJeddah,English,08:45,ImaxLounger,"2,277₹",14,0
Uae,CityCentreMirdif,English,08:45,StandardPremium,"1,154₹",30,9
Uae,CityCentreMirdif,English,08:45,Standard,932₹,104,4
Uae,CityCentreMirdif,English,08:45,StandardPreferredView,"1,221₹",18,7
Oman,MallOfOman,English,09:00,StandardPremium,956₹,82,0
Oman,MallOfOman,English,09:00,Standard,780₹,150,3
Kuwait,TheAvenuesKuwait,English,09:05,StandardPremiumFamily,"1,185₹",54,3
Kuwait,TheAvenuesKuwait,English,09:05,StandardPremiumBachelor,"1,185₹",54,2
Kuwait,TheAvenuesKuwait,English,09:05,StandardStandardFamily,"1,054₹",44,0
Kuwait,TheAvenuesKuwait,English,09:05,StandardStandardBachelor,"1,054₹",49,1
Uae,Mercato,English,09:25,Standard,932₹,61,0
Uae,Mercato,English,09:25,StandardPremium,"1,332₹",82,0
Oman,CityCentreMuscat,English,09:30,Standard,668₹,36,3
Oman,CityCentreMuscat,English,09:45,Standard,668₹,36,3
SaudiArabia,AtyafMallRiyadh,English,10:00,Standard,"1,193₹",30,1
SaudiArabia,AtyafMallRiyadh,English,10:00,StandardPremium,"1,410₹",32,0
SaudiArabia,JubailGalleriaMallJubail,English,10:00,Standard,"1,410₹",85,6
Uae,MallOfTheEmirates,English,10:00,TheatreStandard,"3,729₹",36,9
Uae,YasMallAbuDhabi,English,10:00,MaxStandard,"1,087₹",69,0
Uae,YasMallAbuDhabi,English,10:00,MaxPremium,"1,443₹",126,13
Uae,YasMallAbuDhabi,English,10:00,MaxLounger,"1,087₹",10,0
Oman,Mgm,English,10:00,StandardPremium,890₹,58,0
Oman,Mgm,English,10:00,Standard,780₹,71,6
Bahrain,CityCentreBahrain,English,10:05,Standard,842₹,130,7
SaudiArabia,RiyadhFrontRiyadh,English,10:10,StandardPremium,"1,410₹",24,1
SaudiArabia,RiyadhFrontRiyadh,English,10:10,Standard,"1,193₹",32,2
Uae,TheGalleriaAlMaryahIsland,English,10:15,TheatreStandard,"3,996₹",12,2
SaudiArabia,RiyadhParkRiyadh,English,10:30,ImaxStandard,"1,518₹",210,14
Uae,TheGalleriaAlMaryahIsland,English,10:30,Premium,"1,776₹",173,0
Oman,CityCentreSuhar,English,10:30,Standard,668₹,56,0
Oman,CityCentreSuhar,English,10:30,StandardPremium,780₹,39,4
SaudiArabia,KingdomCentreRiyadh,English,10:45,VipStandard,"3,253₹",30,6
SaudiArabia,TownSquareJeddah,English,10:45,ImaxPremium,"2,060₹",138,2
SaudiArabia,TownSquareJeddah,English,10:45,ImaxStandard,"1,843₹",160,0
SaudiArabia,TownSquareJeddah,English,10:45,ImaxLounger,"2,277₹",13,0
SaudiArabia,WestAvenueMallDammam,English,10:45,MaxPremium,"1,955₹",98,0
SaudiArabia,WestAvenueMallDammam,English,10:45,MaxStandard,"1,738₹",126,0
SaudiArabia,TheRoofRiyadh,English,10:45,StandardPremium,"1,410₹",57,1
SaudiArabia,TheRoofRiyadh,English,10:45,Standard,"1,193₹",41,2
Uae,CityCentreAlZahia,English,10:45,StandardPremium,"1,154₹",25,1
Uae,CityCentreAlZahia,English,10:45,Standard,932₹,31,5
Oman,MallOfOman,English,10:45,GoldStandard,"1,781₹",48,16
Oman,MallOfOman,English,10:45,StandardPremium,956₹,26,2
Oman,MallOfOman,English,10:45,Standard,780₹,19,3
SaudiArabia,SaharaMallRiyadh,English,11:00,Standard,"1,193₹",61,0
SaudiArabia,SaharaMallRiyadh,English,11:00,StandardPremium,"1,410₹",65,0
Uae,CityCentreMirdif,English,11:00,ImaxSapphirePremium,"1,776₹",128,4
Uae,MallOfTheEmirates,English,11:10,Standard,932₹,80,3
Uae,MallOfTheEmirates,English,11:10,StandardPremium,"1,154₹",68,2
Uae,MallOfTheEmirates,English,11:10,StandardPreferredView,"1,221₹",38,7
SaudiArabia,RiyadhFrontRiyadh,English,11:15,GoldStandard,"3,253₹",32,4
Oman,CityCentreQurum,English,11:15,Standard,780₹,42,1
Oman,CityCentreQurum,English,11:15,StandardPremium,956₹,53,6
SaudiArabia,AlQasrMallRiyadh,English,11:30,StandardPremium,"1,410₹",57,1
SaudiArabia,AlQasrMallRiyadh,English,11:30,Standard,"1,193₹",56,0
Egypt,MallOfEgypt,English,11:30,Standard,456₹,121,8
Egypt,MallOfEgypt,English,11:30,StandardVip,497₹,66,19
Lebanon,CityCentreBeirut,English,11:30,GoldStandard,"7,009₹",30,1
Bahrain,VoxCinemasTheAvenues,English,11:35,Standard,950₹,96,4
Bahrain,VoxCinemasTheAvenues,English,11:35,StandardPremium,"1,188₹",32,0
Uae,TheGalleriaAlMaryahIsland,English,11:45,TheatreStandard,"3,996₹",32,4
SaudiArabia,WestAvenueMallDammam,English,12:00,StandardPremium,"1,419₹",84,0
SaudiArabia,WestAvenueMallDammam,English,12:00,Standard,"1,201₹",74,2
SaudiArabia,TheEsplanadeRiyadh,English,12:00,GoldStandard,"3,276₹",32,2
Uae,WafiMallAtWafiCity,English,12:00,TheatreStandard,"3,729₹",42,0
Uae,MallOfTheEmirates,English,12:15,TheatreStandard,"3,757₹",36,9
Uae,Mercato,English,12:15,Standard,939₹,61,0
Uae,Mercato,English,12:15,StandardPremium,"1,341₹",82,1
Uae,TheGalleriaAlMaryahIsland,English,12:20,Couch2SeaterCouch,"2,348₹",50,6
Kuwait,TheAvenuesKuwait,English,12:20,HubStandard,"3,182₹",60,24
Oman,CityCentreMuscat,English,12:30,Standard,672₹,85,0
Oman,CityCentreMuscat,English,12:30,StandardPremium,896₹,63,3
Oman,CityCentreSuhar,English,12:30,Standard,672₹,56,0
Oman,CityCentreSuhar,English,12:30,StandardPremium,785₹,41,8
Oman,Shatti,English,12:35,Standard,672₹,185,2
Bahrain,CityCentreBahrain,English,12:45,Standard,848₹,130,10
SaudiArabia,SaharaMallRiyadh,English,12:50,GoldStandard,"2,402₹",30,3
SaudiArabia,TownSquareJeddah,English,13:00,VipPremium,"1,747₹",46,0
Uae,CityCentreAlZahia,English,13:00,Couch2SeaterCouch,"2,348₹",70,8
Uae,NakheelMall,English,13:00,StandardPremium,"1,163₹",32,0
Uae,NakheelMall,English,13:00,StandardPreferredView,"1,230₹",19,3
SaudiArabia,AlQasrMallRiyadh,English,13:10,StandardPremium,"1,419₹",41,3
SaudiArabia,AlQasrMallRiyadh,English,13:10,Standard,"1,201₹",38,0
SaudiArabia,AtyafMallRiyadh,English,13:15,Vip,"1,747₹",30,1
SaudiArabia,RiyadhParkRiyadh,English,13:15,VipStandard,"1,747₹",30,3
Oman,MallOfOman,English,13:15,ImaxLounger,"1,007₹",14,0
Oman,MallOfOman,English,13:15,ImaxStandard,"1,007₹",124,6
Oman,MallOfOman,English,13:15,ImaxPremium,"1,455₹",181,12
SaudiArabia,RiyadhFrontRiyadh,English,13:30,MaxPremium,"1,965₹",146,8
SaudiArabia,RiyadhFrontRiyadh,English,13:30,MaxStandard,"1,747₹",125,0
SaudiArabia,RiyadhFrontRiyadh,English,13:30,MaxLounger,"2,184₹",10,3
Uae,CityCentreMirdif,English,13:30,TheatreStandard,"3,757₹",40,12
SaudiArabia,KingdomCentreRiyadh,English,13:40,VipStandard,"3,276₹",30,19
Uae,MallOfTheEmirates,English,13:40,ImaxStandard,"1,230₹",157,3
Uae,MallOfTheEmirates,English,13:40,ImaxPremium,"1,789₹",123,16
Uae,MallOfTheEmirates,English,13:40,ImaxBalcony,"2,460₹",64,2
Uae,MallOfTheEmirates,English,13:40,ImaxLounger,"1,174₹",12,0
Uae,TheGalleriaAlMaryahIsland,English,13:40,ImaxPremium,"1,956₹",238,4
Uae,TheGalleriaAlMaryahIsland,English,13:40,ImaxStandard,"1,341₹",144,1
Uae,TheGalleriaAlMaryahIsland,English,13:40,ImaxLounger,"1,118₹",19,0
SaudiArabia,SaharaMallRiyadh,English,13:45,Standard,"1,201₹",56,1
SaudiArabia,SaharaMallRiyadh,English,13:45,StandardPremium,"1,419₹",52,5
SaudiArabia,TabukParkTabuk,English,14:00,Standard,"1,201₹",20,5
SaudiArabia,TabukParkTabuk,English,14:00,StandardPremium,"1,419₹",32,0
SaudiArabia,TheEsplanadeRiyadh,English,14:00,MaxPremium,"1,965₹",142,7
SaudiArabia,TheEsplanadeRiyadh,English,14:00,MaxStandard,"1,747₹",125,4
SaudiArabia,TheEsplanadeRiyadh,English,14:00,MaxLounger,"2,184₹",6,0
Lebanon,CityCentreBeirut,English,14:00,ImaxStandard,"5,931₹",233,0
Lebanon,CityCentreBeirut,English,14:00,ImaxPremium,"6,470₹",230,3
Oman,MallOfOman,English,14:00,GoldStandard,"1,792₹",48,18
Kuwait,TheAvenuesKuwait,English,14:10,TheatreStandard,"2,916₹",32,27
Uae,CityCentreMirdif,English,14:15,StandardPremium,"1,163₹",30,10
Uae,CityCentreMirdif,English,14:15,Standard,939₹,104,6
Uae,CityCentreMirdif,English,14:15,StandardPreferredView,"1,230₹",18,12
Bahrain,VoxCinemasTheAvenues,English,14:15,Standard,957₹,96,3
Bahrain,VoxCinemasTheAvenues,English,14:15,StandardPremium,"1,197₹",32,3
Egypt,MallOfEgypt,English,14:30,Standard,459₹,121,11
Egypt,MallOfEgypt,English,14:30,StandardVip,501₹,66,38
SaudiArabia,RedSeaMallJeddah,English,14:45,ImaxPremium,"2,075₹",151,38
SaudiArabia,RedSeaMallJeddah,English,14:45,ImaxStandard,"1,856₹",106,8
SaudiArabia,RedSeaMallJeddah,English,14:45,ImaxLounger,"2,293₹",14,2
SaudiArabia,TheRoofRiyadh,English,14:45,StandardPremium,"1,419₹",52,20
SaudiArabia,TheRoofRiyadh,English,14:45,Standard,"1,201₹",37,0
Uae,TheGalleriaAlMaryahIsland,English,14:45,TheatreStandard,"4,025₹",32,6
Kuwait,TheAvenuesKuwait,English,15:05,StandardPremiumFamily,"1,193₹",54,28
Kuwait,TheAvenuesKuwait,English,15:05,StandardPremiumBachelor,"1,193₹",54,30
Kuwait,TheAvenuesKuwait,English,15:05,StandardStandardFamily,"1,060₹",44,5
Kuwait,TheAvenuesKuwait,English,15:05,StandardStandardBachelor,"1,060₹",49,10
SaudiArabia,HailSquareHail,English,15:15,Standard,"1,201₹",91,0
SaudiArabia,HailSquareHail,English,15:15,StandardPremium,"1,419₹",91,2
Uae,CityCentreAlZahia,English,15:15,GoldStandard,"1,515₹",32,30
Uae,Mercato,English,15:15,Standard,939₹,61,9
Uae,Mercato,English,15:15,StandardPremium,"1,341₹",82,4
SaudiArabia,SaharaMallRiyadh,English,15:20,GoldStandard,"2,394₹",30,4
Uae,NakheelMall,English,15:30,TheatreStandard,"3,757₹",16,14
Uae,NationTowersAbuDhabi,English,15:30,Standard,"1,028₹",36,3
Uae,NationTowersAbuDhabi,English,15:30,StandardPremium,"1,453₹",48,7
Uae,WafiMallAtWafiCity,English,15:30,SamsungOnyxPremium,"3,757₹",56,8
Uae,YasMallAbuDhabi,English,15:30,TheatreStandard,"4,025₹",36,7
Bahrain,CityCentreBahrain,English,15:30,Standard,848₹,130,37
Oman,CityCentreMuscat,English,15:30,Standard,672₹,36,33
SaudiArabia,AtyafMallRiyadh,English,15:40,Standard,"1,201₹",30,6
SaudiArabia,AtyafMallRiyadh,English,15:40,StandardPremium,"1,419₹",32,6
