Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,English,00:45,StandardPremium,"1,414₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,00:45,Standard,"1,196₹",32,0
Oman,Mgm,English,07:00,StandardPremium,891₹,17,2
Oman,Mgm,English,07:00,Standard,781₹,32,2
Oman,NizwaGrandMall,English,07:15,Standard,668₹,28,0
Oman,NizwaGrandMall,English,07:15,StandardPremium,781₹,30,3
Oman,CityCentreQurum,English,09:00,Standard,781₹,42,0
Oman,CityCentreQurum,English,09:00,StandardPremium,957₹,53,4
Uae,CityCentreMirdif,English,09:15,StandardPremium,"1,068₹",20,0
Uae,CityCentreMirdif,English,09:15,Standard,817₹,25,0
Oman,MallOfOman,English,09:15,StandardPremium,957₹,26,0
Oman,MallOfOman,English,09:15,Standard,781₹,21,2
Qatar,DohaOasis,English,09:30,Standard,"1,010₹",43,0
Qatar,DohaFestivalCity,English,09:40,Standard,898₹,18,2
Qatar,DohaFestivalCity,English,09:40,StandardPremium,"1,122₹",25,0
Uae,CityCentreFujairah,English,10:00,Standard,817₹,38,0
Uae,CityCentreFujairah,English,10:00,StandardPremium,"1,068₹",36,0
Uae,WafiMallAtWafiCity,English,10:00,StandardPremium,"1,068₹",66,0
Uae,WafiMallAtWafiCity,English,10:00,Standard,817₹,50,0
Lebanon,CityCentreBeirut,English,10:00,Standard,"4,594₹",47,1
Bahrain,CityCentreBahrain,English,10:30,Standard,845₹,197,15
SaudiArabia,SaharaMallRiyadh,English,10:30,Standard,"1,196₹",56,0
SaudiArabia,SaharaMallRiyadh,English,10:30,StandardPremium,"1,414₹",52,0
Uae,MallOfTheEmirates,English,10:45,StandardPremium,"1,068₹",48,6
Oman,NizwaGrandMall,English,10:45,Standard,668₹,24,2
Oman,NizwaGrandMall,English,10:45,StandardPremium,781₹,20,3
Oman,Mgm,English,11:50,StandardPremium,891₹,17,0
Oman,Mgm,English,11:50,Standard,781₹,32,4
Oman,CityCentreMuscat,English,12:05,Standard,666₹,36,11
Oman,CityCentreSuhar,English,12:15,Standard,668₹,50,0
Oman,CityCentreSuhar,English,12:15,StandardPremium,781₹,28,4
SaudiArabia,TownSquareJeddah,English,12:45,StandardPremium,"1,408₹",20,0
SaudiArabia,TownSquareJeddah,English,12:45,Standard,"1,192₹",26,0
Uae,AlHamraMallRasAlKhaimah,English,12:55,Standard,815₹,29,0
Uae,AlHamraMallRasAlKhaimah,English,12:55,StandardPremium,"1,064₹",21,5
Uae,MallOfTheEmirates,English,13:00,StandardPremium,"1,064₹",48,18
SaudiArabia,RiyadhFrontRiyadh,English,13:00,StandardPremium,"1,408₹",24,0
SaudiArabia,RiyadhFrontRiyadh,English,13:00,Standard,"1,192₹",32,2
SaudiArabia,TabukParkTabuk,English,13:00,Standard,"1,192₹",20,0
SaudiArabia,TabukParkTabuk,English,13:00,StandardPremium,"1,408₹",28,1
Uae,TheGalleriaAlMaryahIsland,English,13:15,StandardPremium,"1,131₹",25,3
Uae,TheGalleriaAlMaryahIsland,English,13:15,Standard,887₹,20,0
Qatar,DohaOasis,English,13:35,Standard,"1,007₹",43,4
Uae,CityCentreFujairah,English,13:45,Standard,817₹,48,0
Uae,CityCentreFujairah,English,13:45,StandardPremium,"1,068₹",49,0
Oman,Salalah,English,13:45,Standard,445₹,108,0
Oman,Salalah,English,13:45,StandardPremium,668₹,112,0
Uae,CityCentreAlZahia,English,13:50,StandardPremium,"1,068₹",17,0
Uae,CityCentreAlZahia,English,13:50,Standard,817₹,25,0
Bahrain,VoxCinemasTheAvenues,English,14:00,Standard,950₹,41,6
Bahrain,VoxCinemasTheAvenues,English,14:00,StandardPremium,"1,188₹",25,2
SaudiArabia,TheRoofRiyadh,English,14:00,StandardPremium,"1,408₹",30,3
SaudiArabia,TheRoofRiyadh,English,14:00,Standard,"1,192₹",19,0
Uae,NationTowersAbuDhabi,English,14:30,StandardPremium,"1,375₹",36,0
Uae,NationTowersAbuDhabi,English,14:30,Standard,887₹,36,3
Oman,SuharPlaza,English,14:40,Standard,512₹,160,4
Lebanon,CityCentreBeirut,English,14:45,Standard,"4,578₹",47,5
Uae,WafiMallAtWafiCity,English,15:00,StandardPremium,"1,068₹",66,0
Uae,WafiMallAtWafiCity,English,15:00,Standard,817₹,50,0
Oman,MallOfOman,English,15:20,StandardPremium,957₹,26,4
Oman,MallOfOman,English,15:20,Standard,781₹,21,0
Bahrain,CityCentreBahrain,English,15:30,Standard,845₹,116,0
SaudiArabia,HailSquareHail,English,15:30,VipPremium,"1,740₹",48,0
Kuwait,TheAvenuesKuwait,English,15:35,StandardPremiumFamily,"1,185₹",15,2
Kuwait,TheAvenuesKuwait,English,15:35,StandardStandardFamily,922₹,10,0
Kuwait,TheAvenuesKuwait,English,15:35,StandardPremiumBachelor,"1,185₹",12,1
Kuwait,TheAvenuesKuwait,English,15:35,StandardStandardBachelor,922₹,10,0
Uae,CityCentreMirdif,English,15:40,StandardPremium,"1,068₹",20,0
Uae,CityCentreMirdif,English,15:40,Standard,817₹,25,0
Uae,MallOfTheEmirates,English,15:45,StandardPremium,"1,068₹",48,4
SaudiArabia,SaharaMallRiyadh,English,16:05,Standard,"1,196₹",56,1
SaudiArabia,SaharaMallRiyadh,English,16:05,StandardPremium,"1,414₹",52,0
Qatar,DohaFestivalCity,English,16:20,Standard,898₹,18,0
Qatar,DohaFestivalCity,English,16:20,StandardPremium,"1,122₹",25,0
SaudiArabia,AtyafMallRiyadh,English,16:30,Standard,"1,196₹",27,0
SaudiArabia,AtyafMallRiyadh,English,16:30,StandardPremium,"1,414₹",28,0
Uae,CityCentreFujairah,English,16:45,Standard,817₹,38,0
Uae,CityCentreFujairah,English,16:45,StandardPremium,"1,068₹",36,0
Bahrain,VoxCinemasTheAvenues,English,16:45,Standard,953₹,21,0
Bahrain,VoxCinemasTheAvenues,English,16:45,StandardPremium,"1,192₹",30,0
Oman,CityCentreMuscat,English,16:45,Standard,668₹,36,2
Uae,YasMallAbuDhabi,English,17:15,KidsPremium,"1,001₹",38,2
Uae,MallOfTheEmirates,English,17:30,StandardPremium,"1,068₹",48,4
Uae,TheGalleriaAlMaryahIsland,English,17:30,StandardPremium,"1,135₹",25,2
Uae,TheGalleriaAlMaryahIsland,English,17:30,Standard,890₹,20,0
Qatar,DohaOasis,English,17:45,Standard,"1,010₹",43,0
SaudiArabia,TabukParkTabuk,English,18:10,Standard,"1,196₹",20,3
SaudiArabia,TabukParkTabuk,English,18:10,StandardPremium,"1,414₹",28,0
SaudiArabia,TheRoofRiyadh,English,18:15,StandardPremium,"1,414₹",30,1
SaudiArabia,TheRoofRiyadh,English,18:15,Standard,"1,196₹",19,0
SaudiArabia,AlQasrMallRiyadh,English,18:30,StandardPremium,"1,414₹",46,0
SaudiArabia,AlQasrMallRiyadh,English,18:30,Standard,"1,196₹",44,2
Oman,CityCentreQurum,English,18:40,Standard,781₹,42,0
Oman,CityCentreQurum,English,18:40,StandardPremium,957₹,53,4
SaudiArabia,RiyadhParkRiyadh,English,18:50,StandardPremium,"1,414₹",32,1
SaudiArabia,RiyadhParkRiyadh,English,18:50,Standard,"1,196₹",32,0
Oman,CityCentreSuhar,English,19:00,Standard,668₹,50,0
Oman,CityCentreSuhar,English,19:00,StandardPremium,781₹,28,4
Oman,NizwaGrandMall,English,19:00,Standard,668₹,24,0
Oman,NizwaGrandMall,English,19:00,StandardPremium,781₹,20,3
Uae,YasMallAbuDhabi,English,19:10,Standard,890₹,31,0
Uae,YasMallAbuDhabi,English,19:10,StandardPremium,"1,135₹",49,4
Uae,NationTowersAbuDhabi,English,19:15,StandardPremium,"1,379₹",36,0
Uae,NationTowersAbuDhabi,English,19:15,Standard,890₹,36,0
Oman,Mgm,English,19:20,StandardPremium,891₹,17,0
Oman,Mgm,English,19:20,Standard,781₹,32,2
Uae,AlHamraMallRasAlKhaimah,English,19:30,Standard,817₹,29,0
Uae,AlHamraMallRasAlKhaimah,English,19:30,StandardPremium,"1,068₹",21,0
Qatar,DohaFestivalCity,English,19:40,Standard,898₹,22,0
Qatar,DohaFestivalCity,English,19:40,StandardPremium,"1,122₹",28,3
Kuwait,TheAvenuesKuwait,English,20:10,StandardPremiumFamily,"1,185₹",15,0
Kuwait,TheAvenuesKuwait,English,20:10,StandardStandardFamily,922₹,10,0
Kuwait,TheAvenuesKuwait,English,20:10,StandardPremiumBachelor,"1,185₹",12,1
Kuwait,TheAvenuesKuwait,English,20:10,StandardStandardBachelor,922₹,10,0
Uae,CityCentreAlZahia,English,20:15,StandardPremium,"1,068₹",17,0
Uae,CityCentreAlZahia,English,20:15,Standard,817₹,25,0
SaudiArabia,HailSquareHail,English,20:15,VipPremium,"1,740₹",48,0
Bahrain,CityCentreBahrain,English,20:30,Standard,845₹,116,0
SaudiArabia,AlQasrMallRiyadh,English,20:45,StandardPremium,"1,414₹",46,0
SaudiArabia,AlQasrMallRiyadh,English,20:45,Standard,"1,196₹",44,0
SaudiArabia,TownSquareJeddah,English,21:45,StandardPremium,"1,414₹",20,0
SaudiArabia,TownSquareJeddah,English,21:45,Standard,"1,196₹",26,0
Kuwait,TheAvenuesKuwait,English,22:15,StandardPremiumFamily,"1,185₹",15,0
Kuwait,TheAvenuesKuwait,English,22:15,StandardStandardFamily,922₹,10,0
Kuwait,TheAvenuesKuwait,English,22:15,StandardPremiumBachelor,"1,185₹",12,1
Kuwait,TheAvenuesKuwait,English,22:15,StandardStandardBachelor,922₹,10,0
SaudiArabia,TheRoofRiyadh,English,22:30,StandardPremium,"1,414₹",30,1
SaudiArabia,TheRoofRiyadh,English,22:30,Standard,"1,196₹",19,0
SaudiArabia,AlQasrMallRiyadh,English,23:00,StandardPremium,"1,414₹",46,0
SaudiArabia,AlQasrMallRiyadh,English,23:00,Standard,"1,196₹",44,0
SaudiArabia,RiyadhParkRiyadh,English,23:05,StandardPremium,"1,414₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,23:05,Standard,"1,196₹",32,0
SaudiArabia,TabukParkTabuk,English,23:10,Standard,"1,196₹",20,0
SaudiArabia,TabukParkTabuk,English,23:10,StandardPremium,"1,414₹",28,0
