Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Egypt,CityCentreAlmaza,Arabic,10:00,StandardPremium,501₹,46,6
Egypt,MallOfEgypt,Arabic,10:15,Standard,459₹,81,4
Egypt,MallOfEgypt,Arabic,10:15,StandardVip,501₹,30,5
Egypt,CityCentreAlmaza,Arabic,12:15,StandardPremium,499₹,46,14
Egypt,MallOfEgypt,Arabic,12:30,Standard,458₹,81,0
Egypt,MallOfEgypt,Arabic,12:30,StandardVip,499₹,30,5
Egypt,CityCentreAlmaza,Arabic,14:30,StandardPremium,499₹,46,6
Egypt,MallOfEgypt,Arabic,14:45,Standard,458₹,81,0
Egypt,MallOfEgypt,Arabic,14:45,StandardVip,499₹,30,5
Egypt,CityCentreAlmaza,Arabic,16:45,StandardPremium,499₹,46,25
Egypt,MallOfEgypt,Arabic,17:00,Standard,458₹,81,0
Egypt,MallOfEgypt,Arabic,17:00,StandardVip,499₹,30,10
Egypt,CityCentreAlmaza,Arabic,19:00,StandardPremium,499₹,46,34
Egypt,MallOfEgypt,Arabic,19:15,Standard,458₹,81,2
Egypt,MallOfEgypt,Arabic,19:15,StandardVip,499₹,30,18
Egypt,CityCentreAlmaza,Arabic,21:15,StandardPremium,499₹,46,4
Egypt,MallOfEgypt,Arabic,21:30,Standard,458₹,81,0
Egypt,MallOfEgypt,Arabic,21:30,StandardVip,499₹,30,3
