Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,English,00:00,ImaxStandard,"1,523₹",210,1
SaudiArabia,RiyadhFrontRiyadh,English,00:00,MaxPremium,"1,958₹",146,2
SaudiArabia,RiyadhFrontRiyadh,English,00:00,MaxStandard,"1,740₹",125,2
SaudiArabia,RiyadhFrontRiyadh,English,00:00,MaxLounger,"2,176₹",10,0
SaudiArabia,RedSeaMallJeddah,English,02:00,ImaxPremium,"2,067₹",151,0
SaudiArabia,RedSeaMallJeddah,English,02:00,ImaxStandard,"1,849₹",106,2
SaudiArabia,RedSeaMallJeddah,English,02:00,ImaxLounger,"2,284₹",14,0
Bahrain,CityCentreBahrain,English,07:30,ImaxStandard,"1,085₹",188,0
Bahrain,CityCentreBahrain,English,07:30,ImaxPremium,"1,324₹",183,0
Oman,CityCentreQurum,English,07:50,Standard,784₹,67,0
Oman,CityCentreQurum,English,07:50,StandardPremium,960₹,80,4
Uae,Burjuman,English,08:00,KidsStandard,819₹,41,4
Uae,CityCentreDeira,English,08:00,Standard,819₹,93,0
Uae,CityCentreDeira,English,08:00,StandardPremium,"1,070₹",88,0
Uae,CityCentreMirdif,English,08:00,4DxVirginRadioStandard,"1,756₹",124,14
Oman,MallOfOman,English,08:05,Standard,"1,789₹",19,0
Uae,MegaplexCineplexGrandHyatt,English,08:15,Standard,"1,756₹",68,1
Uae,TheGalleriaAlMaryahIsland,English,08:20,ImaxPremium,"1,951₹",238,2
Uae,TheGalleriaAlMaryahIsland,English,08:20,ImaxStandard,"1,338₹",144,0
Uae,TheGalleriaAlMaryahIsland,English,08:20,ImaxLounger,"1,115₹",19,0
Uae,MallOfTheEmirates,English,08:20,ImaxStandard,"1,226₹",157,6
Uae,MallOfTheEmirates,English,08:20,ImaxPremium,"1,784₹",123,7
Uae,MallOfTheEmirates,English,08:20,ImaxBalcony,"2,453₹",64,2
Uae,MallOfTheEmirates,English,08:20,ImaxLounger,"1,170₹",12,0
Uae,NakheelMall,English,08:20,StandardPremium,"1,070₹",52,0
Uae,CityCentreMirdif,English,08:30,ImaxSapphirePremium,"1,784₹",128,6
Uae,CityCentreFujairah,English,08:40,4DxVirginRadioStandard,"1,756₹",72,0
Oman,CityCentreSuhar,English,08:45,Standard,671₹,35,0
Oman,CityCentreSuhar,English,08:45,StandardPremium,784₹,9,2
Uae,AlHamraMallRasAlKhaimah,English,09:00,Standard,"1,103₹",41,0
Uae,AlHamraMallRasAlKhaimah,English,09:00,StandardPremium,"1,360₹",31,0
Uae,Burjuman,English,09:00,StandardPremium,936₹,43,5
Uae,CityCentreAlZahia,English,09:00,StandardPremium,"1,070₹",73,4
Uae,CityCentreAlZahia,English,09:00,Standard,819₹,79,0
Uae,MallOfTheEmirates,English,09:00,Standard,819₹,68,0
Uae,MallOfTheEmirates,English,09:00,StandardPremium,"1,070₹",69,4
Oman,MallOfOman,English,09:00,ImaxLounger,"1,005₹",14,0
Oman,MallOfOman,English,09:00,ImaxStandard,"1,005₹",124,2
Oman,MallOfOman,English,09:00,ImaxPremium,"1,453₹",181,4
Uae,CityCentreAjman,English,09:15,Standard,897₹,45,0
Uae,CityCentreAjman,English,09:15,StandardPremium,"1,159₹",29,0
Uae,YasMallAbuDhabi,English,09:15,4DxVirginRadioStandard,"1,756₹",96,6
SaudiArabia,RiyadhFrontRiyadh,English,09:15,StandardPremium,"1,414₹",65,2
SaudiArabia,RiyadhFrontRiyadh,English,09:15,Standard,"1,196₹",70,4
Uae,Mercato,English,09:20,Standard,819₹,50,4
Uae,Mercato,English,09:20,StandardPremium,"1,287₹",58,0
Lebanon,CityCentreBeirut,English,09:30,ImaxStandard,"5,948₹",233,0
Lebanon,CityCentreBeirut,English,09:30,ImaxPremium,"6,489₹",230,11
Uae,CityCentreMirdif,English,09:30,StandardPremium,"1,070₹",56,4
Uae,CityCentreMirdif,English,09:30,Standard,819₹,105,2
Uae,TheGalleriaAlMaryahIsland,English,09:40,StandardPremium,"1,137₹",29,2
Uae,TheGalleriaAlMaryahIsland,English,09:40,Standard,892₹,26,0
Oman,CityCentreMuscat,English,09:40,Standard,671₹,85,0
Oman,CityCentreMuscat,English,09:40,StandardPremium,894₹,63,3
SaudiArabia,RedSeaMallJeddah,English,09:55,ImaxPremium,"2,067₹",151,1
SaudiArabia,RedSeaMallJeddah,English,09:55,ImaxStandard,"1,849₹",106,4
SaudiArabia,RedSeaMallJeddah,English,09:55,ImaxLounger,"2,284₹",14,0
Oman,MallOfOman,English,10:00,GoldStandard,"1,789₹",48,16
Uae,YasMallAbuDhabi,English,10:15,Standard,"1,204₹",60,0
Uae,YasMallAbuDhabi,English,10:15,StandardPremium,"1,471₹",83,6
Uae,CityCentreDeira,English,10:20,4DxVirginRadioStandard,"1,756₹",124,4
Egypt,MallOfEgypt,English,10:30,Standard,461₹,121,1
Egypt,MallOfEgypt,English,10:30,StandardVip,503₹,66,16
Uae,CityCentreAjman,English,10:30,4DxVirginRadioStandard,"1,756₹",64,1
Uae,MallOfTheEmirates,English,10:30,4DxVirginRadioStandard,"1,756₹",160,21
Egypt,CityCentreAlmaza,English,10:45,4DxStandard,838₹,60,16
Bahrain,CityCentreBahrain,English,10:45,ImaxStandard,"1,085₹",188,2
Bahrain,CityCentreBahrain,English,10:45,ImaxPremium,"1,324₹",183,0
SaudiArabia,RiyadhParkRiyadh,English,10:45,ImaxStandard,"1,523₹",210,6
Kuwait,TheAvenuesKuwait,English,10:50,StandardPremiumFamily,"1,185₹",48,17
Kuwait,TheAvenuesKuwait,English,10:50,StandardPremiumBachelor,"1,185₹",60,9
Kuwait,TheAvenuesKuwait,English,10:50,StandardStandardFamily,921₹,23,0
Kuwait,TheAvenuesKuwait,English,10:50,StandardStandardBachelor,921₹,26,0
Uae,CityCentreFujairah,English,11:00,Standard,819₹,38,0
Uae,CityCentreFujairah,English,11:00,StandardPremium,"1,070₹",36,0
Uae,CityCentreMirdif,English,11:00,TheatreStandard,"3,746₹",40,0
Uae,WafiMallAtWafiCity,English,11:00,SamsungOnyxPremium,"3,746₹",56,1
Bahrain,VoxCinemasTheAvenues,English,11:00,Standard,955₹,82,2
Bahrain,VoxCinemasTheAvenues,English,11:00,StandardPremium,"1,193₹",38,0
Oman,CityCentreMuscat,English,11:00,4DxStandard,"1,902₹",60,4
SaudiArabia,TownSquareJeddah,English,11:00,ImaxPremium,"2,067₹",138,0
SaudiArabia,TownSquareJeddah,English,11:00,ImaxStandard,"1,849₹",160,0
SaudiArabia,TownSquareJeddah,English,11:00,ImaxLounger,"2,284₹",13,0
Uae,CityCentreMirdif,English,11:15,4DxVirginRadioStandard,"1,756₹",124,14
SaudiArabia,AlQasrMallRiyadh,English,11:15,MaxPremium,"1,414₹",57,0
SaudiArabia,AlQasrMallRiyadh,English,11:15,MaxStandard,"1,196₹",56,2
Uae,Burjuman,English,11:20,Standard,819₹,41,4
Uae,CityCentreDeira,English,11:20,Standard,819₹,93,3
Uae,CityCentreDeira,English,11:20,StandardPremium,"1,070₹",88,2
Uae,MegaplexCineplexGrandHyatt,English,11:30,Standard,"1,756₹",68,1
Bahrain,CityCentreBahrain,English,11:30,Standard,846₹,108,3
Qatar,DohaFestivalCity,English,11:30,4DxStandard,"2,924₹",72,7
Qatar,DohaOasis,English,11:30,4DxStandard,"2,924₹",84,0
Uae,MallOfTheEmirates,English,11:35,ImaxStandard,"1,226₹",159,7
Uae,MallOfTheEmirates,English,11:35,ImaxPremium,"1,784₹",123,18
Uae,MallOfTheEmirates,English,11:35,ImaxBalcony,"2,453₹",64,2
Uae,MallOfTheEmirates,English,11:35,ImaxLounger,"1,170₹",12,0
Uae,TheGalleriaAlMaryahIsland,English,11:40,ImaxPremium,"1,951₹",238,4
Uae,TheGalleriaAlMaryahIsland,English,11:40,ImaxStandard,"1,338₹",144,0
Uae,TheGalleriaAlMaryahIsland,English,11:40,ImaxLounger,"1,115₹",19,0
Uae,NakheelMall,English,11:40,StandardPremium,"1,070₹",52,0
Uae,CityCentreMirdif,English,11:45,ImaxSapphirePremium,"1,784₹",128,4
Uae,CityCentreFujairah,English,12:00,4DxVirginRadioStandard,"1,756₹",72,0
Oman,CityCentreSuhar,English,12:00,Standard,671₹,35,0
Oman,CityCentreSuhar,English,12:00,StandardPremium,784₹,9,2
Uae,CityCentreAjman,English,12:15,Standard,895₹,96,7
Uae,CityCentreAjman,English,12:15,StandardPremium,"1,157₹",60,3
Oman,MallOfOman,English,12:15,ImaxLounger,"1,002₹",14,0
Oman,MallOfOman,English,12:15,ImaxStandard,"1,002₹",124,14
Oman,MallOfOman,English,12:15,ImaxPremium,"1,447₹",181,13
Qatar,DohaOasis,English,12:15,Standard,"1,010₹",116,0
Uae,Burjuman,English,12:20,StandardPremium,"1,218₹",43,4
Uae,MallOfTheEmirates,English,12:20,Standard,817₹,68,6
Uae,MallOfTheEmirates,English,12:20,StandardPremium,"1,068₹",69,12
Uae,CityCentreAlZahia,English,12:30,StandardPremium,"1,068₹",73,4
Uae,CityCentreAlZahia,English,12:30,Standard,817₹,79,6
Uae,WafiMallAtWafiCity,English,12:30,GoldStandard,"2,103₹",42,0
SaudiArabia,RiyadhFrontRiyadh,English,12:30,StandardPremium,"1,414₹",65,2
SaudiArabia,RiyadhFrontRiyadh,English,12:30,Standard,"1,196₹",70,4
SaudiArabia,SaharaMallRiyadh,English,12:30,Standard,"1,196₹",61,7
SaudiArabia,SaharaMallRiyadh,English,12:30,StandardPremium,"1,414₹",65,8
Uae,AlJimiMall,English,12:45,StandardVip,"1,135₹",46,7
Uae,AlJimiMall,English,12:45,Standard,890₹,46,0
Uae,CityCentreMirdif,English,12:45,StandardPremium,"1,068₹",56,4
Uae,CityCentreMirdif,English,12:45,Standard,817₹,105,3
Uae,YasMallAbuDhabi,English,12:45,4DxVirginRadioStandard,"1,752₹",96,14
SaudiArabia,WestAvenueMallDammam,English,12:45,StandardPremium,"1,414₹",84,0
SaudiArabia,WestAvenueMallDammam,English,12:45,Standard,"1,196₹",77,0
Lebanon,CityCentreBeirut,English,13:00,ImaxStandard,"5,945₹",233,1
Lebanon,CityCentreBeirut,English,13:00,ImaxPremium,"6,485₹",230,11
Uae,Mercato,English,13:00,Standard,817₹,57,4
Uae,Mercato,English,13:00,StandardPremium,"1,285₹",72,0
Uae,TheGalleriaAlMaryahIsland,English,13:00,TheatreStandard,"4,005₹",12,2
Oman,NizwaGrandMall,English,13:00,Standard,668₹,24,0
Oman,NizwaGrandMall,English,13:00,StandardPremium,781₹,20,3
Qatar,DohaFestivalCity,English,13:00,MaxVipPremium,"2,020₹",200,34
Oman,Salalah,English,13:15,Standard,668₹,108,2
Oman,Salalah,English,13:15,StandardPremium,891₹,112,0
SaudiArabia,TheSpotSheikhJaberRiyadh,English,13:15,Standard,"1,196₹",44,0
SaudiArabia,TheSpotSheikhJaberRiyadh,English,13:15,StandardPremium,"1,414₹",45,0
Qatar,DohaOasis,English,13:15,VipStandard,"3,929₹",20,6
Egypt,CityCentreAlmaza,English,13:30,ImaxPremium,627₹,180,31
Egypt,CityCentreAlmaza,English,13:30,ImaxStandard,585₹,131,0
SaudiArabia,RedSeaMallJeddah,English,13:30,ImaxPremium,"2,066₹",151,16
SaudiArabia,RedSeaMallJeddah,English,13:30,ImaxStandard,"1,849₹",106,7
SaudiArabia,RedSeaMallJeddah,English,13:30,ImaxLounger,"2,284₹",14,0
Uae,CityCentreDeira,English,13:40,4DxVirginRadioStandard,"1,752₹",124,13
Uae,CityCentreAjman,English,13:45,4DxVirginRadioStandard,"1,752₹",64,9
Uae,YasMallAbuDhabi,English,13:45,Standard,890₹,60,2
Uae,YasMallAbuDhabi,English,13:45,StandardPremium,"1,135₹",83,15
Egypt,MallOfEgypt,English,14:00,Standard,460₹,121,7
Egypt,MallOfEgypt,English,14:00,StandardVip,502₹,66,17
Uae,MallOfTheEmirates,English,14:00,4DxVirginRadioStandard,"1,752₹",160,26
Bahrain,CityCentreBahrain,English,14:00,ImaxStandard,"1,083₹",188,5
Bahrain,CityCentreBahrain,English,14:00,ImaxPremium,"1,322₹",183,6
Oman,MallOfOman,English,14:00,GoldStandard,"1,783₹",48,18
SaudiArabia,AtyafMallRiyadh,English,14:00,Vip,"1,740₹",30,0
SaudiArabia,RiyadhParkRiyadh,English,14:00,ImaxStandard,"1,522₹",210,19
SaudiArabia,TabukParkTabuk,English,14:05,KidsPremium,"1,196₹",43,14
SaudiArabia,TabukParkTabuk,English,14:05,KidsLounger,"1,196₹",5,0
Uae,MallOfTheEmirates,English,14:15,TheatreStandard,"3,738₹",36,12
Oman,CityCentreMuscat,English,14:15,4DxStandard,"1,895₹",60,9
Kuwait,TheAvenuesKuwait,English,14:15,StandardPremiumFamily,"1,185₹",48,28
Kuwait,TheAvenuesKuwait,English,14:15,StandardPremiumBachelor,"1,185₹",60,29
Kuwait,TheAvenuesKuwait,English,14:15,StandardStandardFamily,922₹,23,3
Kuwait,TheAvenuesKuwait,English,14:15,StandardStandardBachelor,922₹,26,6
Uae,CityCentreFujairah,English,14:20,Standard,817₹,38,10
Uae,CityCentreFujairah,English,14:20,StandardPremium,"1,068₹",36,16
Uae,CityCentreMirdif,English,14:30,4DxVirginRadioStandard,"1,752₹",124,18
SaudiArabia,AlQasrMallRiyadh,English,14:30,MaxPremium,"1,414₹",57,5
SaudiArabia,AlQasrMallRiyadh,English,14:30,MaxStandard,"1,196₹",56,4
SaudiArabia,KingdomCentreRiyadh,English,14:30,VipStandard,"3,263₹",24,16
SaudiArabia,TownSquareJeddah,English,14:30,ImaxPremium,"2,066₹",138,0
SaudiArabia,TownSquareJeddah,English,14:30,ImaxStandard,"1,849₹",160,0
SaudiArabia,TownSquareJeddah,English,14:30,ImaxLounger,"2,284₹",13,0
Uae,Burjuman,English,14:40,Standard,817₹,41,6
Uae,CityCentreDeira,English,14:40,Standard,817₹,93,8
Uae,CityCentreDeira,English,14:40,StandardPremium,"1,068₹",88,8
Uae,AlHamraMallRasAlKhaimah,English,14:45,Standard,817₹,41,2
Uae,AlHamraMallRasAlKhaimah,English,14:45,StandardPremium,"1,068₹",31,2
Uae,MegaplexCineplexGrandHyatt,English,14:45,Standard,"1,752₹",68,4
SaudiArabia,TheEsplanadeRiyadh,English,14:45,StandardPremium,"1,414₹",89,4
SaudiArabia,TheEsplanadeRiyadh,English,14:45,Standard,"1,196₹",66,0
Qatar,DohaOasis,English,14:45,4DxStandard,"2,918₹",84,0
Uae,MallOfTheEmirates,English,14:55,ImaxStandard,"1,226₹",157,2
Uae,MallOfTheEmirates,English,14:55,ImaxPremium,"1,784₹",123,14
Uae,MallOfTheEmirates,English,14:55,ImaxBalcony,"2,453₹",64,2
Uae,MallOfTheEmirates,English,14:55,ImaxLounger,"1,170₹",12,0
Uae,TheGalleriaAlMaryahIsland,English,15:00,ImaxPremium,"1,951₹",238,2
Uae,TheGalleriaAlMaryahIsland,English,15:00,ImaxStandard,"1,338₹",144,2
Uae,TheGalleriaAlMaryahIsland,English,15:00,ImaxLounger,"1,115₹",19,0
Uae,CityCentreMirdif,English,15:00,ImaxSapphirePremium,"1,784₹",128,4
Uae,NakheelMall,English,15:00,StandardPremium,"1,070₹",52,0
Qatar,DohaFestivalCity,English,15:00,4DxStandard,"2,924₹",72,6
Oman,CityCentreMuscat,English,15:15,Standard,894₹,85,0
Oman,CityCentreMuscat,English,15:15,StandardPremium,"1,118₹",63,9
Oman,CityCentreSuhar,English,15:15,Standard,671₹,35,2
Oman,CityCentreSuhar,English,15:15,StandardPremium,784₹,9,2
Qatar,DohaOasis,English,15:15,VipStandard,"3,937₹",16,2
Uae,CityCentreFujairah,English,15:20,4DxVirginRadioStandard,"1,756₹",72,0
Uae,CityCentreAjman,English,15:30,Standard,897₹,96,0
Uae,CityCentreAjman,English,15:30,StandardPremium,"1,159₹",60,0
Oman,MallOfOman,English,15:30,ImaxLounger,"1,005₹",14,0
Oman,MallOfOman,English,15:30,ImaxStandard,"1,005₹",124,0
Oman,MallOfOman,English,15:30,ImaxPremium,"1,453₹",181,12
Qatar,DohaOasis,English,15:30,Standard,"1,012₹",116,0
Uae,Burjuman,English,15:40,StandardPremium,936₹,43,2
SaudiArabia,HailSquareHail,English,15:45,Standard,"1,196₹",91,0
SaudiArabia,HailSquareHail,English,15:45,StandardPremium,"1,414₹",91,0
SaudiArabia,RiyadhFrontRiyadh,English,15:45,StandardPremium,"1,414₹",65,3
SaudiArabia,RiyadhFrontRiyadh,English,15:45,Standard,"1,196₹",70,7
Uae,AbuDhabiMallAbuDhabi,English,16:00,Standard,892₹,92,0
Uae,AbuDhabiMallAbuDhabi,English,16:00,StandardPremium,"1,137₹",42,0
Uae,CityCentreAlZahia,English,16:00,StandardPremium,"1,070₹",73,0
