Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,Burjuman,Punjabi,09:00,VipPremium,"1,398₹",50,5
Uae,Burjuman,Punjabi,12:20,VipPremium,"1,409₹",50,5
Oman,Azaiba,Punjabi,12:35,Standard,605₹,102,0
Uae,CityCentreSharjah,Punjabi,15:25,Standard,939₹,46,29
Uae,CityCentreDeira,Punjabi,15:35,Standard,939₹,96,33
Uae,CityCentreDeira,Punjabi,15:35,StandardPremium,"1,163₹",45,33
Uae,CityCentreDeira,Punjabi,15:35,StandardPreferredView,"1,230₹",12,12
Uae,Burjuman,Punjabi,15:40,VipPremium,"1,409₹",50,14
Uae,MegaplexCineplexGrandHyatt,Punjabi,16:00,Standard,939₹,36,7
Uae,MegaplexCineplexGrandHyatt,Punjabi,16:00,StandardPremium,"1,163₹",40,27
Uae,MegaplexCineplexGrandHyatt,Punjabi,16:00,StandardPreferredView,"1,230₹",18,4
Oman,SuharPlaza,Punjabi,16:45,Standard,516₹,160,8
Uae,Burjuman,Punjabi,19:00,VipPremium,"1,409₹",50,13
Uae,MegaplexCineplexGrandHyatt,Punjabi,19:15,Standard,939₹,36,2
Uae,MegaplexCineplexGrandHyatt,Punjabi,19:15,StandardPremium,"1,163₹",40,10
Uae,MegaplexCineplexGrandHyatt,Punjabi,19:15,StandardPreferredView,"1,230₹",18,5
Oman,Ruwi,Punjabi,19:15,Standard,648₹,27,5
Uae,CityCentreDeira,Punjabi,19:30,Standard,939₹,93,22
Uae,CityCentreDeira,Punjabi,19:30,StandardPremium,"1,163₹",88,5
