Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RedSeaMallJeddah,Egyptian,01:40,StandardPremium,424₹,92,29
SaudiArabia,RedSeaMallJeddah,Egyptian,01:40,Standard,424₹,68,2
SaudiArabia,RedSeaMallJeddah,Egyptian,01:40,StandardWheelchairSpace,"1,166₹",3,3
SaudiArabia,RiyadhFrontRiyadh,Egyptian,04:30,StandardPremium,424₹,33,33
SaudiArabia,RiyadhFrontRiyadh,Egyptian,04:30,Standard,424₹,40,21
SaudiArabia,RiyadhFrontRiyadh,Egyptian,07:00,StandardPremium,424₹,33,32
SaudiArabia,RiyadhFrontRiyadh,Egyptian,07:00,Standard,424₹,40,14
Lebanon,CityCentreBeirut,Egyptian,08:00,Standard,"2,628₹",85,5
Lebanon,CityCentreBeirut,Egyptian,08:00,StandardPremium,"2,628₹",66,2
SaudiArabia,AlQasrMallRiyadh,Egyptian,08:45,StandardPremium,424₹,53,44
SaudiArabia,AlQasrMallRiyadh,Egyptian,08:45,Standard,424₹,52,14
Bahrain,CityCentreBahrain,Egyptian,09:00,Standard,824₹,142,2
Egypt,CityCentreAlmaza,Egyptian,09:15,StandardPremium,497₹,42,5
Egypt,MallOfEgypt,Egyptian,09:45,Standard,456₹,48,11
Egypt,MallOfEgypt,Egyptian,09:45,StandardVip,497₹,30,6
SaudiArabia,RiyadhParkRiyadh,Egyptian,10:00,StandardPremium,424₹,28,27
SaudiArabia,RiyadhParkRiyadh,Egyptian,10:00,Standard,424₹,28,26
SaudiArabia,KingdomCentreRiyadh,Egyptian,10:10,VipStandard,"3,180₹",30,21
Lebanon,CityCentreBeirut,Egyptian,10:15,Standard,"2,628₹",85,14
Lebanon,CityCentreBeirut,Egyptian,10:15,StandardPremium,"2,628₹",66,6
SaudiArabia,AlQasrMallRiyadh,Egyptian,11:00,StandardPremium,424₹,53,48
SaudiArabia,AlQasrMallRiyadh,Egyptian,11:00,Standard,424₹,52,16
Lebanon,CityCentreBeirut,Egyptian,11:00,GoldStandard,"6,833₹",30,4
Bahrain,CityCentreBahrain,Egyptian,11:15,Standard,824₹,142,9
SaudiArabia,RiyadhFrontRiyadh,Egyptian,11:45,StandardPremium,424₹,33,33
SaudiArabia,RiyadhFrontRiyadh,Egyptian,11:45,Standard,424₹,40,40
Egypt,CityCentreAlmaza,Egyptian,11:45,StandardPremium,497₹,42,11
Egypt,MallOfEgypt,Egyptian,12:15,Standard,456₹,48,13
Egypt,MallOfEgypt,Egyptian,12:15,StandardVip,497₹,30,22
Lebanon,CityCentreBeirut,Egyptian,12:30,Standard,"2,628₹",85,21
Lebanon,CityCentreBeirut,Egyptian,12:30,StandardPremium,"2,628₹",66,13
SaudiArabia,AlQasrMallRiyadh,Egyptian,13:15,StandardPremium,424₹,53,53
SaudiArabia,AlQasrMallRiyadh,Egyptian,13:15,Standard,424₹,52,52
SaudiArabia,TownSquareJeddah,Egyptian,13:30,StandardPremium,424₹,20,20
SaudiArabia,TownSquareJeddah,Egyptian,13:30,Standard,424₹,26,26
Bahrain,CityCentreBahrain,Egyptian,13:30,Standard,824₹,142,16
Egypt,CityCentreAlmaza,Egyptian,14:15,StandardPremium,497₹,42,23
Lebanon,CityCentreBeirut,Egyptian,14:45,Standard,"2,628₹",85,16
Lebanon,CityCentreBeirut,Egyptian,14:45,StandardPremium,"2,628₹",66,30
Egypt,MallOfEgypt,Egyptian,14:45,Standard,456₹,48,12
Egypt,MallOfEgypt,Egyptian,14:45,StandardVip,497₹,30,23
SaudiArabia,AlQasrMallRiyadh,Egyptian,15:30,StandardPremium,424₹,53,53
SaudiArabia,AlQasrMallRiyadh,Egyptian,15:30,Standard,424₹,52,52
Uae,YasMallAbuDhabi,Egyptian,15:30,Standard,868₹,28,28
Uae,YasMallAbuDhabi,Egyptian,15:30,StandardPremium,"1,106₹",40,12
Bahrain,CityCentreBahrain,Egyptian,15:45,Standard,824₹,142,10
SaudiArabia,KingdomCentreRiyadh,Egyptian,15:50,VipStandard,"3,180₹",30,29
SaudiArabia,TownSquareJeddah,Egyptian,16:00,StandardPremium,424₹,20,20
SaudiArabia,TownSquareJeddah,Egyptian,16:00,Standard,424₹,26,26
Qatar,DohaFestivalCity,Egyptian,16:00,Standard,875₹,24,2
Qatar,DohaFestivalCity,Egyptian,16:00,StandardPremium,"1,094₹",34,29
Egypt,CityCentreAlmaza,Egyptian,16:45,StandardPremium,497₹,42,35
Lebanon,CityCentreBeirut,Egyptian,17:00,Standard,"2,628₹",85,21
Lebanon,CityCentreBeirut,Egyptian,17:00,StandardPremium,"2,628₹",66,37
SaudiArabia,HailSquareHail,Egyptian,17:15,StandardPremium,424₹,48,47
Egypt,MallOfEgypt,Egyptian,17:15,Standard,456₹,48,18
Egypt,MallOfEgypt,Egyptian,17:15,StandardVip,497₹,30,19
Uae,MallOfTheEmirates,Egyptian,17:20,StandardPremium,"1,041₹",48,40
Uae,CityCentreMirdif,Egyptian,17:30,StandardPremium,911₹,44,34
SaudiArabia,AlQasrMallRiyadh,Egyptian,17:45,StandardPremium,424₹,53,53
SaudiArabia,AlQasrMallRiyadh,Egyptian,17:45,Standard,424₹,52,52
SaudiArabia,RedSeaMallJeddah,Egyptian,18:00,StandardPremium,424₹,92,92
SaudiArabia,RedSeaMallJeddah,Egyptian,18:00,Standard,424₹,68,68
Bahrain,CityCentreBahrain,Egyptian,18:00,Standard,824₹,142,14
Uae,YasMallAbuDhabi,Egyptian,18:00,StandardPremium,976₹,40,23
SaudiArabia,TownSquareJeddah,Egyptian,18:15,StandardPremium,424₹,20,20
SaudiArabia,TownSquareJeddah,Egyptian,18:15,Standard,424₹,26,26
