Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,02:00,KidsPremium,"1,168₹",50,2
Bahrain,CityCentreBahrain,English,08:45,Standard,825₹,300,19
Uae,TheGalleriaAlMaryahIsland,English,09:20,StandardPremium,"1,108₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,09:20,Standard,869₹,20,0
Qatar,DohaOasis,English,09:30,Standard,986₹,68,0
Uae,CityCentreAlZahia,English,09:45,StandardPremium,"1,042₹",107,2
Uae,CityCentreAlZahia,English,09:45,Standard,798₹,79,0
Egypt,MallOfEgypt,English,10:00,Standard,452₹,81,0
Egypt,MallOfEgypt,English,10:00,StandardVip,493₹,31,5
Bahrain,CityCentreBahrain,English,10:45,Standard,825₹,300,18
Kuwait,TheAvenuesKuwait,English,11:10,StandardPremiumFamily,"1,162₹",15,12
Kuwait,TheAvenuesKuwait,English,11:10,StandardStandardFamily,904₹,10,5
Kuwait,TheAvenuesKuwait,English,11:10,StandardPremiumBachelor,"1,162₹",12,5
Kuwait,TheAvenuesKuwait,English,11:10,StandardStandardBachelor,904₹,10,3
Uae,TheGalleriaAlMaryahIsland,English,11:40,StandardPremium,"1,108₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,11:40,Standard,869₹,20,0
Oman,CityCentreMuscat,English,11:45,Standard,653₹,109,2
Oman,CityCentreMuscat,English,11:45,StandardPremium,870₹,111,4
Oman,MallOfOman,English,11:45,StandardPremium,934₹,56,5
Oman,MallOfOman,English,11:45,Standard,762₹,115,2
Uae,YasMallAbuDhabi,English,12:00,Standard,869₹,40,4
Uae,YasMallAbuDhabi,English,12:00,StandardPremium,"1,108₹",49,12
Uae,MallOfTheEmirates,English,12:30,Standard,797₹,36,0
Uae,MallOfTheEmirates,English,12:30,StandardPremium,"1,041₹",71,42
Egypt,CityCentreAlmaza,English,12:30,StandardPremium,492₹,42,11
Qatar,DohaOasis,English,12:45,VipStandard,"3,832₹",16,1
Bahrain,CityCentreBahrain,English,12:45,Standard,824₹,300,24
Oman,CityCentreMuscat,English,12:50,Standard,652₹,36,6
Qatar,DohaOasis,English,13:00,Standard,985₹,45,9
Qatar,DohaFestivalCity,English,13:00,TheatreStandard,"3,832₹",23,8
Qatar,DohaOasis,English,14:30,Standard,985₹,68,0
Qatar,DohaFestivalCity,English,14:40,Standard,875₹,24,16
Qatar,DohaFestivalCity,English,14:40,StandardPremium,"1,094₹",31,30
Bahrain,CityCentreBahrain,English,14:45,Standard,824₹,300,42
Oman,MallOfOman,English,15:00,StandardPremium,933₹,26,6
Oman,MallOfOman,English,15:00,Standard,762₹,21,0
Lebanon,CityCentreBeirut,English,15:20,GoldStandard,"6,873₹",30,5
Uae,CityCentreAlZahia,English,15:20,StandardPremium,"1,041₹",25,22
Uae,CityCentreAlZahia,English,15:20,Standard,797₹,40,12
Egypt,MallOfEgypt,English,15:30,Standard,451₹,81,10
Egypt,MallOfEgypt,English,15:30,StandardVip,492₹,31,26
Uae,NakheelMall,English,15:45,StandardPremium,"1,041₹",25,4
Uae,NationTowersAbuDhabi,English,16:15,Standard,868₹,36,4
Uae,NationTowersAbuDhabi,English,16:15,StandardPremium,"1,345₹",48,17
Qatar,DohaOasis,English,16:15,4DxStandard,"2,846₹",84,0
Qatar,DohaFestivalCity,English,16:20,4DxStandard,"2,846₹",72,13
Uae,CityCentreFujairah,English,16:30,Standard,797₹,38,12
Uae,CityCentreFujairah,English,16:30,StandardPremium,"1,041₹",36,7
Uae,YasMallAbuDhabi,English,16:30,Standard,868₹,40,11
Uae,YasMallAbuDhabi,English,16:30,StandardPremium,"1,107₹",49,41
Uae,NakheelMall,English,16:45,StandardPremium,"1,041₹",40,2
Oman,CityCentreMuscat,English,16:45,Standard,652₹,109,20
Oman,CityCentreMuscat,English,16:45,StandardPremium,869₹,111,9
Oman,MallOfOman,English,16:45,StandardPremium,933₹,56,11
Oman,MallOfOman,English,16:45,Standard,762₹,115,23
Bahrain,CityCentreBahrain,English,16:45,Standard,824₹,300,38
Uae,CityCentreMirdif,English,17:10,StandardPremium,"1,041₹",71,28
Uae,CityCentreMirdif,English,17:10,Standard,797₹,70,16
Uae,MallOfTheEmirates,English,17:10,Standard,797₹,36,3
Uae,MallOfTheEmirates,English,17:10,StandardPremium,"1,041₹",71,28
Qatar,DohaFestivalCity,English,17:30,Standard,875₹,63,8
Qatar,DohaFestivalCity,English,17:30,StandardPremium,"1,094₹",82,54
Uae,CityCentreAlZahia,English,17:40,StandardPremium,"1,041₹",25,18
Uae,CityCentreAlZahia,English,17:40,Standard,797₹,40,15
Egypt,CityCentreAlmaza,English,18:00,StandardPremium,492₹,42,38
Oman,MallOfOman,English,18:15,StandardPremium,933₹,26,12
Oman,MallOfOman,English,18:15,Standard,762₹,19,7
Oman,CityCentreMuscat,English,18:30,4DxStandard,"1,849₹",60,8
Bahrain,CityCentreBahrain,English,18:45,Standard,824₹,300,44
Uae,TheGalleriaAlMaryahIsland,English,19:00,StandardPremium,"1,107₹",26,16
Uae,TheGalleriaAlMaryahIsland,English,19:00,Standard,868₹,14,0
Kuwait,TheAvenuesKuwait,English,19:10,StandardPremiumFamily,"1,160₹",66,31
Kuwait,TheAvenuesKuwait,English,19:10,StandardPremiumBachelor,"1,160₹",77,31
Kuwait,TheAvenuesKuwait,English,19:10,StandardStandardFamily,902₹,38,0
Kuwait,TheAvenuesKuwait,English,19:10,StandardStandardBachelor,902₹,38,3
Oman,MallOfOman,English,19:15,StandardPremium,933₹,26,0
Oman,MallOfOman,English,19:15,Standard,762₹,21,2
Qatar,DohaFestivalCity,English,19:30,Standard,875₹,24,3
Qatar,DohaFestivalCity,English,19:30,StandardPremium,"1,094₹",31,26
Qatar,DohaOasis,English,19:30,Standard,985₹,68,10
Oman,MallOfOman,English,19:45,GoldStandard,"1,739₹",48,18
Uae,CityCentreAlZahia,English,19:55,StandardPremium,"1,041₹",25,6
Uae,CityCentreAlZahia,English,19:55,Standard,797₹,40,8
Uae,MallOfTheEmirates,English,20:00,Standard,797₹,51,3
Uae,MallOfTheEmirates,English,20:00,StandardPremium,"1,041₹",58,10
Kuwait,TheAvenuesKuwait,English,20:05,StandardPremiumFamily,"1,160₹",15,13
Kuwait,TheAvenuesKuwait,English,20:05,StandardStandardFamily,902₹,10,0
Kuwait,TheAvenuesKuwait,English,20:05,StandardPremiumBachelor,"1,160₹",12,9
Kuwait,TheAvenuesKuwait,English,20:05,StandardStandardBachelor,902₹,10,5
Bahrain,CityCentreBahrain,English,20:45,Standard,824₹,300,22
Egypt,MallOfEgypt,English,21:00,Standard,451₹,81,0
Egypt,MallOfEgypt,English,21:00,StandardVip,492₹,31,9
SaudiArabia,RiyadhFrontRiyadh,English,21:00,KidsPremium,"1,167₹",50,6
Kuwait,TheAvenuesKuwait,English,22:10,StandardPremiumFamily,"1,158₹",15,0
Kuwait,TheAvenuesKuwait,English,22:10,StandardStandardFamily,901₹,10,0
