Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,AlQasrMallRiyadh,English,07:00,KidsPremium,"1,165₹",47,1
SaudiArabia,RiyadhParkRiyadh,English,07:30,StandardPremium,"1,377₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,07:30,Standard,"1,165₹",32,0
Oman,MallOfOman,English,08:10,StandardPremium,933₹,26,0
Oman,MallOfOman,English,08:10,Standard,761₹,19,0
Uae,MallOfTheEmirates,English,08:15,StandardPremium,"1,040₹",48,4
Bahrain,CityCentreBahrain,English,08:30,Standard,830₹,116,0
Oman,CityCentreQurum,English,09:15,Standard,761₹,43,0
Oman,CityCentreQurum,English,09:15,StandardPremium,933₹,48,4
Qatar,DohaFestivalCity,English,09:30,Standard,875₹,31,2
Qatar,DohaFestivalCity,English,09:30,StandardPremium,"1,093₹",25,2
Qatar,DohaOasis,English,09:30,Standard,984₹,38,0
Uae,CityCentreMirdif,English,09:30,StandardPremium,"1,040₹",38,0
SaudiArabia,RiyadhParkRiyadh,English,09:45,StandardPremium,"1,377₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,09:45,Standard,"1,165₹",32,0
Qatar,DohaOasis,English,10:00,KidsStandard,984₹,34,0
Uae,CityCentreAlZahia,English,10:30,StandardPremium,"1,040₹",19,0
Uae,CityCentreAlZahia,English,10:30,Standard,796₹,24,0
Uae,TheGalleriaAlMaryahIsland,English,10:30,StandardPremium,"1,106₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,10:30,Standard,867₹,20,0
Uae,MallOfTheEmirates,English,10:35,StandardPremium,"1,040₹",48,4
Bahrain,CityCentreBahrain,English,10:45,Standard,830₹,116,2
Qatar,DohaFestivalCity,English,10:45,Standard,875₹,22,0
Qatar,DohaFestivalCity,English,10:45,StandardPremium,"1,093₹",28,3
Uae,YasMallAbuDhabi,English,11:20,Standard,867₹,39,1
Uae,YasMallAbuDhabi,English,11:20,StandardPremium,"1,106₹",40,3
SaudiArabia,AlQasrMallRiyadh,English,11:45,StandardPremium,"1,377₹",41,0
SaudiArabia,AlQasrMallRiyadh,English,11:45,Standard,"1,165₹",38,0
Uae,CityCentreMirdif,English,11:50,StandardPremium,"1,040₹",38,0
SaudiArabia,RiyadhParkRiyadh,English,12:00,StandardPremium,"1,377₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,12:00,Standard,"1,165₹",32,0
Oman,CityCentreMuscat,English,12:00,Standard,651₹,36,2
Oman,MallOfOman,English,12:30,StandardPremium,931₹,26,0
Oman,MallOfOman,English,12:30,Standard,759₹,19,0
Uae,TheGalleriaAlMaryahIsland,English,12:45,StandardPremium,"1,103₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,12:45,Standard,865₹,20,0
Uae,MallOfTheEmirates,English,12:55,StandardPremium,"1,038₹",48,4
Bahrain,CityCentreBahrain,English,13:00,Standard,822₹,116,0
Oman,CityCentreQurum,English,13:30,Standard,759₹,43,0
Oman,CityCentreQurum,English,13:30,StandardPremium,931₹,48,4
Uae,YasMallAbuDhabi,English,13:40,Standard,865₹,39,1
Uae,YasMallAbuDhabi,English,13:40,StandardPremium,"1,103₹",40,3
Qatar,DohaOasis,English,13:45,Standard,982₹,38,0
SaudiArabia,AlQasrMallRiyadh,English,14:00,StandardPremium,"1,375₹",41,0
SaudiArabia,AlQasrMallRiyadh,English,14:00,Standard,"1,163₹",38,0
Uae,CityCentreMirdif,English,14:10,StandardPremium,"1,038₹",38,0
SaudiArabia,RiyadhParkRiyadh,English,14:15,StandardPremium,"1,375₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,14:15,Standard,"1,163₹",32,0
Oman,CityCentreMuscat,English,14:15,Standard,650₹,36,4
Qatar,DohaOasis,English,14:15,KidsStandard,982₹,34,0
Uae,CityCentreFujairah,English,14:25,Standard,795₹,48,0
Uae,CityCentreFujairah,English,14:25,StandardPremium,"1,038₹",49,0
Uae,CityCentreAlZahia,English,15:00,StandardPremium,"1,038₹",19,2
Uae,CityCentreAlZahia,English,15:00,Standard,795₹,24,0
Qatar,DohaFestivalCity,English,15:15,Standard,873₹,22,0
Qatar,DohaFestivalCity,English,15:15,StandardPremium,"1,091₹",28,3
SaudiArabia,RiyadhFrontRiyadh,English,15:30,KidsPremium,"1,163₹",50,2
Bahrain,VoxCinemasTheAvenues,English,15:45,Standard,928₹,21,0
Bahrain,VoxCinemasTheAvenues,English,15:45,StandardPremium,"1,160₹",30,0
Uae,AlHamraMallRasAlKhaimah,English,15:55,Standard,795₹,38,0
Uae,AlHamraMallRasAlKhaimah,English,15:55,StandardPremium,"1,038₹",23,0
Uae,TheGalleriaAlMaryahIsland,English,18:45,KidsPremium,973₹,60,0
Uae,TheGalleriaAlMaryahIsland,English,18:45,KidsLounger,973₹,5,0
SaudiArabia,RiyadhFrontRiyadh,English,19:00,KidsPremium,"1,163₹",50,2
SaudiArabia,RiyadhParkRiyadh,English,20:30,KidsPremium,"1,163₹",38,0
