Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,English,01:30,StandardPremium,"1,383₹",28,0
SaudiArabia,RiyadhParkRiyadh,English,01:30,Standard,"1,170₹",28,0
SaudiArabia,RedSeaMallJeddah,English,02:05,StandardPremium,"1,383₹",92,0
SaudiArabia,RedSeaMallJeddah,English,02:05,Standard,"1,170₹",68,0
SaudiArabia,RedSeaMallJeddah,English,02:05,StandardWheelchairSpace,"1,170₹",3,0
SaudiArabia,RiyadhFrontRiyadh,English,06:30,StandardPremium,"1,383₹",24,0
SaudiArabia,RiyadhFrontRiyadh,English,06:30,Standard,"1,170₹",32,2
Uae,WafiMallAtWafiCity,English,07:55,StandardPremium,"1,044₹",66,0
Uae,WafiMallAtWafiCity,English,07:55,Standard,799₹,50,0
Oman,MallOfOman,English,09:00,StandardPremium,936₹,26,0
Oman,MallOfOman,English,09:00,Standard,764₹,21,0
Kuwait,TheAvenuesKuwait,English,09:10,StandardPremiumFamily,"1,163₹",15,0
Kuwait,TheAvenuesKuwait,English,09:10,StandardStandardFamily,905₹,10,0
Kuwait,TheAvenuesKuwait,English,09:10,StandardPremiumBachelor,"1,163₹",12,1
Kuwait,TheAvenuesKuwait,English,09:10,StandardStandardBachelor,905₹,10,0
Uae,CityCentreMirdif,English,09:30,StandardPremium,"1,044₹",29,0
Uae,CityCentreMirdif,English,09:30,Standard,799₹,25,0
SaudiArabia,KingdomCentreRiyadh,English,10:20,VipStandard,"3,191₹",24,0
Uae,CityCentreAlZahia,English,10:30,StandardPremium,"1,044₹",17,0
Uae,CityCentreAlZahia,English,10:30,Standard,799₹,25,0
Uae,YasMallAbuDhabi,English,10:30,Standard,870₹,31,0
Uae,YasMallAbuDhabi,English,10:30,StandardPremium,"1,110₹",49,4
Lebanon,CityCentreBeirut,English,10:45,Standard,"4,474₹",40,5
Lebanon,CityCentreBeirut,English,10:45,StandardVip,"5,000₹",28,0
SaudiArabia,RiyadhFrontRiyadh,English,11:00,StandardPremium,"1,383₹",24,0
SaudiArabia,RiyadhFrontRiyadh,English,11:00,Standard,"1,170₹",32,2
SaudiArabia,SaharaMallRiyadh,English,11:00,Standard,"1,170₹",32,0
SaudiArabia,SaharaMallRiyadh,English,11:00,StandardPremium,"1,383₹",38,0
Uae,TheGalleriaAlMaryahIsland,English,11:15,StandardPremium,"1,110₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,11:15,Standard,870₹,20,0
Oman,CityCentreSuhar,English,11:15,Standard,654₹,50,0
Oman,CityCentreSuhar,English,11:15,StandardPremium,764₹,28,4
