Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,AlQasrMallRiyadh,English,07:15,StandardPremium,"1,412₹",45,0
SaudiArabia,AlQasrMallRiyadh,English,07:15,Standard,"1,195₹",46,0
SaudiArabia,TownSquareJeddah,English,07:30,Mx4DPremium,"2,173₹",40,5
SaudiArabia,RiyadhFrontRiyadh,English,08:15,StandardPremium,"1,412₹",31,2
SaudiArabia,RiyadhFrontRiyadh,English,08:15,Standard,"1,195₹",16,4
Uae,MallOfTheEmirates,English,08:20,Standard,816₹,51,0
Uae,MallOfTheEmirates,English,08:20,StandardPremium,"1,066₹",58,6
Egypt,MallOfEgypt,English,09:15,Standard,459₹,113,1
Egypt,MallOfEgypt,English,09:15,StandardPremium,501₹,74,15
SaudiArabia,RiyadhFrontRiyadh,English,09:30,StandardPremium,"1,412₹",33,2
SaudiArabia,RiyadhFrontRiyadh,English,09:30,Standard,"1,195₹",40,2
Egypt,MallOfEgypt,English,10:00,4DxStandard,835₹,84,9
SaudiArabia,RiyadhParkRiyadh,English,10:15,IceImmersivePremium,"1,629₹",51,3
SaudiArabia,RiyadhParkRiyadh,English,10:15,IceImmersiveStandard,"1,629₹",47,0
Egypt,CityCentreAlmaza,English,10:30,ImaxPremium,626₹,180,19
Egypt,CityCentreAlmaza,English,10:30,ImaxStandard,584₹,131,0
Egypt,CityCentreAlmaza,English,10:30,GoldStandard,919₹,38,10
Uae,MallOfTheEmirates,English,10:30,Standard,816₹,36,4
Uae,MallOfTheEmirates,English,10:30,StandardPremium,"1,066₹",71,4
SaudiArabia,TownSquareJeddah,English,11:00,IceImmersivePremium,"1,629₹",147,2
SaudiArabia,KingdomCentreRiyadh,English,11:10,VipStandard,"3,259₹",24,2
Bahrain,CityCentreBahrain,English,11:15,Standard,843₹,130,5
Uae,NakheelMall,English,12:10,StandardPremium,"1,069₹",33,4
Egypt,MallOfEgypt,English,12:15,Standard,458₹,113,3
Egypt,MallOfEgypt,English,12:15,StandardPremium,499₹,74,17
SaudiArabia,AlQasrMallRiyadh,English,12:30,StandardPremium,"1,414₹",45,0
SaudiArabia,AlQasrMallRiyadh,English,12:30,Standard,"1,197₹",46,0
Egypt,MallOfEgypt,English,13:00,4DxStandard,833₹,84,6
SaudiArabia,TownSquareJeddah,English,13:00,Mx4DPremium,"2,176₹",40,4
Egypt,CityCentreAlmaza,English,13:30,GoldStandard,916₹,38,19
SaudiArabia,RiyadhFrontRiyadh,English,13:30,StandardPremium,"1,414₹",31,1
SaudiArabia,RiyadhFrontRiyadh,English,13:30,Standard,"1,197₹",16,2
SaudiArabia,TheRoofRiyadh,English,13:45,StandardPremium,"1,414₹",52,4
SaudiArabia,TheRoofRiyadh,English,13:45,Standard,"1,197₹",37,3
Egypt,CityCentreAlmaza,English,14:15,4DxStandard,833₹,60,10
Uae,TheGalleriaAlMaryahIsland,English,15:00,StandardPremium,"1,136₹",28,4
Uae,TheGalleriaAlMaryahIsland,English,15:00,Standard,891₹,16,0
SaudiArabia,RiyadhFrontRiyadh,English,15:00,StandardPremium,"1,414₹",33,4
SaudiArabia,RiyadhFrontRiyadh,English,15:00,Standard,"1,197₹",40,6
SaudiArabia,TheSpotSheikhJaberRiyadh,English,15:10,VipPremium,"1,741₹",46,0
Egypt,MallOfEgypt,English,15:15,Standard,458₹,113,1
Egypt,MallOfEgypt,English,15:15,StandardPremium,499₹,74,26
Bahrain,CityCentreBahrain,English,15:45,Standard,845₹,130,12
SaudiArabia,RiyadhParkRiyadh,English,15:45,IceImmersivePremium,"1,632₹",51,10
SaudiArabia,RiyadhParkRiyadh,English,15:45,IceImmersiveStandard,"1,632₹",47,0
Oman,MallOfOman,English,15:55,StandardPremium,958₹,26,2
Oman,MallOfOman,English,15:55,Standard,782₹,21,5
Egypt,MallOfEgypt,English,16:00,4DxStandard,833₹,84,10
Uae,MallOfTheEmirates,English,16:00,Standard,818₹,51,3
Uae,MallOfTheEmirates,English,16:00,StandardPremium,"1,069₹",58,19
Oman,CityCentreMuscat,English,16:20,Standard,669₹,36,6
Egypt,CityCentreAlmaza,English,16:30,GoldStandard,916₹,38,15
SaudiArabia,TabukParkTabuk,English,16:30,Standard,"1,197₹",24,5
SaudiArabia,TabukParkTabuk,English,16:30,StandardPremium,"1,414₹",24,0
SaudiArabia,TownSquareJeddah,English,16:30,IceImmersivePremium,"1,632₹",147,3
Egypt,CityCentreAlmaza,English,17:00,ImaxPremium,624₹,180,33
Egypt,CityCentreAlmaza,English,17:00,ImaxStandard,583₹,131,0
SaudiArabia,AlQasrMallRiyadh,English,17:45,StandardPremium,"1,414₹",45,6
SaudiArabia,AlQasrMallRiyadh,English,17:45,Standard,"1,197₹",46,2
Egypt,MallOfEgypt,English,18:15,Standard,458₹,113,3
Egypt,MallOfEgypt,English,18:15,StandardPremium,499₹,74,21
Uae,TheGalleriaAlMaryahIsland,English,18:15,StandardPremium,"1,136₹",28,2
Uae,TheGalleriaAlMaryahIsland,English,18:15,Standard,891₹,16,5
Uae,NakheelMall,English,18:30,StandardPremium,"1,069₹",33,3
SaudiArabia,KingdomCentreRiyadh,English,18:30,VipStandard,"3,265₹",24,19
SaudiArabia,TownSquareJeddah,English,18:30,Mx4DPremium,"2,176₹",40,9
Oman,MallOfOman,English,18:40,StandardPremium,958₹,26,2
Oman,MallOfOman,English,18:40,Standard,782₹,21,1
Uae,MallOfTheEmirates,English,18:45,Standard,818₹,51,6
Uae,MallOfTheEmirates,English,18:45,StandardPremium,"1,069₹",58,10
Oman,MallOfOman,English,18:45,KidsPremium,782₹,20,0
Egypt,MallOfEgypt,English,19:00,4DxStandard,833₹,84,10
Oman,CityCentreMuscat,English,19:00,Standard,669₹,36,4
Egypt,CityCentreAlmaza,English,19:30,GoldStandard,916₹,38,37
SaudiArabia,TheSpotSheikhJaberRiyadh,English,19:50,VipPremium,"1,741₹",46,6
Bahrain,CityCentreBahrain,English,20:15,Standard,845₹,130,1
SaudiArabia,RiyadhFrontRiyadh,English,20:30,StandardPremium,"1,414₹",33,0
SaudiArabia,RiyadhFrontRiyadh,English,20:30,Standard,"1,197₹",40,2
Egypt,CityCentreAlmaza,English,20:45,4DxStandard,833₹,60,4
Egypt,MallOfEgypt,English,21:15,Standard,458₹,113,1
Egypt,MallOfEgypt,English,21:15,StandardPremium,499₹,74,15
SaudiArabia,RiyadhParkRiyadh,English,21:15,IceImmersivePremium,"1,632₹",51,0
SaudiArabia,RiyadhParkRiyadh,English,21:15,IceImmersiveStandard,"1,632₹",47,0
Egypt,MallOfEgypt,English,22:00,4DxStandard,833₹,84,6
SaudiArabia,TownSquareJeddah,English,22:00,IceImmersivePremium,"1,632₹",147,0
SaudiArabia,TheRoofRiyadh,English,22:20,StandardPremium,"1,414₹",52,0
SaudiArabia,TheRoofRiyadh,English,22:20,Standard,"1,197₹",37,0
