Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreDeira,Tamil,07:40,Standard,799₹,96,1
Uae,CityCentreDeira,Tamil,07:40,StandardPremium,"1,044₹",57,0
Oman,Mgm,Tamil,07:45,StandardPremium,872₹,17,0
Oman,Mgm,Tamil,07:45,Standard,764₹,32,2
Uae,CityCentreShindagha,Tamil,08:05,Standard,799₹,100,0
Uae,CityCentreShindagha,Tamil,08:05,StandardPremium,"1,044₹",30,0
Oman,Azaiba,Tamil,08:05,Standard,590₹,97,5
Uae,MallOfTheEmirates,Tamil,08:50,StandardPremium,"1,044₹",48,8
Uae,Burjuman,Tamil,09:00,VipPremium,"1,370₹",50,5
Uae,CityCentreSharjah,Tamil,09:20,Standard,799₹,40,0
Uae,CityCentreSharjah,Tamil,09:20,StandardPremium,"1,044₹",36,4
Uae,MegaplexCineplexGrandHyatt,Tamil,09:30,Standard,799₹,60,1
Uae,MegaplexCineplexGrandHyatt,Tamil,09:30,StandardPremium,"1,044₹",70,0
Oman,NizwaGrandMall,Tamil,09:45,Standard,654₹,28,1
Oman,NizwaGrandMall,Tamil,09:45,StandardPremium,764₹,30,6
Oman,SuharPlaza,Tamil,10:10,Standard,502₹,196,8
Oman,CityCentreSuhar,Tamil,10:15,Standard,654₹,50,0
Oman,CityCentreSuhar,Tamil,10:15,StandardPremium,764₹,28,1
Uae,CityCentreDeira,Tamil,10:20,Standard,799₹,96,2
Uae,CityCentreDeira,Tamil,10:20,StandardPremium,"1,044₹",57,0
Uae,Burjuman,Tamil,11:10,StandardPremium,"1,044₹",86,9
Uae,Burjuman,Tamil,11:10,Standard,799₹,50,0
Uae,CityCentreAjman,Tamil,11:25,Standard,875₹,45,5
Uae,CityCentreAjman,Tamil,11:25,StandardPremium,"1,131₹",29,0
Uae,CityCentreSharjah,Tamil,12:00,Standard,796₹,40,11
Uae,CityCentreSharjah,Tamil,12:00,StandardPremium,"1,039₹",36,2
Oman,Sur,Tamil,12:20,Standard,500₹,167,12
Oman,Salalah,Tamil,12:30,Standard,434₹,106,2
Oman,Salalah,Tamil,12:30,StandardPremium,651₹,112,0
Oman,CityCentreQurum,Tamil,12:45,Standard,760₹,53,3
Oman,CityCentreQurum,Tamil,12:45,StandardPremium,932₹,59,4
Oman,Ruwi,Tamil,13:00,StandardPremium,500₹,98,15
Uae,Burjuman,Tamil,13:10,VipPremium,"1,364₹",50,15
Oman,Sur,Malayalam,13:15,Standard,501₹,167,1
Oman,Shatti,Tamil,13:30,Standard,651₹,185,4
Uae,CityCentreShindagha,Tamil,13:40,Standard,796₹,100,4
Uae,CityCentreShindagha,Tamil,13:40,StandardPremium,"1,039₹",30,0
Oman,Panorama,Tamil,14:20,Standard,651₹,104,6
Uae,CityCentreSharjah,Tamil,14:40,Standard,796₹,40,8
Uae,CityCentreSharjah,Tamil,14:40,StandardPremium,"1,039₹",36,13
Oman,SuharPlaza,Tamil,14:45,Standard,500₹,196,8
Uae,MegaplexCineplexGrandHyatt,Tamil,15:00,Standard,796₹,60,1
Uae,MegaplexCineplexGrandHyatt,Tamil,15:00,StandardPremium,"1,039₹",70,2
Oman,NizwaGrandMall,Tamil,15:25,Standard,651₹,28,10
Oman,NizwaGrandMall,Tamil,15:25,StandardPremium,760₹,30,5
Oman,CityCentreSuhar,Tamil,15:40,Standard,651₹,50,0
Oman,CityCentreSuhar,Tamil,15:40,StandardPremium,760₹,28,0
Uae,CityCentreDeira,Tamil,16:00,Standard,796₹,96,19
Uae,CityCentreDeira,Tamil,16:00,StandardPremium,"1,039₹",57,22
Oman,Azaiba,Tamil,16:40,Standard,586₹,97,22
Uae,Burjuman,Tamil,16:45,StandardPremium,"1,039₹",86,24
Uae,Burjuman,Tamil,16:45,Standard,796₹,50,4
Oman,Mgm,Tamil,16:45,StandardPremium,868₹,17,4
Oman,Mgm,Tamil,16:45,Standard,760₹,32,3
Uae,CityCentreSharjah,Tamil,17:20,Standard,796₹,40,10
Uae,CityCentreSharjah,Tamil,17:20,StandardPremium,"1,039₹",36,10
Uae,CityCentreAjman,Tamil,18:20,StandardPremium,"1,126₹",44,0
Uae,CityCentreDeira,Tamil,18:40,Standard,796₹,96,13
Uae,CityCentreDeira,Tamil,18:40,StandardPremium,"1,039₹",57,17
Oman,Panorama,Tamil,19:10,Standard,651₹,104,10
Uae,Burjuman,Tamil,19:30,VipPremium,"1,364₹",50,15
Oman,Ruwi,Tamil,19:30,Standard,628₹,27,3
Uae,CityCentreSharjah,Tamil,20:00,Standard,796₹,40,5
Uae,CityCentreSharjah,Tamil,20:00,StandardPremium,"1,039₹",36,2
