Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,Burjuman,Hindi,07:30,StandardPremium,"1,044₹",110,4
Uae,Burjuman,Hindi,07:30,Standard,799₹,80,0
SaudiArabia,AlQasrMallRiyadh,Hindi,08:00,StandardPremium,"1,383₹",32,4
SaudiArabia,AlQasrMallRiyadh,Hindi,08:00,Standard,"1,170₹",32,0
Uae,CityCentreMirdif,Hindi,08:00,StandardPremium,"1,044₹",87,11
Uae,CityCentreMirdif,Hindi,08:00,Standard,799₹,75,5
Uae,MallOfTheEmirates,Hindi,08:00,Standard,799₹,36,0
Uae,MallOfTheEmirates,Hindi,08:00,StandardPremium,"1,044₹",71,5
Uae,TheGalleriaAlMaryahIsland,Hindi,08:00,StandardPremium,"1,110₹",29,0
Uae,TheGalleriaAlMaryahIsland,Hindi,08:00,Standard,870₹,26,0
Uae,MegaplexCineplexGrandHyatt,Hindi,08:05,Standard,799₹,240,0
Uae,MegaplexCineplexGrandHyatt,Hindi,08:05,StandardPremium,"1,044₹",220,0
Uae,YasMallAbuDhabi,Hindi,08:15,Standard,870₹,107,3
Uae,YasMallAbuDhabi,Hindi,08:15,StandardPremium,"1,110₹",134,5
Uae,CityCentreAjman,Hindi,08:30,Standard,876₹,96,0
Uae,CityCentreAjman,Hindi,08:30,StandardPremium,"1,131₹",60,0
Uae,CityCentreSharjah,Hindi,08:45,Standard,799₹,43,0
Uae,CityCentreSharjah,Hindi,08:45,StandardPremium,"1,044₹",35,0
Oman,MallOfOman,Hindi,08:45,StandardPremium,936₹,56,0
Oman,MallOfOman,Hindi,08:45,Standard,764₹,115,0
Oman,CityCentreMuscat,Hindi,09:00,Standard,654₹,36,2
Uae,MegaplexCineplexGrandHyatt,Hindi,09:00,Standard,799₹,96,0
Uae,MegaplexCineplexGrandHyatt,Hindi,09:00,StandardPremium,"1,044₹",104,0
Uae,CityCentreAlZahia,Hindi,09:15,StandardPremium,"1,044₹",107,0
Uae,CityCentreAlZahia,Hindi,09:15,Standard,799₹,79,0
Uae,CityCentreDeira,Hindi,09:15,MaxCity1016WithLaserBalcony,"1,828₹",138,0
Uae,CityCentreDeira,Hindi,09:15,MaxCity1016WithLaserPremium,"1,371₹",148,20
Uae,CityCentreDeira,Hindi,09:15,MaxCity1016WithLaserStandard,914₹,212,0
Uae,CityCentreDeira,Hindi,09:15,MaxCity1016WithLaserLounger,914₹,28,0
Uae,Burjuman,Hindi,09:30,VipPremium,"1,371₹",50,1
Uae,CityCentreShindagha,Hindi,09:30,Standard,799₹,126,0
Uae,CityCentreShindagha,Hindi,09:30,StandardPremium,"1,044₹",78,0
Uae,WafiMallAtWafiCity,Hindi,09:30,Standard,799₹,56,0
Uae,WafiMallAtWafiCity,Hindi,09:30,StandardPremium,"1,044₹",64,0
Bahrain,CityCentreBahrain,Hindi,09:30,Standard,827₹,110,1
Oman,CityCentreSuhar,Hindi,09:30,Standard,654₹,79,0
Oman,CityCentreSuhar,Hindi,09:30,StandardPremium,764₹,61,4
Uae,CityCentreSharjah,Hindi,09:45,Standard,799₹,79,0
Uae,CityCentreSharjah,Hindi,09:45,StandardPremium,"1,044₹",67,0
