Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Lebanon,CityCentreBeirut,Lebanese,08:10,Standard,"2,628₹",92,0
Lebanon,CityCentreBeirut,Lebanese,08:10,StandardVip,"2,628₹",58,1
Lebanon,CityCentreBeirut,Lebanese,10:25,Standard,"2,628₹",92,7
Lebanon,CityCentreBeirut,Lebanese,10:25,StandardVip,"2,628₹",58,1
Lebanon,CityCentreBeirut,Lebanese,12:00,GoldStandard,"6,833₹",22,2
Lebanon,CityCentreBeirut,Lebanese,12:40,Standard,"2,628₹",92,9
Lebanon,CityCentreBeirut,Lebanese,12:40,StandardVip,"2,628₹",58,1
Lebanon,CityCentreBeirut,Lebanese,14:30,GoldStandard,"6,833₹",22,4
Lebanon,CityCentreBeirut,Lebanese,14:55,Standard,"2,628₹",92,9
Lebanon,CityCentreBeirut,Lebanese,14:55,StandardVip,"2,628₹",58,7
Lebanon,CityCentreBeirut,Lebanese,17:00,GoldStandard,"6,833₹",22,4
Lebanon,CityCentreBeirut,Lebanese,17:10,Standard,"2,628₹",92,14
Lebanon,CityCentreBeirut,Lebanese,17:10,StandardVip,"2,628₹",58,24
