Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,05:15,KidsPremium,"1,197₹",50,2
Uae,MallOfTheEmirates,English,08:00,KidsPremium,935₹,94,5
Egypt,MallOfEgypt,English,09:15,KidsVip,458₹,31,0
SaudiArabia,AlQasrMallRiyadh,English,09:15,KidsPremium,"1,197₹",47,3
SaudiArabia,RedSeaMallJeddah,English,09:15,KidsStandard,"1,197₹",69,1
SaudiArabia,RiyadhFrontRiyadh,English,09:45,KidsPremium,"1,197₹",50,2
Kuwait,TheAvenuesKuwait,English,09:55,KidsStandard,924₹,47,1
Uae,MallOfTheEmirates,English,10:00,KidsPremium,935₹,48,6
Uae,YasMallAbuDhabi,English,10:25,KidsPremium,"1,002₹",68,4
Uae,NakheelMall,English,10:30,StandardPremium,"1,069₹",33,3
Oman,MallOfOman,English,10:35,KidsPremium,782₹,20,5
SaudiArabia,TownSquareJeddah,English,10:45,KidsPremium,"1,197₹",41,0
SaudiArabia,TownSquareJeddah,English,10:45,KidsLounger,"1,197₹",6,0
SaudiArabia,RiyadhParkRiyadh,English,10:50,KidsPremium,"1,197₹",38,2
Uae,TheGalleriaAlMaryahIsland,English,11:00,KidsPremium,"1,002₹",60,0
Uae,TheGalleriaAlMaryahIsland,English,11:00,KidsLounger,"1,002₹",5,0
Kuwait,TheAvenuesKuwait,English,12:15,KidsStandard,922₹,47,1
Uae,YasMallAbuDhabi,English,12:45,KidsPremium,999₹,68,2
Uae,CityCentreMirdif,English,13:00,StandardPremium,"1,066₹",48,18
Uae,CityCentreMirdif,English,13:00,Standard,816₹,104,8
Lebanon,CityCentreBeirut,English,13:10,Standard,"4,584₹",40,8
Lebanon,CityCentreBeirut,English,13:10,StandardVip,"5,123₹",28,0
Egypt,CityCentreAlmaza,English,13:15,KidsPremium,456₹,67,9
Uae,TheGalleriaAlMaryahIsland,English,13:15,KidsPremium,999₹,60,0
Uae,TheGalleriaAlMaryahIsland,English,13:15,KidsLounger,999₹,5,0
SaudiArabia,AlQasrMallRiyadh,English,13:30,KidsPremium,"1,193₹",47,1
Uae,MallOfTheEmirates,English,13:40,Standard,816₹,51,0
Uae,MallOfTheEmirates,English,13:40,StandardPremium,"1,066₹",58,7
Qatar,DohaFestivalCity,English,13:45,KidsPremium,"1,008₹",50,6
Uae,CityCentreAlZahia,English,14:00,KidsPremium,932₹,33,2
SaudiArabia,RedSeaMallJeddah,English,14:15,KidsStandard,"1,193₹",69,4
SaudiArabia,RiyadhFrontRiyadh,English,14:15,KidsPremium,"1,193₹",50,2
Egypt,MallOfEgypt,English,14:30,KidsVip,456₹,31,0
Kuwait,TheAvenuesKuwait,English,14:35,KidsStandard,922₹,47,9
Uae,WafiMallAtWafiCity,English,15:00,KidsPremium,932₹,71,0
SaudiArabia,TownSquareJeddah,English,15:00,KidsPremium,"1,193₹",41,0
SaudiArabia,TownSquareJeddah,English,15:00,KidsLounger,"1,193₹",6,0
Qatar,DohaFestivalCity,English,15:00,KidsPremium,"1,008₹",48,0
Uae,YasMallAbuDhabi,English,15:05,KidsPremium,999₹,68,2
Uae,CityCentreMirdif,English,15:15,StandardPremium,"1,066₹",48,15
Uae,CityCentreMirdif,English,15:15,Standard,816₹,104,13
Uae,MallOfTheEmirates,English,16:20,KidsPremium,932₹,94,5
Kuwait,TheAvenuesKuwait,English,16:55,KidsStandard,922₹,47,2
SaudiArabia,RiyadhFrontRiyadh,English,18:45,KidsPremium,"1,193₹",50,2
SaudiArabia,RiyadhParkRiyadh,English,18:45,KidsPremium,"1,193₹",38,3
Kuwait,TheAvenuesKuwait,English,19:15,KidsStandard,922₹,47,1
Egypt,MallOfEgypt,English,19:45,KidsVip,456₹,31,0
