Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,05:30,StandardPremium,"1,379₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,05:30,Standard,"1,167₹",16,2
Bahrain,CityCentreBahrain,English,08:00,Standard,824₹,110,3
Qatar,DohaOasis,English,08:45,Standard,986₹,43,0
Oman,CityCentreQurum,English,09:00,Standard,762₹,42,0
Oman,CityCentreQurum,English,09:00,StandardPremium,933₹,53,4
SaudiArabia,RiyadhFrontRiyadh,English,09:45,StandardPremium,"1,379₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,09:45,Standard,"1,167₹",16,3
SaudiArabia,RiyadhParkRiyadh,English,09:45,Standard,"1,379₹",74,6
SaudiArabia,AlQasrMallRiyadh,English,10:00,StandardPremium,"1,379₹",32,0
SaudiArabia,AlQasrMallRiyadh,English,10:00,Standard,"1,167₹",32,3
Bahrain,CityCentreBahrain,English,10:00,Standard,824₹,110,1
Bahrain,VoxCinemasTheAvenues,English,10:45,Standard,930₹,23,2
Bahrain,VoxCinemasTheAvenues,English,10:45,StandardPremium,"1,163₹",30,0
Uae,CityCentreFujairah,English,11:00,Standard,797₹,56,0
Uae,CityCentreFujairah,English,11:00,StandardPremium,"1,041₹",64,0
Uae,NationTowersAbuDhabi,English,11:00,StandardPremium,"1,345₹",59,0
Uae,NationTowersAbuDhabi,English,11:00,Standard,868₹,52,0
Oman,Mgm,English,11:45,StandardPremium,869₹,17,0
Oman,Mgm,English,11:45,Standard,762₹,32,6
Uae,YasMallAbuDhabi,English,11:45,Standard,868₹,28,6
Uae,YasMallAbuDhabi,English,11:45,StandardPremium,"1,107₹",40,10
Bahrain,CityCentreBahrain,English,12:00,Standard,824₹,110,8
Oman,CityCentreSuhar,English,12:15,Standard,652₹,56,3
Oman,CityCentreSuhar,English,12:15,StandardPremium,761₹,41,8
Uae,NationTowersAbuDhabi,English,12:20,StandardPremium,"1,344₹",69,4
Uae,NationTowersAbuDhabi,English,12:20,Standard,867₹,52,0
Qatar,DohaFestivalCity,English,12:30,Standard,875₹,18,0
Qatar,DohaFestivalCity,English,12:30,StandardPremium,"1,093₹",25,12
Qatar,DohaOasis,English,13:00,Standard,986₹,43,0
Uae,AlHamraMallRasAlKhaimah,English,13:00,Standard,796₹,59,5
Uae,AlHamraMallRasAlKhaimah,English,13:00,StandardPremium,"1,040₹",40,4
Uae,CityCentreFujairah,English,13:00,Standard,796₹,48,0
Uae,CityCentreFujairah,English,13:00,StandardPremium,"1,040₹",49,1
Oman,SuharPlaza,English,13:30,Standard,500₹,211,4
SaudiArabia,RiyadhParkRiyadh,English,13:45,Standard,"1,377₹",74,0
SaudiArabia,RiyadhFrontRiyadh,English,14:00,StandardPremium,"1,377₹",31,6
SaudiArabia,RiyadhFrontRiyadh,English,14:00,Standard,"1,165₹",16,4
Bahrain,CityCentreBahrain,English,14:00,Standard,824₹,110,13
Oman,NizwaGrandMall,English,14:15,Standard,652₹,48,3
Oman,NizwaGrandMall,English,14:15,StandardPremium,761₹,49,3
Oman,SuharPlaza,English,15:00,Standard,500₹,196,4
SaudiArabia,AlQasrMallRiyadh,English,15:00,StandardPremium,"1,377₹",32,1
SaudiArabia,AlQasrMallRiyadh,English,15:00,Standard,"1,165₹",32,4
Kuwait,TheAvenuesKuwait,English,15:10,StandardPremiumFamily,"1,159₹",15,8
Kuwait,TheAvenuesKuwait,English,15:10,StandardStandardFamily,901₹,10,0
Kuwait,TheAvenuesKuwait,English,15:10,StandardPremiumBachelor,"1,159₹",12,8
Kuwait,TheAvenuesKuwait,English,15:10,StandardStandardBachelor,901₹,10,0
SaudiArabia,HailSquareHail,English,15:30,Standard,"1,165₹",26,1
SaudiArabia,HailSquareHail,English,15:30,StandardPremium,"1,377₹",20,0
SaudiArabia,TabukParkTabuk,English,15:50,Standard,"1,165₹",24,1
SaudiArabia,TabukParkTabuk,English,15:50,StandardPremium,"1,377₹",24,0
Uae,YasMallAbuDhabi,English,16:00,Standard,867₹,28,4
Uae,YasMallAbuDhabi,English,16:00,StandardPremium,"1,105₹",40,12
Bahrain,CityCentreBahrain,English,16:00,Standard,824₹,110,4
Oman,CityCentreSuhar,English,16:30,Standard,652₹,56,2
Oman,CityCentreSuhar,English,16:30,StandardPremium,761₹,41,5
Oman,CityCentreQurum,English,16:55,Standard,762₹,42,0
Oman,CityCentreQurum,English,16:55,StandardPremium,933₹,53,4
Uae,NationTowersAbuDhabi,English,17:00,StandardPremium,"1,344₹",29,10
Uae,NationTowersAbuDhabi,English,17:00,Standard,867₹,23,6
