Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,AlQasrMallRiyadh,Hindi,06:30,StandardPremium,"1,383₹",67,0
SaudiArabia,AlQasrMallRiyadh,Hindi,06:30,Standard,"1,170₹",52,0
Uae,CityCentreSharjah,Hindi,07:45,Standard,799₹,40,0
Uae,CityCentreSharjah,Hindi,07:45,StandardVip,"1,044₹",26,1
Uae,CityCentreDeira,Hindi,08:25,Standard,799₹,84,0
Uae,CityCentreDeira,Hindi,08:25,StandardPremium,"1,044₹",51,0
Uae,CityCentreMirdif,Hindi,08:30,StandardPremium,"1,044₹",71,4
Uae,CityCentreMirdif,Hindi,08:30,Standard,799₹,70,1
Uae,MallOfTheEmirates,Hindi,08:30,StandardPremium,"1,044₹",48,6
Uae,MegaplexCineplexGrandHyatt,Hindi,09:10,Standard,799₹,60,1
Uae,MegaplexCineplexGrandHyatt,Hindi,09:10,StandardPremium,"1,044₹",70,0
Oman,CityCentreSuhar,Hindi,09:20,Standard,654₹,50,0
Oman,CityCentreSuhar,Hindi,09:20,StandardPremium,764₹,28,4
Oman,NizwaGrandMall,Hindi,10:15,Standard,654₹,24,0
Oman,NizwaGrandMall,Hindi,10:15,StandardPremium,764₹,20,3
SaudiArabia,AlQasrMallRiyadh,Hindi,10:30,StandardPremium,"1,383₹",27,0
SaudiArabia,AlQasrMallRiyadh,Hindi,10:30,Standard,"1,170₹",26,0
Oman,Ruwi,Hindi,10:30,Standard,631₹,429,391
Oman,Ruwi,Hindi,10:30,StandardPremium,502₹,396,0
SaudiArabia,TownSquareJeddah,Hindi,10:45,StandardPremium,"1,383₹",20,0
SaudiArabia,TownSquareJeddah,Hindi,10:45,Standard,"1,170₹",26,2
SaudiArabia,WestAvenueMallDammam,Hindi,11:00,StandardPremium,"1,383₹",84,0
SaudiArabia,WestAvenueMallDammam,Hindi,11:00,Standard,"1,170₹",74,0
Oman,SuharPlaza,Hindi,11:00,Standard,502₹,251,4
Uae,CityCentreMirdif,Hindi,11:00,StandardPremium,"1,044₹",71,4
Uae,CityCentreMirdif,Hindi,11:00,Standard,799₹,70,1
Uae,CityCentreShindagha,Hindi,11:10,Standard,799₹,67,0
Uae,CityCentreShindagha,Hindi,11:10,StandardPremium,"1,044₹",24,0
Uae,CityCentreAjman,Hindi,11:15,MaxStandard,957₹,103,4
Uae,CityCentreAjman,Hindi,11:15,MaxPremium,"1,251₹",198,2
Uae,CityCentreDeira,Hindi,11:45,GoldStandard,"2,057₹",32,2
Uae,MegaplexCineplexGrandHyatt,Hindi,11:45,Standard,799₹,60,1
Uae,MegaplexCineplexGrandHyatt,Hindi,11:45,StandardPremium,"1,044₹",70,0
Oman,CityCentreQurum,Hindi,12:15,Standard,764₹,43,0
Oman,CityCentreQurum,Hindi,12:15,StandardPremium,936₹,48,4
Uae,Burjuman,Hindi,12:25,Standard,799₹,48,3
Oman,Azaiba,Hindi,13:00,Standard,589₹,129,4
Oman,Shatti,Hindi,13:00,Standard,654₹,185,0
Uae,CityCentreSharjah,Hindi,13:10,Standard,799₹,40,0
Uae,CityCentreSharjah,Hindi,13:10,StandardVip,"1,044₹",26,1
SaudiArabia,AtyafMallRiyadh,Hindi,13:15,Standard,"1,170₹",19,0
SaudiArabia,AtyafMallRiyadh,Hindi,13:15,StandardPremium,"1,383₹",22,0
Uae,WafiMallAtWafiCity,Hindi,13:25,StandardPremium,"1,044₹",66,0
Uae,WafiMallAtWafiCity,Hindi,13:25,Standard,799₹,50,0
Uae,CityCentreMirdif,Hindi,13:30,StandardPremium,"1,044₹",71,4
Uae,CityCentreMirdif,Hindi,13:30,Standard,799₹,70,1
Oman,Mgm,Hindi,13:30,StandardPremium,872₹,58,0
Oman,Mgm,Hindi,13:30,Standard,764₹,71,4
Oman,Salalah,Hindi,13:35,Standard,436₹,108,0
Oman,Salalah,Hindi,13:35,StandardPremium,654₹,112,0
Uae,CityCentreDeira,Hindi,13:50,Standard,799₹,84,0
Uae,CityCentreDeira,Hindi,13:50,StandardPremium,"1,044₹",51,0
Uae,MallOfTheEmirates,Hindi,14:00,Standard,799₹,36,0
Uae,MallOfTheEmirates,Hindi,14:00,StandardPremium,"1,044₹",71,4
Oman,MallOfOman,Hindi,14:20,StandardPremium,936₹,26,0
Oman,MallOfOman,Hindi,14:20,Standard,764₹,19,0
Uae,MegaplexCineplexGrandHyatt,Hindi,14:20,Standard,799₹,60,1
Uae,MegaplexCineplexGrandHyatt,Hindi,14:20,StandardPremium,"1,044₹",70,0
Oman,CityCentreSuhar,Hindi,14:45,Standard,654₹,50,0
Oman,CityCentreSuhar,Hindi,14:45,StandardPremium,764₹,28,4
Oman,Mgm,Hindi,15:30,StandardPremium,872₹,17,0
Oman,Mgm,Hindi,15:30,Standard,764₹,32,2
Uae,Burjuman,Hindi,15:40,Premium,"1,371₹",50,21
SaudiArabia,AlQasrMallRiyadh,Hindi,15:45,StandardPremium,"1,383₹",27,0
SaudiArabia,AlQasrMallRiyadh,Hindi,15:45,Standard,"1,170₹",26,0
Oman,NizwaGrandMall,Hindi,15:45,Standard,654₹,60,0
Oman,NizwaGrandMall,Hindi,15:45,StandardPremium,764₹,58,4
Oman,Panorama,Hindi,15:45,Standard,654₹,135,4
SaudiArabia,TownSquareJeddah,Hindi,16:15,StandardPremium,"1,383₹",20,0
SaudiArabia,TownSquareJeddah,Hindi,16:15,Standard,"1,170₹",26,0
Oman,SuharPlaza,Hindi,16:30,Standard,502₹,251,4
Oman,Ruwi,Hindi,16:30,Standard,631₹,429,391
Oman,Ruwi,Hindi,16:30,StandardPremium,502₹,396,0
Uae,CityCentreAjman,Hindi,16:45,MaxStandard,957₹,103,4
Uae,CityCentreAjman,Hindi,16:45,MaxPremium,"1,251₹",198,0
Uae,CityCentreShindagha,Hindi,16:45,Standard,799₹,67,0
Uae,CityCentreShindagha,Hindi,16:45,StandardPremium,"1,044₹",24,0
Uae,MegaplexCineplexGrandHyatt,Hindi,16:55,Standard,799₹,60,1
Uae,MegaplexCineplexGrandHyatt,Hindi,16:55,StandardPremium,"1,044₹",70,2
Oman,CityCentreQurum,Hindi,17:45,Standard,764₹,43,0
Oman,CityCentreQurum,Hindi,17:45,StandardPremium,936₹,48,4
Uae,CityCentreMirdif,Hindi,18:00,StandardPremium,"1,044₹",20,0
Uae,CityCentreMirdif,Hindi,18:00,Standard,799₹,25,0
Uae,CityCentreSharjah,Hindi,18:35,Standard,799₹,40,0
Uae,CityCentreSharjah,Hindi,18:35,StandardVip,"1,044₹",26,1
SaudiArabia,AtyafMallRiyadh,Hindi,18:45,Standard,"1,170₹",19,0
SaudiArabia,AtyafMallRiyadh,Hindi,18:45,StandardPremium,"1,383₹",22,0
Uae,Burjuman,Hindi,18:45,Standard,799₹,48,3
SaudiArabia,WestAvenueMallDammam,Hindi,19:00,StandardPremium,"1,383₹",84,0
SaudiArabia,WestAvenueMallDammam,Hindi,19:00,Standard,"1,170₹",74,0
Oman,Azaiba,Hindi,19:00,Standard,589₹,129,4
Uae,CityCentreDeira,Hindi,19:15,Standard,799₹,84,0
Uae,CityCentreDeira,Hindi,19:15,StandardPremium,"1,044₹",51,0
Oman,MallOfOman,Hindi,19:30,StandardPremium,936₹,26,0
Oman,MallOfOman,Hindi,19:30,Standard,764₹,19,0
Uae,MegaplexCineplexGrandHyatt,Hindi,19:30,Standard,799₹,60,1
Uae,MegaplexCineplexGrandHyatt,Hindi,19:30,StandardPremium,"1,044₹",70,4
Oman,Ruwi,Hindi,19:30,StandardPremium,502₹,98,0
Uae,MallOfTheEmirates,Hindi,19:35,Standard,799₹,36,0
Uae,MallOfTheEmirates,Hindi,19:35,StandardPremium,"1,044₹",71,4
Uae,WafiMallAtWafiCity,Hindi,19:40,StandardPremium,"1,044₹",66,0
Uae,WafiMallAtWafiCity,Hindi,19:40,Standard,799₹,50,0
SaudiArabia,AlQasrMallRiyadh,Hindi,20:55,StandardPremium,"1,383₹",27,0
SaudiArabia,AlQasrMallRiyadh,Hindi,20:55,Standard,"1,170₹",26,0
SaudiArabia,TownSquareJeddah,Hindi,21:45,StandardPremium,"1,383₹",20,0
SaudiArabia,TownSquareJeddah,Hindi,21:45,Standard,"1,170₹",26,0
