Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Kuwait,TheAvenuesKuwait,Turkish,09:05,HubStandard,"2,633₹",60,0
Bahrain,VoxCinemasTheAvenues,Turkish,12:15,Standard,953₹,23,2
Bahrain,VoxCinemasTheAvenues,Turkish,12:15,StandardPremium,"1,192₹",30,0
Bahrain,VoxCinemasTheAvenues,Turkish,12:25,Standard,952₹,23,2
Bahrain,VoxCinemasTheAvenues,Turkish,12:25,StandardPremium,"1,190₹",30,0
Kuwait,TheAvenuesKuwait,Turkish,13:10,StandardPremiumFamily,"1,185₹",15,0
Kuwait,TheAvenuesKuwait,Turkish,13:10,StandardStandardFamily,921₹,8,0
Kuwait,TheAvenuesKuwait,Turkish,13:10,StandardPremiumBachelor,"1,185₹",16,1
Kuwait,TheAvenuesKuwait,Turkish,13:10,StandardStandardBachelor,921₹,7,0
Uae,CityCentreAlZahia,Turkish,13:45,StandardPremium,"1,066₹",32,0
Uae,CityCentreAlZahia,Turkish,13:45,Standard,816₹,25,0
Uae,MallOfTheEmirates,Turkish,14:00,StandardPremium,"1,070₹",48,4
Qatar,DohaFestivalCity,Turkish,14:20,Standard,896₹,22,0
Qatar,DohaFestivalCity,Turkish,14:20,StandardPremium,"1,121₹",28,3
Uae,CityCentreMirdif,Turkish,14:30,StandardPremium,"1,066₹",38,0
Uae,TheGalleriaAlMaryahIsland,Turkish,15:30,StandardPremium,"1,133₹",26,0
Uae,TheGalleriaAlMaryahIsland,Turkish,15:30,Standard,889₹,14,0
Uae,YasMallAbuDhabi,Turkish,15:45,Standard,889₹,25,0
Uae,YasMallAbuDhabi,Turkish,15:45,StandardPremium,"1,133₹",18,2
Kuwait,TheAvenuesKuwait,Turkish,15:55,StandardPremiumFamily,"1,185₹",15,2
Kuwait,TheAvenuesKuwait,Turkish,15:55,StandardStandardFamily,921₹,8,0
Kuwait,TheAvenuesKuwait,Turkish,15:55,StandardPremiumBachelor,"1,185₹",16,6
Kuwait,TheAvenuesKuwait,Turkish,15:55,StandardStandardBachelor,921₹,7,0
Qatar,DohaFestivalCity,Turkish,17:00,Standard,896₹,22,0
Qatar,DohaFestivalCity,Turkish,17:00,StandardPremium,"1,121₹",28,3
Kuwait,TheAvenuesKuwait,Turkish,18:40,StandardPremiumFamily,"1,185₹",15,0
Kuwait,TheAvenuesKuwait,Turkish,18:40,StandardStandardFamily,921₹,8,0
Kuwait,TheAvenuesKuwait,Turkish,18:40,StandardPremiumBachelor,"1,185₹",16,1
Kuwait,TheAvenuesKuwait,Turkish,18:40,StandardStandardBachelor,921₹,7,0
SaudiArabia,AtyafMallRiyadh,Turkish,20:00,KidsVip,"1,195₹",33,0
SaudiArabia,AtyafMallRiyadh,Turkish,20:00,KidsLounger,"1,195₹",6,0
SaudiArabia,RiyadhParkRiyadh,Turkish,20:00,KidsPremium,"1,195₹",38,0
SaudiArabia,AlQasrMallRiyadh,Turkish,21:15,KidsPremium,"1,195₹",47,1
SaudiArabia,HailSquareHail,Turkish,21:30,KidsLounger,"1,195₹",5,0
SaudiArabia,HailSquareHail,Turkish,21:30,KidsPremium,"1,195₹",44,1
SaudiArabia,SaharaMallRiyadh,Turkish,21:45,KidsPremium,"1,195₹",51,0
SaudiArabia,SaharaMallRiyadh,Turkish,21:45,KidsLounger,"1,195₹",5,0
SaudiArabia,TheRoofRiyadh,Turkish,21:45,KidsPremium,"1,195₹",50,0
SaudiArabia,RiyadhParkRiyadh,Turkish,22:45,KidsPremium,"1,195₹",38,0
