Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,TheSpotSheikhJaberRiyadh,English,19:40,Standard,"1,170₹",44,0
SaudiArabia,TheSpotSheikhJaberRiyadh,English,19:40,StandardPremium,"1,383₹",45,4
SaudiArabia,JubailGalleriaMallJubail,English,20:00,Standard,"1,383₹",85,4
SaudiArabia,TabukParkTabuk,English,20:00,Standard,"1,170₹",20,0
SaudiArabia,TabukParkTabuk,English,20:00,StandardPremium,"1,383₹",29,1
SaudiArabia,AlQasrMallRiyadh,English,20:00,StandardPremium,"1,383₹",32,0
SaudiArabia,AlQasrMallRiyadh,English,20:00,Standard,"1,170₹",32,0
SaudiArabia,RiyadhFrontRiyadh,English,20:00,StandardPremium,"1,383₹",65,10
SaudiArabia,RiyadhFrontRiyadh,English,20:00,Standard,"1,170₹",70,9
SaudiArabia,HailSquareHail,English,20:00,Standard,"1,170₹",91,0
SaudiArabia,HailSquareHail,English,20:00,StandardPremium,"1,383₹",91,0
SaudiArabia,TheEsplanadeRiyadh,English,20:10,StandardPremium,"1,383₹",49,15
SaudiArabia,TheEsplanadeRiyadh,English,20:10,Standard,"1,170₹",44,0
SaudiArabia,AtyafMallRiyadh,English,20:15,Standard,"1,170₹",27,0
SaudiArabia,AtyafMallRiyadh,English,20:15,StandardPremium,"1,383₹",28,8
SaudiArabia,TownSquareJeddah,English,20:30,StandardPremium,"1,383₹",58,6
SaudiArabia,TownSquareJeddah,English,20:30,Standard,"1,170₹",80,3
SaudiArabia,SaharaMallRiyadh,English,20:30,Standard,"1,170₹",56,9
SaudiArabia,SaharaMallRiyadh,English,20:30,StandardPremium,"1,383₹",52,3
SaudiArabia,TheRoofRiyadh,English,20:45,StandardPremium,"1,383₹",52,21
SaudiArabia,TheRoofRiyadh,English,20:45,Standard,"1,170₹",35,0
SaudiArabia,RedSeaMallJeddah,English,20:45,StandardPremium,"1,383₹",92,40
SaudiArabia,RedSeaMallJeddah,English,20:45,Standard,"1,170₹",68,3
SaudiArabia,RedSeaMallJeddah,English,20:45,StandardWheelchairSpace,"1,170₹",3,0
SaudiArabia,RiyadhParkRiyadh,English,21:00,StandardPremium,"1,383₹",34,0
SaudiArabia,RiyadhParkRiyadh,English,21:00,Standard,"1,170₹",41,0
SaudiArabia,RiyadhFrontRiyadh,English,21:00,GoldStandard,"3,191₹",12,9
SaudiArabia,TheRoofRiyadh,English,21:15,StandardPremium,"1,383₹",30,14
SaudiArabia,TheRoofRiyadh,English,21:15,Standard,"1,170₹",19,0
SaudiArabia,WestAvenueMallDammam,English,21:15,StandardPremium,"1,383₹",84,6
SaudiArabia,WestAvenueMallDammam,English,21:15,Standard,"1,170₹",74,1
SaudiArabia,RedSeaMallJeddah,English,21:50,VipPremium,"1,702₹",48,11
SaudiArabia,RedSeaMallJeddah,English,21:50,VipWheelchairSpace,"1,702₹",2,2
SaudiArabia,SaharaMallRiyadh,English,21:55,Standard,"1,170₹",61,0
SaudiArabia,SaharaMallRiyadh,English,21:55,StandardPremium,"1,383₹",65,4
SaudiArabia,TheEsplanadeRiyadh,English,22:20,GoldStandard,"3,191₹",32,5
SaudiArabia,AlQasrMallRiyadh,English,22:30,StandardPremium,"1,383₹",32,0
SaudiArabia,AlQasrMallRiyadh,English,22:30,Standard,"1,170₹",32,0
SaudiArabia,WestAvenueMallDammam,English,22:30,StandardPremium,"1,383₹",84,2
SaudiArabia,WestAvenueMallDammam,English,22:30,Standard,"1,170₹",77,0
SaudiArabia,RiyadhFrontRiyadh,English,22:30,StandardPremium,"1,383₹",65,2
SaudiArabia,RiyadhFrontRiyadh,English,22:30,Standard,"1,170₹",70,3
SaudiArabia,HailSquareHail,English,22:30,Standard,"1,170₹",91,1
SaudiArabia,HailSquareHail,English,22:30,StandardPremium,"1,383₹",91,1
SaudiArabia,KingdomCentreRiyadh,English,22:45,VipStandard,"3,191₹",30,14
SaudiArabia,RedSeaMallJeddah,English,22:45,StandardPremium,"1,383₹",92,8
SaudiArabia,RedSeaMallJeddah,English,22:45,Standard,"1,170₹",68,7
SaudiArabia,RedSeaMallJeddah,English,22:45,StandardWheelchairSpace,"1,170₹",3,0
SaudiArabia,TownSquareJeddah,English,23:00,StandardPremium,"1,383₹",58,0
SaudiArabia,TownSquareJeddah,English,23:00,Standard,"1,170₹",80,0
SaudiArabia,TheRoofRiyadh,English,23:05,StandardPremium,"1,383₹",52,6
SaudiArabia,TheRoofRiyadh,English,23:05,Standard,"1,170₹",35,0
SaudiArabia,RiyadhFrontRiyadh,English,23:30,GoldStandard,"3,191₹",12,5
SaudiArabia,RiyadhParkRiyadh,English,23:30,StandardPremium,"1,383₹",34,2
SaudiArabia,RiyadhParkRiyadh,English,23:30,Standard,"1,170₹",41,0
SaudiArabia,TheRoofRiyadh,English,23:45,StandardPremium,"1,383₹",30,1
SaudiArabia,TheRoofRiyadh,English,23:45,Standard,"1,170₹",19,0
