Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,MallOfTheEmirates,Japanese,08:30,StandardPremium,"1,043₹",48,6
Qatar,DohaFestivalCity,Japanese,10:00,Standard,877₹,31,2
Qatar,DohaFestivalCity,Japanese,10:00,StandardPremium,"1,096₹",25,2
Uae,CityCentreMirdif,Japanese,10:05,StandardPremium,"1,043₹",38,2
Uae,CityCentreAlZahia,Japanese,10:25,StandardPremium,"1,043₹",17,0
Uae,CityCentreAlZahia,Japanese,10:25,Standard,798₹,25,0
Qatar,DohaFestivalCity,Japanese,12:10,Standard,877₹,31,2
Qatar,DohaFestivalCity,Japanese,12:10,StandardPremium,"1,097₹",25,2
Uae,CityCentreMirdif,Japanese,12:20,StandardPremium,"1,044₹",38,0
Lebanon,CityCentreBeirut,Japanese,13:00,Standard,"4,490₹",47,11
Uae,YasMallAbuDhabi,Japanese,13:10,Standard,870₹,25,4
Uae,YasMallAbuDhabi,Japanese,13:10,StandardPremium,"1,109₹",18,5
Uae,TheGalleriaAlMaryahIsland,Japanese,14:15,StandardPremium,"1,103₹",26,0
Uae,TheGalleriaAlMaryahIsland,Japanese,14:15,Standard,865₹,14,0
Qatar,DohaFestivalCity,Japanese,14:20,Standard,877₹,31,2
Qatar,DohaFestivalCity,Japanese,14:20,StandardPremium,"1,097₹",25,3
Uae,CityCentreAlZahia,Japanese,14:45,StandardPremium,"1,044₹",17,3
Uae,CityCentreAlZahia,Japanese,14:45,Standard,799₹,25,2
Kuwait,TheAvenuesKuwait,Japanese,14:50,StandardPremiumFamily,"1,162₹",15,0
Kuwait,TheAvenuesKuwait,Japanese,14:50,StandardStandardFamily,904₹,8,0
Kuwait,TheAvenuesKuwait,Japanese,14:50,StandardPremiumBachelor,"1,162₹",16,10
Kuwait,TheAvenuesKuwait,Japanese,14:50,StandardStandardBachelor,904₹,7,0
Uae,AlHamraMallRasAlKhaimah,Japanese,14:55,Standard,799₹,41,1
Uae,AlHamraMallRasAlKhaimah,Japanese,14:55,StandardPremium,"1,044₹",31,0
Uae,MallOfTheEmirates,Japanese,15:00,StandardPremium,"1,044₹",48,17
Kuwait,TheAvenuesKuwait,Japanese,17:00,StandardPremiumFamily,"1,162₹",15,9
Kuwait,TheAvenuesKuwait,Japanese,17:00,StandardStandardFamily,904₹,8,0
Kuwait,TheAvenuesKuwait,Japanese,17:00,StandardPremiumBachelor,"1,162₹",16,10
Kuwait,TheAvenuesKuwait,Japanese,17:00,StandardStandardBachelor,904₹,7,0
