Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,Burjuman,Kannada,12:40,VipPremium,"1,363₹",50,16
Uae,CityCentreShindagha,Kannada,12:55,Standard,795₹,31,0
Uae,CityCentreShindagha,Kannada,12:55,StandardPremium,"1,039₹",14,0
Uae,Burjuman,Kannada,13:15,Standard,795₹,31,2
Uae,Burjuman,Kannada,16:10,Standard,795₹,31,2
Uae,CityCentreShindagha,Kannada,17:45,Standard,795₹,67,0
Uae,CityCentreShindagha,Kannada,17:45,StandardPremium,"1,039₹",24,0
Uae,Burjuman,Kannada,18:55,Standard,798₹,31,2
Uae,Burjuman,Kannada,19:00,Standard,795₹,31,2
Uae,CityCentreShindagha,Kannada,19:10,Standard,798₹,31,0
Uae,CityCentreShindagha,Kannada,19:10,StandardPremium,"1,042₹",14,0
