Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,Egyptian,01:00,StandardPremium,"1,383₹",31,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,01:00,Standard,"1,170₹",16,2
Bahrain,CityCentreBahrain,Egyptian,08:15,Standard,827₹,108,1
SaudiArabia,RiyadhFrontRiyadh,Egyptian,08:45,StandardPremium,"1,383₹",24,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,08:45,Standard,"1,170₹",32,2
Uae,CityCentreAlZahia,Egyptian,12:30,StandardPremium,"1,044₹",25,0
Uae,CityCentreAlZahia,Egyptian,12:30,Standard,799₹,31,0
Bahrain,CityCentreBahrain,Egyptian,13:45,Standard,827₹,108,1
SaudiArabia,RedSeaMallJeddah,Egyptian,13:50,StandardPremium,"1,383₹",92,0
SaudiArabia,RedSeaMallJeddah,Egyptian,13:50,Standard,"1,170₹",68,0
SaudiArabia,RedSeaMallJeddah,Egyptian,13:50,StandardWheelchairSpace,"1,170₹",3,0
Kuwait,TheAvenuesKuwait,Egyptian,14:10,StandardPremiumFamily,"1,163₹",15,0
Kuwait,TheAvenuesKuwait,Egyptian,14:10,StandardStandardFamily,905₹,10,0
Kuwait,TheAvenuesKuwait,Egyptian,14:10,StandardPremiumBachelor,"1,163₹",12,1
Kuwait,TheAvenuesKuwait,Egyptian,14:10,StandardStandardBachelor,905₹,10,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,15:30,StandardPremium,"1,383₹",24,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,15:30,Standard,"1,170₹",32,2
Kuwait,TheAvenuesKuwait,Egyptian,16:50,StandardPremiumFamily,"1,159₹",15,0
Kuwait,TheAvenuesKuwait,Egyptian,16:50,StandardStandardFamily,901₹,10,0
Kuwait,TheAvenuesKuwait,Egyptian,16:50,StandardPremiumBachelor,"1,159₹",12,1
Kuwait,TheAvenuesKuwait,Egyptian,16:50,StandardStandardBachelor,901₹,10,0
SaudiArabia,RedSeaMallJeddah,Egyptian,17:30,StandardPremium,"1,383₹",92,0
SaudiArabia,RedSeaMallJeddah,Egyptian,17:30,Standard,"1,170₹",68,0
SaudiArabia,RedSeaMallJeddah,Egyptian,17:30,StandardWheelchairSpace,"1,170₹",3,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,17:45,StandardPremium,"1,383₹",31,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,17:45,Standard,"1,170₹",16,2
Uae,CityCentreAjman,Egyptian,17:45,Standard,876₹,45,0
Uae,CityCentreAjman,Egyptian,17:45,StandardPremium,"1,131₹",29,0
SaudiArabia,TheRoofRiyadh,Egyptian,18:00,StandardPremium,"1,383₹",30,1
SaudiArabia,TheRoofRiyadh,Egyptian,18:00,Standard,"1,170₹",19,0
Uae,YasMallAbuDhabi,Egyptian,18:20,StandardPremium,979₹,38,2
Bahrain,CityCentreBahrain,Egyptian,19:15,Standard,827₹,108,1
SaudiArabia,TheRoofRiyadh,Egyptian,19:20,KidsPremium,"1,170₹",50,0
Uae,CityCentreAlZahia,Egyptian,19:30,StandardPremium,914₹,33,1
Uae,CityCentreMirdif,Egyptian,19:45,StandardPremium,914₹,44,0
