Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Oman,Mgm,English,07:30,KidsStandard,781₹,46,7
Uae,CityCentreMirdif,English,07:45,StandardPremium,"1,068₹",29,2
Uae,CityCentreMirdif,English,07:45,Standard,817₹,25,0
Oman,CityCentreMuscat,English,07:45,Standard,668₹,36,4
Uae,YasMallAbuDhabi,English,08:00,KidsPremium,"1,001₹",40,6
Uae,MallOfTheEmirates,English,08:15,KidsPremium,934₹,48,4
Uae,TheGalleriaAlMaryahIsland,English,08:15,KidsPremium,"1,001₹",54,0
Uae,TheGalleriaAlMaryahIsland,English,08:15,KidsLounger,"1,001₹",5,0
Oman,MallOfOman,English,08:50,KidsPremium,781₹,20,15
Uae,AlHamraMallRasAlKhaimah,English,09:00,Standard,817₹,38,0
Uae,AlHamraMallRasAlKhaimah,English,09:00,StandardPremium,"1,068₹",23,0
Uae,CityCentreFujairah,English,09:00,Standard,817₹,38,0
Uae,CityCentreFujairah,English,09:00,StandardPremium,"1,068₹",36,0
Bahrain,VoxCinemasTheAvenues,English,09:00,Standard,953₹,21,0
Bahrain,VoxCinemasTheAvenues,English,09:00,StandardPremium,"1,192₹",30,0
Qatar,DohaOasis,English,09:00,KidsStandard,"1,010₹",34,4
Uae,CityCentreDeira,English,09:15,KidsPremium,934₹,37,0
Uae,TheGalleriaAlMaryahIsland,English,09:30,StandardPremium,"1,135₹",26,6
Uae,TheGalleriaAlMaryahIsland,English,09:30,Standard,890₹,14,3
Oman,CityCentreSuhar,English,09:30,KidsVip,668₹,44,2
Uae,CityCentreMirdif,English,09:35,StandardPremium,"1,068₹",29,6
Uae,CityCentreMirdif,English,09:35,Standard,817₹,25,0
Uae,NakheelMall,English,09:45,StandardPremium,"1,068₹",40,3
Qatar,DohaFestivalCity,English,09:45,KidsPremium,"1,010₹",48,12
Oman,CityCentreMuscat,English,10:00,Standard,668₹,36,22
Uae,MallOfTheEmirates,English,10:05,KidsPremium,934₹,48,10
Uae,WafiMallAtWafiCity,English,10:05,KidsPremium,934₹,71,2
Uae,CityCentreAlZahia,English,10:10,StandardPremium,"1,068₹",25,0
Uae,CityCentreAlZahia,English,10:10,Standard,817₹,31,0
SaudiArabia,JubailGalleriaMallJubail,English,10:15,KidsStandard,"1,196₹",45,2
SaudiArabia,JubailGalleriaMallJubail,English,10:15,KidsLounger,"1,196₹",4,0
SaudiArabia,TheRoofRiyadh,English,10:15,StandardPremium,"1,414₹",30,5
