Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,TownSquareJeddah,Telugu,06:45,StandardPremium,"1,410₹",20,2
SaudiArabia,TownSquareJeddah,Telugu,06:45,Standard,"1,193₹",26,0
Uae,CityCentreSharjah,Telugu,08:00,Standard,932₹,73,2
Uae,CityCentreSharjah,Telugu,08:00,StandardPremium,"1,154₹",36,0
Uae,CityCentreSharjah,Telugu,08:00,StandardPreferredView,"1,221₹",16,0
Uae,MegaplexCineplexGrandHyatt,Telugu,08:00,Standard,932₹,60,0
Uae,MegaplexCineplexGrandHyatt,Telugu,08:00,StandardPremium,"1,154₹",48,0
Uae,MegaplexCineplexGrandHyatt,Telugu,08:00,StandardPreferredView,"1,221₹",22,0
SaudiArabia,AlQasrMallRiyadh,Telugu,08:15,StandardPremium,"1,410₹",45,0
SaudiArabia,AlQasrMallRiyadh,Telugu,08:15,Standard,"1,193₹",46,0
Uae,CityCentreShindagha,Telugu,08:20,Standard,932₹,126,2
Uae,CityCentreShindagha,Telugu,08:20,StandardPremium,"1,154₹",60,0
Uae,CityCentreShindagha,Telugu,08:20,StandardPreferredView,"1,221₹",18,0
Uae,CityCentreDeira,Hindi,08:30,Standard,932₹,84,0
Uae,CityCentreDeira,Hindi,08:30,StandardPremium,"1,154₹",39,0
Uae,CityCentreDeira,Hindi,08:30,StandardPreferredView,"1,221₹",12,0
Uae,Burjuman,Hindi,08:50,Standard,932₹,31,2
Uae,CityCentreDeira,Telugu,09:20,Standard,932₹,144,3
Uae,CityCentreDeira,Telugu,09:20,StandardPremium,"1,154₹",67,0
Uae,CityCentreDeira,Telugu,09:20,StandardPreferredView,"1,221₹",46,0
Uae,CityCentreShindagha,Telugu,09:20,Standard,932₹,100,3
Uae,CityCentreShindagha,Telugu,09:20,StandardPremium,"1,154₹",30,0
Uae,MegaplexCineplexGrandHyatt,Hindi,09:25,Standard,932₹,36,0
Uae,MegaplexCineplexGrandHyatt,Hindi,09:25,StandardPremium,"1,154₹",40,2
Uae,MegaplexCineplexGrandHyatt,Hindi,09:25,StandardPreferredView,"1,221₹",18,0
Uae,Burjuman,Telugu,09:25,StandardPremium,"1,154₹",58,4
Uae,Burjuman,Telugu,09:25,Standard,932₹,50,8
Uae,Burjuman,Telugu,09:25,StandardPreferredView,"1,221₹",28,1
Uae,WafiMallAtWafiCity,Telugu,09:30,Standard,932₹,56,0
Uae,WafiMallAtWafiCity,Telugu,09:30,StandardPremium,"1,154₹",36,0
Uae,WafiMallAtWafiCity,Telugu,09:30,StandardPreferredView,"1,221₹",28,0
Uae,CityCentreSharjah,Telugu,09:40,Standard,932₹,45,0
Uae,CityCentreSharjah,Telugu,09:40,StandardPremium,"1,154₹",20,2
Uae,CityCentreSharjah,Telugu,09:40,StandardPreferredView,"1,221₹",15,0
Uae,MegaplexCineplexGrandHyatt,Telugu,11:15,Standard,932₹,60,0
Uae,MegaplexCineplexGrandHyatt,Telugu,11:15,StandardPremium,"1,154₹",48,1
Uae,MegaplexCineplexGrandHyatt,Telugu,11:15,StandardPreferredView,"1,221₹",22,0
Uae,CityCentreSharjah,Telugu,11:20,Standard,932₹,73,1
Uae,CityCentreSharjah,Telugu,11:20,StandardPremium,"1,154₹",36,1
Uae,CityCentreSharjah,Telugu,11:20,StandardPreferredView,"1,221₹",16,0
SaudiArabia,AlQasrMallRiyadh,Telugu,11:30,StandardPremium,"1,410₹",45,0
SaudiArabia,AlQasrMallRiyadh,Telugu,11:30,Standard,"1,193₹",46,0
Uae,CityCentreShindagha,Telugu,11:40,Standard,932₹,126,0
Uae,CityCentreShindagha,Telugu,11:40,StandardPremium,"1,154₹",60,0
Uae,CityCentreShindagha,Telugu,11:40,StandardPreferredView,"1,221₹",18,0
Uae,MallOfTheEmirates,Telugu,11:40,StandardPremium,"1,154₹",32,8
Uae,MallOfTheEmirates,Telugu,11:40,StandardPreferredView,"1,221₹",16,4
Uae,Burjuman,Telugu,12:00,VipPremium,"1,398₹",50,0
Uae,WafiMallAtWafiCity,Telugu,12:00,MaxStandard,999₹,191,1
Uae,WafiMallAtWafiCity,Telugu,12:00,MaxPremium,"1,221₹",277,0
Uae,AbuDhabiMallAbuDhabi,Telugu,12:20,Standard,"1,028₹",56,0
Uae,AbuDhabiMallAbuDhabi,Telugu,12:20,StandardPremium,"1,252₹",18,6
Uae,AbuDhabiMallAbuDhabi,Telugu,12:20,StandardPreferredView,"1,319₹",9,0
Uae,MegaplexCineplexGrandHyatt,Telugu,12:30,Standard,939₹,60,0
Uae,MegaplexCineplexGrandHyatt,Telugu,12:30,StandardPremium,"1,163₹",48,0
Uae,MegaplexCineplexGrandHyatt,Telugu,12:30,StandardPreferredView,"1,230₹",22,0
Uae,CityCentreDeira,Telugu,12:40,Standard,939₹,144,1
Uae,CityCentreDeira,Telugu,12:40,StandardPremium,"1,163₹",67,4
Uae,CityCentreDeira,Telugu,12:40,StandardPreferredView,"1,230₹",46,4
Uae,CityCentreShindagha,Telugu,12:40,Standard,939₹,100,2
Uae,CityCentreShindagha,Telugu,12:40,StandardPremium,"1,163₹",30,2
SaudiArabia,TabukParkTabuk,Telugu,13:00,Standard,"1,201₹",24,3
SaudiArabia,TabukParkTabuk,Telugu,13:00,StandardPremium,"1,419₹",24,0
Uae,CityCentreSharjah,Telugu,13:00,Standard,939₹,45,0
Uae,CityCentreSharjah,Telugu,13:00,StandardPremium,"1,163₹",20,1
Uae,CityCentreSharjah,Telugu,13:00,StandardPreferredView,"1,230₹",15,2
SaudiArabia,TownSquareJeddah,Telugu,13:15,StandardPremium,"1,419₹",20,0
SaudiArabia,TownSquareJeddah,Telugu,13:15,Standard,"1,201₹",26,1
SaudiArabia,AtyafMallRiyadh,Telugu,14:15,Standard,"1,201₹",27,2
SaudiArabia,AtyafMallRiyadh,Telugu,14:15,StandardPremium,"1,419₹",28,0
Uae,MegaplexCineplexGrandHyatt,Telugu,14:30,Standard,939₹,60,2
Uae,MegaplexCineplexGrandHyatt,Telugu,14:30,StandardPremium,"1,163₹",48,2
Uae,MegaplexCineplexGrandHyatt,Telugu,14:30,StandardPreferredView,"1,230₹",22,0
Uae,CityCentreSharjah,Telugu,14:40,Standard,939₹,73,23
Uae,CityCentreSharjah,Telugu,14:40,StandardPremium,"1,163₹",36,10
Uae,CityCentreSharjah,Telugu,14:40,StandardPreferredView,"1,230₹",16,2
SaudiArabia,AlQasrMallRiyadh,Telugu,14:45,StandardPremium,"1,419₹",45,0
SaudiArabia,AlQasrMallRiyadh,Telugu,14:45,Standard,"1,201₹",46,0
Uae,CityCentreShindagha,Telugu,15:00,Standard,939₹,126,17
Uae,CityCentreShindagha,Telugu,15:00,StandardPremium,"1,163₹",60,0
Uae,CityCentreShindagha,Telugu,15:00,StandardPreferredView,"1,230₹",18,3
Uae,WafiMallAtWafiCity,Telugu,15:15,MaxStandard,"1,006₹",191,0
Uae,WafiMallAtWafiCity,Telugu,15:15,MaxPremium,"1,230₹",277,2
Oman,CityCentreSuhar,Hindi,15:15,Standard,576₹,56,1
Oman,CityCentreSuhar,Hindi,15:15,StandardPremium,576₹,41,16
Oman,CityCentreMuscat,Telugu,15:15,Standard,672₹,85,4
Oman,CityCentreMuscat,Telugu,15:15,StandardPremium,896₹,63,5
Uae,CityCentreDeira,Hindi,15:20,Standard,939₹,84,6
Uae,CityCentreDeira,Hindi,15:20,StandardPremium,"1,163₹",39,7
Uae,CityCentreDeira,Hindi,15:20,StandardPreferredView,"1,230₹",12,7
Oman,NizwaGrandMall,Telugu,15:20,Standard,576₹,48,0
Oman,NizwaGrandMall,Telugu,15:20,StandardPremium,576₹,49,20
Oman,Azaiba,Telugu,15:25,Standard,605₹,129,25
