Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,Burjuman,Hindi,08:00,VipPremium,"1,398₹",50,0
Uae,CityCentreMirdif,Hindi,09:00,StandardPremium,"1,154₹",42,0
Uae,CityCentreMirdif,Hindi,09:00,Standard,932₹,70,0
Uae,CityCentreMirdif,Hindi,09:00,StandardPreferredView,"1,221₹",29,4
Oman,Mgm,Hindi,09:00,StandardPremium,572₹,38,0
Oman,Mgm,Hindi,09:00,Standard,572₹,35,2
Uae,MegaplexCineplexGrandHyatt,Hindi,09:15,Standard,932₹,96,0
Uae,MegaplexCineplexGrandHyatt,Hindi,09:15,StandardPremium,"1,154₹",70,0
Uae,MegaplexCineplexGrandHyatt,Hindi,09:15,StandardPreferredView,"1,221₹",34,0
Uae,CityCentreMirdif,Hindi,10:45,StandardPremium,"1,154₹",60,5
Uae,CityCentreMirdif,Hindi,10:45,Standard,932₹,75,2
Uae,CityCentreMirdif,Hindi,10:45,StandardPreferredView,"1,221₹",27,5
Uae,AlJimiMall,Hindi,11:40,StandardPremium,"1,243₹",14,0
Uae,AlJimiMall,Hindi,11:40,Standard,"1,021₹",28,1
Uae,AlJimiMall,Hindi,11:40,StandardPreferredView,"1,309₹",7,2
Oman,Ruwi,Hindi,13:15,Standard,644₹,27,0
Uae,TheGalleriaAlMaryahIsland,Hindi,14:30,StandardPremium,"1,243₹",16,0
Uae,TheGalleriaAlMaryahIsland,Hindi,14:30,Standard,"1,021₹",20,0
Uae,TheGalleriaAlMaryahIsland,Hindi,14:30,StandardPreferredView,"1,309₹",9,0
Uae,AbuDhabiMallAbuDhabi,Hindi,15:50,Standard,"1,021₹",56,0
Uae,AbuDhabiMallAbuDhabi,Hindi,15:50,StandardPremium,"1,243₹",18,0
Uae,AbuDhabiMallAbuDhabi,Hindi,15:50,StandardPreferredView,"1,309₹",9,0
Uae,CityCentreMirdif,Hindi,16:35,StandardPremium,"1,154₹",60,5
Uae,CityCentreMirdif,Hindi,16:35,Standard,932₹,75,2
Uae,CityCentreMirdif,Hindi,16:35,StandardPreferredView,"1,221₹",27,5
Uae,TheGalleriaAlMaryahIsland,Hindi,17:40,StandardPremium,"1,243₹",16,0
Uae,TheGalleriaAlMaryahIsland,Hindi,17:40,Standard,"1,021₹",20,0
Uae,TheGalleriaAlMaryahIsland,Hindi,17:40,StandardPreferredView,"1,309₹",9,0
Oman,Mgm,Hindi,19:00,StandardPremium,572₹,17,0
Oman,Mgm,Hindi,19:00,Standard,572₹,32,2
Uae,CityCentreMirdif,Hindi,19:25,StandardPremium,"1,154₹",42,0
Uae,CityCentreMirdif,Hindi,19:25,Standard,932₹,70,0
Uae,CityCentreMirdif,Hindi,19:25,StandardPreferredView,"1,221₹",29,4
Oman,Azaiba,Hindi,19:25,Standard,602₹,97,0
