Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Qatar,DohaOasis,English,09:30,Standard,988₹,43,0
Oman,Salalah,English,10:00,Standard,436₹,108,0
Oman,Salalah,English,10:00,StandardPremium,654₹,112,0
Oman,Mgm,English,10:45,StandardPremium,872₹,38,0
Oman,Mgm,English,10:45,Standard,764₹,35,2
Qatar,DohaOasis,English,11:00,Standard,988₹,48,0
Oman,MallOfOman,English,11:05,StandardPremium,936₹,26,2
Oman,MallOfOman,English,11:05,Standard,764₹,21,0
Oman,Panorama,English,12:45,Standard,662₹,135,6
Oman,Salalah,English,13:00,Standard,441₹,106,0
Oman,Salalah,English,13:00,StandardPremium,662₹,112,0
Oman,Shatti,English,13:00,Standard,662₹,185,0
Oman,Sur,English,13:00,Standard,508₹,167,5
Oman,CityCentreMuscat,English,13:30,Standard,662₹,36,4
Uae,CityCentreMirdif,English,14:15,StandardPremium,"1,056₹",29,0
Uae,CityCentreMirdif,English,14:15,Standard,808₹,25,0
Bahrain,VoxCinemasTheAvenues,English,14:30,Standard,933₹,41,0
Bahrain,VoxCinemasTheAvenues,English,14:30,StandardPremium,"1,166₹",25,0
Uae,YasMallAbuDhabi,English,14:40,Standard,870₹,28,0
Uae,YasMallAbuDhabi,English,14:40,StandardPremium,"1,110₹",40,3
Uae,AlHamraMallRasAlKhaimah,English,15:00,Standard,799₹,41,0
Uae,AlHamraMallRasAlKhaimah,English,15:00,StandardPremium,"1,044₹",31,0
Oman,SuharPlaza,English,15:00,Standard,502₹,211,4
Oman,MallOfOman,English,15:05,StandardPremium,936₹,26,0
Oman,MallOfOman,English,15:05,Standard,764₹,21,0
Qatar,DohaOasis,English,15:10,Standard,988₹,48,0
Oman,CityCentreSuhar,English,15:15,Standard,654₹,50,0
Oman,CityCentreSuhar,English,15:15,StandardPremium,764₹,28,4
Oman,Mgm,English,15:15,StandardPremium,872₹,38,0
Oman,Mgm,English,15:15,Standard,764₹,35,2
Qatar,DohaFestivalCity,English,15:30,Standard,878₹,18,0
Qatar,DohaFestivalCity,English,15:30,StandardPremium,"1,097₹",25,0
Oman,NizwaGrandMall,English,15:55,Standard,654₹,28,0
Oman,NizwaGrandMall,English,15:55,StandardPremium,764₹,30,3
Oman,Shatti,English,16:10,Standard,654₹,185,0
Uae,CityCentreFujairah,English,16:40,Standard,799₹,58,0
Uae,CityCentreFujairah,English,16:40,StandardPremium,"1,044₹",40,0
Uae,AlHamraMallRasAlKhaimah,English,17:10,Standard,799₹,41,0
Uae,AlHamraMallRasAlKhaimah,English,17:10,StandardPremium,"1,044₹",31,0
Oman,Salalah,English,17:15,Standard,436₹,108,0
Oman,Salalah,English,17:15,StandardPremium,654₹,112,0
Oman,CityCentreSuhar,English,17:25,Standard,654₹,50,0
Oman,CityCentreSuhar,English,17:25,StandardPremium,764₹,28,4
Oman,CityCentreQurum,English,17:35,Standard,764₹,42,0
Oman,CityCentreQurum,English,17:35,StandardPremium,936₹,53,4
Oman,CityCentreMuscat,English,17:35,Standard,654₹,36,2
Uae,CityCentreMirdif,English,18:35,StandardPremium,"1,044₹",29,0
Uae,CityCentreMirdif,English,18:35,Standard,799₹,25,0
Bahrain,VoxCinemasTheAvenues,English,18:45,Standard,933₹,41,0
Bahrain,VoxCinemasTheAvenues,English,18:45,StandardPremium,"1,166₹",25,0
Uae,CityCentreFujairah,English,18:45,Standard,799₹,58,0
Uae,CityCentreFujairah,English,18:45,StandardPremium,"1,044₹",40,0
Oman,Panorama,English,18:45,Standard,654₹,104,4
Oman,Sur,English,18:45,Standard,502₹,252,4
Oman,NizwaGrandMall,English,19:00,Standard,654₹,48,0
Oman,NizwaGrandMall,English,19:00,StandardPremium,764₹,49,3
Oman,Shatti,English,19:00,Standard,654₹,273,0
Uae,AlHamraMallRasAlKhaimah,English,19:15,Standard,799₹,41,0
Uae,AlHamraMallRasAlKhaimah,English,19:15,StandardPremium,"1,044₹",31,0
Oman,MallOfOman,English,19:15,StandardPremium,936₹,26,0
Oman,MallOfOman,English,19:15,Standard,764₹,21,0
Qatar,DohaOasis,English,19:15,Standard,988₹,48,0
Uae,YasMallAbuDhabi,English,19:25,Standard,870₹,28,0
Uae,YasMallAbuDhabi,English,19:25,StandardPremium,"1,110₹",40,3
Oman,CityCentreQurum,English,19:30,Standard,764₹,42,0
Oman,CityCentreQurum,English,19:30,StandardPremium,936₹,53,4
Oman,SuharPlaza,English,19:30,Standard,502₹,211,4
Qatar,DohaFestivalCity,English,19:30,Standard,878₹,18,0
Qatar,DohaFestivalCity,English,19:30,StandardPremium,"1,097₹",25,0
Oman,CityCentreSuhar,English,19:30,Standard,654₹,50,0
Oman,CityCentreSuhar,English,19:30,StandardPremium,764₹,28,4
Oman,Salalah,English,19:45,Standard,436₹,101,0
Oman,Salalah,English,19:45,StandardPremium,654₹,92,0
Oman,Mgm,English,19:45,StandardPremium,872₹,38,0
Oman,Mgm,English,19:45,Standard,764₹,35,2
Bahrain,VoxCinemasTheAvenues,English,21:00,Standard,933₹,82,2
Bahrain,VoxCinemasTheAvenues,English,21:00,StandardPremium,"1,166₹",38,0
