Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,01:30,StandardPremium,"1,378₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,01:30,Standard,"1,166₹",16,4
SaudiArabia,RedSeaMallJeddah,English,01:50,StandardPremium,"1,378₹",66,0
SaudiArabia,RedSeaMallJeddah,English,01:50,Standard,"1,166₹",60,0
SaudiArabia,RedSeaMallJeddah,English,01:50,StandardWheelchairSpace,"1,166₹",3,0
SaudiArabia,RiyadhFrontRiyadh,English,06:30,StandardPremium,"1,378₹",31,4
SaudiArabia,RiyadhFrontRiyadh,English,06:30,Standard,"1,166₹",16,2
SaudiArabia,RiyadhParkRiyadh,English,07:00,StandardPremium,"1,378₹",32,0
SaudiArabia,RiyadhParkRiyadh,English,07:00,Standard,"1,166₹",32,1
SaudiArabia,AlQasrMallRiyadh,English,07:30,StandardPremium,"1,378₹",27,0
SaudiArabia,AlQasrMallRiyadh,English,07:30,Standard,"1,166₹",26,0
Uae,MallOfTheEmirates,English,08:10,Standard,797₹,35,0
Uae,MallOfTheEmirates,English,08:10,StandardPremium,"1,041₹",42,4
Oman,MallOfOman,English,08:10,StandardPremium,933₹,26,0
Oman,MallOfOman,English,08:10,Standard,761₹,21,0
Oman,CityCentreQurum,English,08:30,Standard,761₹,53,3
Oman,CityCentreQurum,English,08:30,StandardPremium,933₹,59,4
Bahrain,CityCentreBahrain,English,09:15,Standard,824₹,116,2
SaudiArabia,AlQasrMallRiyadh,English,09:30,StandardPremium,"1,378₹",27,0
SaudiArabia,AlQasrMallRiyadh,English,09:30,Standard,"1,166₹",26,0
Uae,CityCentreDeira,English,09:40,Standard,797₹,35,4
Egypt,MallOfEgypt,English,09:45,Standard,456₹,41,6
Oman,Salalah,English,10:00,Standard,434₹,101,0
Oman,Salalah,English,10:00,StandardPremium,652₹,92,0
Uae,TheGalleriaAlMaryahIsland,English,10:15,StandardPremium,"1,106₹",28,7
Uae,TheGalleriaAlMaryahIsland,English,10:15,Standard,868₹,16,0
Oman,CityCentreSuhar,English,10:15,Standard,652₹,56,0
Oman,CityCentreSuhar,English,10:15,StandardPremium,761₹,41,0
SaudiArabia,SaharaMallRiyadh,English,10:30,Standard,"1,166₹",32,0
SaudiArabia,SaharaMallRiyadh,English,10:30,StandardPremium,"1,378₹",38,0
SaudiArabia,RiyadhFrontRiyadh,English,10:45,StandardPremium,"1,378₹",31,2
SaudiArabia,RiyadhFrontRiyadh,English,10:45,Standard,"1,166₹",16,2
Oman,MallOfOman,English,10:50,StandardPremium,933₹,26,0
Oman,MallOfOman,English,10:50,Standard,761₹,21,0
Oman,CityCentreMuscat,English,10:55,Standard,652₹,36,1
Uae,CityCentreMirdif,English,11:15,StandardPremium,"1,041₹",71,4
