Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Egypt,MallOfEgypt,English,10:30,GoldStandard,900₹,32,8
Egypt,MallOfEgypt,English,10:30,Standard,450₹,121,1
Egypt,MallOfEgypt,English,10:30,StandardVip,491₹,66,14
Egypt,CityCentreAlmaza,English,10:45,StandardPremium,491₹,41,7
Egypt,CityCentreAlmaza,English,10:45,Standard,450₹,29,0
Egypt,MallOfEgypt,English,12:45,Standard,451₹,121,3
Egypt,MallOfEgypt,English,12:45,StandardVip,492₹,66,19
Egypt,CityCentreAlmaza,English,13:00,StandardPremium,492₹,41,12
Egypt,CityCentreAlmaza,English,13:00,Standard,451₹,29,0
Egypt,MallOfEgypt,English,15:00,Standard,451₹,121,4
Egypt,MallOfEgypt,English,15:00,StandardVip,492₹,66,14
Egypt,CityCentreAlmaza,English,15:15,GoldStandard,902₹,34,8
Egypt,CityCentreAlmaza,English,15:15,StandardPremium,492₹,41,13
Egypt,CityCentreAlmaza,English,15:15,Standard,451₹,29,1
Egypt,MallOfEgypt,English,15:45,GoldStandard,902₹,32,8
Egypt,MallOfEgypt,English,17:15,Standard,451₹,121,6
Egypt,MallOfEgypt,English,17:15,StandardVip,492₹,66,36
Egypt,CityCentreAlmaza,English,17:30,StandardPremium,492₹,41,25
Egypt,CityCentreAlmaza,English,17:30,Standard,451₹,29,2
Oman,CityCentreMuscat,English,19:10,Standard,651₹,36,15
Oman,CityCentreSuhar,English,19:15,Standard,651₹,79,0
Oman,CityCentreSuhar,English,19:15,StandardPremium,760₹,61,4
Egypt,MallOfEgypt,English,19:30,Standard,451₹,121,3
Egypt,MallOfEgypt,English,19:30,StandardVip,492₹,66,18
Egypt,CityCentreAlmaza,English,19:45,StandardPremium,492₹,41,23
Egypt,CityCentreAlmaza,English,19:45,Standard,451₹,29,3
SaudiArabia,RiyadhFrontRiyadh,English,20:00,StandardPremium,"1,374₹",65,2
SaudiArabia,RiyadhFrontRiyadh,English,20:00,Standard,"1,163₹",70,3
SaudiArabia,TabukParkTabuk,English,20:00,Standard,"1,163₹",20,1
SaudiArabia,TabukParkTabuk,English,20:00,StandardPremium,"1,374₹",29,4
SaudiArabia,TownSquareJeddah,English,20:00,StandardPremium,"1,374₹",20,4
SaudiArabia,TownSquareJeddah,English,20:00,Standard,"1,163₹",26,4
Qatar,DohaOasis,English,20:00,Standard,982₹,48,0
SaudiArabia,SaharaMallRiyadh,English,20:15,Standard,"1,163₹",56,5
SaudiArabia,SaharaMallRiyadh,English,20:15,StandardPremium,"1,374₹",52,9
SaudiArabia,TheRoofRiyadh,English,20:15,StandardPremium,"1,374₹",30,4
SaudiArabia,TheRoofRiyadh,English,20:15,Standard,"1,163₹",19,0
Qatar,DohaFestivalCity,English,20:15,Standard,873₹,24,1
Qatar,DohaFestivalCity,English,20:15,StandardPremium,"1,091₹",31,7
Egypt,CityCentreAlmaza,English,20:30,GoldStandard,902₹,34,10
Qatar,DohaOasis,English,20:30,VipStandard,"3,821₹",16,0
SaudiArabia,AlQasrMallRiyadh,English,20:45,StandardPremium,"1,374₹",41,5
SaudiArabia,AlQasrMallRiyadh,English,20:45,Standard,"1,163₹",38,4
SaudiArabia,TheEsplanadeRiyadh,English,20:45,StandardPremium,"1,374₹",89,0
SaudiArabia,TheEsplanadeRiyadh,English,20:45,Standard,"1,163₹",66,0
Bahrain,VoxCinemasTheAvenues,English,20:50,Standard,927₹,41,0
Bahrain,VoxCinemasTheAvenues,English,20:50,StandardPremium,"1,159₹",25,0
SaudiArabia,TownSquareJeddah,English,21:00,StandardPremium,"1,374₹",20,0
SaudiArabia,TownSquareJeddah,English,21:00,Standard,"1,163₹",26,0
Egypt,MallOfEgypt,English,21:00,GoldStandard,902₹,33,11
SaudiArabia,WestAvenueMallDammam,English,21:10,StandardPremium,"1,374₹",84,0
SaudiArabia,WestAvenueMallDammam,English,21:10,Standard,"1,163₹",77,2
SaudiArabia,RiyadhParkRiyadh,English,21:15,StandardPremium,"1,374₹",34,9
SaudiArabia,RiyadhParkRiyadh,English,21:15,Standard,"1,163₹",41,2
SaudiArabia,AtyafMallRiyadh,English,21:15,Standard,"1,163₹",30,0
SaudiArabia,AtyafMallRiyadh,English,21:15,StandardPremium,"1,374₹",30,7
SaudiArabia,JubailGalleriaMallJubail,English,21:15,Standard,"1,374₹",84,2
SaudiArabia,RedSeaMallJeddah,English,21:15,StandardPremium,"1,374₹",66,28
SaudiArabia,RedSeaMallJeddah,English,21:15,Standard,"1,163₹",60,15
SaudiArabia,RedSeaMallJeddah,English,21:15,StandardWheelchairSpace,"1,163₹",3,0
Kuwait,TheAvenuesKuwait,English,21:25,StandardPremiumFamily,"1,158₹",15,15
Kuwait,TheAvenuesKuwait,English,21:25,StandardStandardFamily,901₹,9,6
Kuwait,TheAvenuesKuwait,English,21:25,StandardPremiumBachelor,"1,158₹",16,14
Kuwait,TheAvenuesKuwait,English,21:25,StandardStandardBachelor,901₹,7,3
SaudiArabia,TheSpotSheikhJaberRiyadh,English,21:30,Standard,"1,163₹",66,0
SaudiArabia,TheSpotSheikhJaberRiyadh,English,21:30,StandardPremium,"1,374₹",65,5
SaudiArabia,KingdomCentreRiyadh,English,21:35,VipStandard,"3,172₹",30,19
SaudiArabia,AlQasrMallRiyadh,English,21:45,StandardPremium,"1,374₹",32,1
SaudiArabia,AlQasrMallRiyadh,English,21:45,Standard,"1,163₹",22,1
Egypt,MallOfEgypt,English,21:45,Standard,451₹,121,1
Egypt,MallOfEgypt,English,21:45,StandardVip,492₹,66,14
SaudiArabia,TheSpotSheikhJaberRiyadh,English,21:50,Standard,"1,163₹",44,0
SaudiArabia,TheSpotSheikhJaberRiyadh,English,21:50,StandardPremium,"1,374₹",45,0
SaudiArabia,HailSquareHail,English,21:50,Standard,"1,163₹",91,0
SaudiArabia,HailSquareHail,English,21:50,StandardPremium,"1,374₹",91,0
SaudiArabia,AtyafMallRiyadh,English,22:00,Standard,"1,163₹",27,0
SaudiArabia,AtyafMallRiyadh,English,22:00,StandardPremium,"1,374₹",28,2
Egypt,CityCentreAlmaza,English,22:00,StandardPremium,492₹,41,5
Egypt,CityCentreAlmaza,English,22:00,Standard,451₹,29,0
SaudiArabia,RedSeaMallJeddah,English,22:10,GoldStandard,"2,326₹",48,17
SaudiArabia,RiyadhFrontRiyadh,English,22:15,StandardPremium,"1,374₹",65,7
SaudiArabia,RiyadhFrontRiyadh,English,22:15,Standard,"1,163₹",70,7
