Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Kuwait,TheAvenuesKuwait,Japanese,11:00,StandardPremiumFamily,"1,185₹",15,4
Kuwait,TheAvenuesKuwait,Japanese,11:00,StandardStandardFamily,921₹,10,0
Kuwait,TheAvenuesKuwait,Japanese,11:00,StandardPremiumBachelor,"1,185₹",12,10
Kuwait,TheAvenuesKuwait,Japanese,11:00,StandardStandardBachelor,921₹,10,3
Kuwait,TheAvenuesKuwait,Japanese,13:20,StandardPremiumFamily,"1,185₹",15,6
Kuwait,TheAvenuesKuwait,Japanese,13:20,StandardStandardFamily,922₹,10,0
Kuwait,TheAvenuesKuwait,Japanese,13:20,StandardPremiumBachelor,"1,185₹",12,8
Kuwait,TheAvenuesKuwait,Japanese,13:20,StandardStandardBachelor,922₹,10,4
Qatar,DohaFestivalCity,Japanese,13:30,Standard,898₹,24,7
Qatar,DohaFestivalCity,Japanese,13:30,StandardPremium,"1,122₹",31,29
Kuwait,TheAvenuesKuwait,Japanese,16:15,StandardPremiumFamily,"1,185₹",15,5
Kuwait,TheAvenuesKuwait,Japanese,16:15,StandardStandardFamily,921₹,10,0
Kuwait,TheAvenuesKuwait,Japanese,16:15,StandardPremiumBachelor,"1,185₹",12,3
Kuwait,TheAvenuesKuwait,Japanese,16:15,StandardStandardBachelor,921₹,10,0
Qatar,DohaFestivalCity,Japanese,17:40,Standard,899₹,24,0
Qatar,DohaFestivalCity,Japanese,17:40,StandardPremium,"1,124₹",31,3
Kuwait,TheAvenuesKuwait,Japanese,18:45,StandardPremiumFamily,"1,185₹",15,3
Kuwait,TheAvenuesKuwait,Japanese,18:45,StandardStandardFamily,921₹,10,0
Kuwait,TheAvenuesKuwait,Japanese,18:45,StandardPremiumBachelor,"1,185₹",12,5
Kuwait,TheAvenuesKuwait,Japanese,18:45,StandardStandardBachelor,921₹,10,0
Kuwait,TheAvenuesKuwait,Japanese,19:55,StandardPremiumFamily,"1,185₹",15,0
Kuwait,TheAvenuesKuwait,Japanese,19:55,StandardStandardFamily,921₹,10,0
Kuwait,TheAvenuesKuwait,Japanese,19:55,StandardPremiumBachelor,"1,185₹",12,1
Kuwait,TheAvenuesKuwait,Japanese,19:55,StandardStandardBachelor,921₹,10,0
Kuwait,TheAvenuesKuwait,Japanese,21:40,Standard,"1,185₹",47,1
