Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,Burjuman,Kannada,11:30,VipPremium,"1,403₹",50,7
Uae,CityCentreSharjah,Kannada,11:45,StandardPremium,936₹,46,0
Uae,CityCentreDeira,Kannada,12:45,Standard,816₹,64,24
Uae,CityCentreDeira,Kannada,12:45,StandardPremium,"1,066₹",43,25
Uae,CityCentreShindagha,Kannada,12:45,Standard,816₹,31,8
Uae,CityCentreShindagha,Kannada,12:45,StandardPremium,"1,066₹",14,14
Oman,Azaiba,Kannada,13:25,Standard,601₹,102,67
Uae,CityCentreShindagha,Kannada,13:55,Standard,816₹,94,23
Uae,CityCentreShindagha,Kannada,13:55,StandardPremium,"1,066₹",37,16
Uae,Burjuman,Kannada,14:15,VipPremium,"1,399₹",50,21
Uae,MegaplexCineplexGrandHyatt,Kannada,14:30,Standard,816₹,36,8
Uae,MegaplexCineplexGrandHyatt,Kannada,14:30,StandardPremium,"1,066₹",58,17
Uae,CityCentreDeira,Kannada,15:00,Standard,816₹,93,40
Uae,CityCentreDeira,Kannada,15:00,StandardPremium,"1,066₹",88,76
Uae,CityCentreSharjah,Kannada,15:45,StandardPremium,932₹,46,28
Oman,Azaiba,Kannada,16:35,Standard,601₹,102,42
Uae,Burjuman,Kannada,17:35,VipPremium,"1,399₹",50,34
Uae,MegaplexCineplexGrandHyatt,Kannada,17:40,Standard,816₹,36,5
Uae,MegaplexCineplexGrandHyatt,Kannada,17:40,StandardPremium,"1,066₹",58,21
Uae,CityCentreSharjah,Kannada,18:00,StandardPremium,936₹,46,0
Oman,Azaiba,Kannada,18:00,Standard,601₹,97,9
Uae,Burjuman,Kannada,18:15,VipPremium,"1,399₹",50,9
Uae,CityCentreShindagha,Kannada,19:00,Standard,819₹,31,0
Uae,CityCentreShindagha,Kannada,19:00,StandardPremium,"1,070₹",14,0
Uae,Burjuman,Kannada,19:00,PremiumStandard,816₹,41,28
Uae,CityCentreSharjah,Kannada,19:00,StandardPremium,932₹,46,6
Uae,CityCentreDeira,Kannada,19:15,Standard,816₹,64,13
Uae,CityCentreDeira,Kannada,19:15,StandardPremium,"1,066₹",43,25
Oman,Ruwi,Kannada,19:15,StandardPremium,512₹,98,26
Uae,CityCentreShindagha,Kannada,19:45,Standard,816₹,94,14
Uae,CityCentreShindagha,Kannada,19:45,StandardPremium,"1,066₹",37,9
