Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,MallOfTheEmirates,Tagalog,08:00,Standard,798₹,35,0
Uae,MallOfTheEmirates,Tagalog,08:00,StandardPremium,"1,042₹",42,4
SaudiArabia,WestAvenueMallDammam,Tagalog,08:15,StandardPremium,"1,377₹",84,2
SaudiArabia,WestAvenueMallDammam,Tagalog,08:15,Standard,"1,165₹",77,0
Oman,CityCentreMuscat,Tagalog,09:10,Standard,648₹,47,0
Oman,CityCentreMuscat,Tagalog,09:10,StandardPremium,864₹,44,4
Oman,MallOfOman,Tagalog,09:50,StandardPremium,928₹,26,0
Oman,MallOfOman,Tagalog,09:50,Standard,757₹,19,0
Oman,CityCentreSuhar,Tagalog,10:00,Standard,651₹,50,0
Oman,CityCentreSuhar,Tagalog,10:00,StandardPremium,760₹,28,4
Uae,CityCentreDeira,Tagalog,10:20,Standard,796₹,93,0
Uae,CityCentreDeira,Tagalog,10:20,StandardPremium,"1,040₹",88,0
Uae,WafiMallAtWafiCity,Tagalog,10:45,StandardPremium,"1,042₹",66,0
Uae,WafiMallAtWafiCity,Tagalog,10:45,Standard,798₹,50,0
Uae,MallOfTheEmirates,Tagalog,10:55,Standard,798₹,35,0
Uae,MallOfTheEmirates,Tagalog,10:55,StandardPremium,"1,042₹",42,4
Uae,AbuDhabiMallAbuDhabi,Tagalog,11:00,Standard,867₹,92,0
Uae,AbuDhabiMallAbuDhabi,Tagalog,11:00,StandardPremium,"1,105₹",42,7
Bahrain,CityCentreBahrain,Tagalog,11:00,Standard,824₹,108,3
Uae,CityCentreMirdif,Tagalog,11:20,StandardPremium,"1,042₹",71,4
Uae,CityCentreMirdif,Tagalog,11:20,Standard,798₹,70,0
Oman,CityCentreMuscat,Tagalog,11:30,Standard,648₹,36,2
Uae,CityCentreSharjah,Tagalog,11:45,StandardPremium,911₹,70,0
Uae,Mercato,Tagalog,12:00,Standard,796₹,73,0
Uae,Mercato,Tagalog,12:00,StandardPremium,"1,252₹",101,8
Uae,CityCentreDeira,Tagalog,12:30,GoldStandard,"2,057₹",32,2
Oman,MallOfOman,Tagalog,12:40,StandardPremium,928₹,26,0
Oman,MallOfOman,Tagalog,12:40,Standard,757₹,19,0
Uae,CityCentreAjman,Tagalog,13:00,Standard,872₹,46,0
Uae,CityCentreAjman,Tagalog,13:00,StandardPremium,"1,127₹",29,0
Uae,AbuDhabiMallAbuDhabi,Tagalog,13:05,Standard,865₹,80,0
Uae,AbuDhabiMallAbuDhabi,Tagalog,13:05,StandardPremium,"1,103₹",36,0
Uae,CityCentreDeira,Tagalog,13:20,Standard,799₹,93,0
Uae,CityCentreDeira,Tagalog,13:20,StandardPremium,"1,044₹",88,0
Uae,Burjuman,Tagalog,13:35,StandardPremium,"1,042₹",86,7
Uae,Burjuman,Tagalog,13:35,Standard,798₹,50,0
Uae,MallOfTheEmirates,Tagalog,13:50,Standard,798₹,35,0
Uae,MallOfTheEmirates,Tagalog,13:50,StandardPremium,"1,042₹",42,4
