Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,Arabic,08:15,StandardPremium,"1,377₹",31,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,08:15,Standard,"1,165₹",16,2
SaudiArabia,AlQasrMallRiyadh,Arabic,09:15,StandardPremium,"1,187₹",27,0
SaudiArabia,AlQasrMallRiyadh,Arabic,09:15,Standard,996₹,26,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,12:30,StandardPremium,"1,377₹",31,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,12:30,Standard,"1,165₹",16,2
SaudiArabia,HailSquareHail,Arabic,15:15,Standard,996₹,26,1
SaudiArabia,HailSquareHail,Arabic,15:15,StandardPremium,"1,187₹",20,0
SaudiArabia,AlQasrMallRiyadh,Arabic,15:45,StandardPremium,"1,187₹",27,0
SaudiArabia,AlQasrMallRiyadh,Arabic,15:45,Standard,996₹,26,0
SaudiArabia,HailSquareHail,Arabic,19:30,Standard,996₹,26,1
SaudiArabia,HailSquareHail,Arabic,19:30,StandardPremium,"1,187₹",20,0
SaudiArabia,RiyadhParkRiyadh,Arabic,19:35,StandardPremium,"1,187₹",28,0
SaudiArabia,RiyadhParkRiyadh,Arabic,19:35,Standard,996₹,28,0
SaudiArabia,TabukParkTabuk,Arabic,20:25,Standard,996₹,20,0
SaudiArabia,TabukParkTabuk,Arabic,20:25,StandardPremium,"1,187₹",28,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,21:00,StandardPremium,"1,377₹",31,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,21:00,Standard,"1,165₹",16,2
SaudiArabia,AlQasrMallRiyadh,Arabic,22:00,StandardPremium,"1,187₹",27,0
SaudiArabia,AlQasrMallRiyadh,Arabic,22:00,Standard,996₹,26,2
SaudiArabia,RiyadhParkRiyadh,Arabic,23:20,StandardPremium,"1,187₹",28,0
SaudiArabia,RiyadhParkRiyadh,Arabic,23:20,Standard,996₹,28,0
