Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Kuwait,TheAvenuesKuwait,Emirati,08:30,StandardPremiumFamily,"1,185₹",15,0
Kuwait,TheAvenuesKuwait,Emirati,08:30,StandardStandardFamily,922₹,10,0
Kuwait,TheAvenuesKuwait,Emirati,08:30,StandardPremiumBachelor,"1,185₹",12,1
Kuwait,TheAvenuesKuwait,Emirati,08:30,StandardStandardBachelor,922₹,10,0
Uae,CityCentreMirdif,Emirati,09:00,StandardPremium,"1,068₹",86,4
Uae,CityCentreMirdif,Emirati,09:00,Standard,817₹,75,3
Uae,NakheelMall,Emirati,09:00,StandardPremium,"1,068₹",25,2
Bahrain,CityCentreBahrain,Emirati,09:00,Standard,845₹,108,1
Uae,CityCentreFujairah,Emirati,09:10,VipPremium,"1,402₹",78,6
Oman,CityCentreSuhar,Emirati,09:10,Standard,668₹,56,0
Oman,CityCentreSuhar,Emirati,09:10,StandardPremium,781₹,41,4
Uae,CityCentreAjman,Emirati,09:20,Standard,890₹,96,0
Uae,CityCentreAjman,Emirati,09:20,StandardPremium,"1,150₹",60,0
Uae,MallOfTheEmirates,Emirati,09:20,Standard,817₹,70,0
Uae,MallOfTheEmirates,Emirati,09:20,StandardPremium,"1,068₹",69,8
Uae,TheGalleriaAlMaryahIsland,Emirati,09:20,StandardPremium,"1,135₹",75,2
Uae,TheGalleriaAlMaryahIsland,Emirati,09:20,Standard,890₹,66,0
Uae,WafiMallAtWafiCity,Emirati,09:20,Standard,817₹,56,0
Uae,WafiMallAtWafiCity,Emirati,09:20,StandardPremium,"1,068₹",64,0
Uae,YasMallAbuDhabi,Emirati,09:20,MaxStandard,968₹,260,2
Uae,YasMallAbuDhabi,Emirati,09:20,MaxPremium,"1,379₹",196,14
Uae,YasMallAbuDhabi,Emirati,09:20,MaxLounger,890₹,14,3
Uae,AlHamraMallRasAlKhaimah,Emirati,09:40,Standard,817₹,59,0
Uae,AlHamraMallRasAlKhaimah,Emirati,09:40,StandardPremium,"1,068₹",40,1
Uae,CityCentreAlZahia,Emirati,09:40,MaxPremium,"1,285₹",202,10
Uae,CityCentreAlZahia,Emirati,09:40,MaxStandard,890₹,128,0
Uae,CityCentreAlZahia,Emirati,09:40,MaxLounger,817₹,14,0
Uae,CityCentreFujairah,Emirati,09:40,MaxStandard,890₹,141,0
Uae,CityCentreFujairah,Emirati,09:40,MaxPremium,"1,168₹",110,6
Uae,AlJimiMall,Emirati,09:45,MaxPremium,"1,379₹",94,7
Uae,AlJimiMall,Emirati,09:45,MaxStandard,968₹,59,0
Oman,CityCentreMuscat,Emirati,09:45,Standard,668₹,36,2
SaudiArabia,TownSquareJeddah,Emirati,10:25,StandardPremium,"1,414₹",20,0
SaudiArabia,TownSquareJeddah,Emirati,10:25,Standard,"1,196₹",26,0
Kuwait,TheAvenuesKuwait,Emirati,10:50,StandardPremiumFamily,"1,185₹",15,0
Kuwait,TheAvenuesKuwait,Emirati,10:50,StandardStandardFamily,922₹,10,0
Kuwait,TheAvenuesKuwait,Emirati,10:50,StandardPremiumBachelor,"1,185₹",12,2
Kuwait,TheAvenuesKuwait,Emirati,10:50,StandardStandardBachelor,922₹,10,0
Uae,AlHamraMallRasAlKhaimah,Emirati,11:00,VipPremium,"1,402₹",18,11
Uae,CityCentreMirdif,Emirati,11:20,StandardPremium,"1,068₹",86,16
Uae,CityCentreMirdif,Emirati,11:20,Standard,817₹,75,10
Uae,NakheelMall,Emirati,11:20,StandardPremium,"1,068₹",25,1
Oman,CityCentreQurum,Emirati,11:20,Standard,781₹,47,10
Oman,CityCentreQurum,Emirati,11:20,StandardPremium,957₹,47,6
Qatar,DohaOasis,Emirati,11:25,Standard,"1,010₹",48,0
Uae,CityCentreFujairah,Emirati,11:30,VipPremium,"1,402₹",78,25
Oman,MallOfOman,Emirati,11:35,StandardPremium,957₹,26,3
Oman,MallOfOman,Emirati,11:35,Standard,781₹,21,4
Uae,CityCentreAjman,Emirati,11:40,Standard,895₹,96,1
Uae,CityCentreAjman,Emirati,11:40,StandardPremium,"1,157₹",60,4
Uae,MallOfTheEmirates,Emirati,11:40,Standard,817₹,70,2
Uae,MallOfTheEmirates,Emirati,11:40,StandardPremium,"1,068₹",69,4
Uae,Mercato,Emirati,11:40,Standard,817₹,61,0
Uae,Mercato,Emirati,11:40,StandardPremium,"1,285₹",82,2
Uae,TheGalleriaAlMaryahIsland,Emirati,11:40,StandardPremium,"1,135₹",75,9
Uae,TheGalleriaAlMaryahIsland,Emirati,11:40,Standard,890₹,66,0
Uae,WafiMallAtWafiCity,Emirati,11:40,Standard,817₹,56,0
Uae,WafiMallAtWafiCity,Emirati,11:40,StandardPremium,"1,068₹",64,0
Uae,YasMallAbuDhabi,Emirati,11:40,MaxStandard,968₹,260,11
Uae,YasMallAbuDhabi,Emirati,11:40,MaxPremium,"1,379₹",196,17
Uae,YasMallAbuDhabi,Emirati,11:40,MaxLounger,890₹,14,3
Bahrain,VoxCinemasTheAvenues,Emirati,11:45,Standard,953₹,41,0
Bahrain,VoxCinemasTheAvenues,Emirati,11:45,StandardPremium,"1,192₹",25,0
Uae,AlHamraMallRasAlKhaimah,Emirati,12:00,Standard,817₹,59,15
Uae,AlHamraMallRasAlKhaimah,Emirati,12:00,StandardPremium,"1,068₹",40,21
Uae,CityCentreAlZahia,Emirati,12:00,MaxPremium,"1,285₹",202,23
Uae,CityCentreAlZahia,Emirati,12:00,MaxStandard,890₹,128,3
Uae,CityCentreAlZahia,Emirati,12:00,MaxLounger,817₹,14,0
Uae,CityCentreFujairah,Emirati,12:00,MaxStandard,890₹,141,20
Uae,CityCentreFujairah,Emirati,12:00,MaxPremium,"1,168₹",110,42
Uae,NationTowersAbuDhabi,Emirati,12:00,StandardPremium,"1,379₹",60,0
Uae,NationTowersAbuDhabi,Emirati,12:00,Standard,890₹,64,0
Uae,CityCentreAlZahia,Emirati,12:00,GoldStandard,"1,507₹",32,20
Uae,CityCentreDeira,Emirati,12:00,Standard,817₹,35,3
Uae,MallOfTheEmirates,Emirati,12:00,ZemanAwwalCinemaByVoxCinemasStandard,"1,112₹",18,5
Uae,MallOfTheEmirates,Emirati,12:00,ZemanAwwalCinemaByVoxCinemasCouch,"1,112₹",9,2
Uae,YasMallAbuDhabi,Emirati,12:00,TheatreStandard,"4,005₹",36,1
Uae,AlJimiMall,Emirati,12:05,MaxPremium,"1,375₹",94,25
Uae,AlJimiMall,Emirati,12:05,MaxStandard,964₹,59,4
Uae,AlJimiMall,Emirati,12:45,TheatreStandard,"3,992₹",32,4
Uae,NationTowersAbuDhabi,Emirati,13:00,VipPremium,"1,663₹",21,4
Uae,NakheelMall,Emirati,13:10,TheatreStandard,"3,726₹",16,4
Uae,AlHamraMallRasAlKhaimah,Emirati,13:30,VipPremium,"1,397₹",18,12
Uae,AbuDhabiMallAbuDhabi,Emirati,13:40,Standard,887₹,80,0
Uae,AbuDhabiMallAbuDhabi,Emirati,13:40,StandardPremium,"1,131₹",36,6
Uae,CityCentreMirdif,Emirati,13:45,StandardPremium,"1,064₹",86,50
Uae,CityCentreMirdif,Emirati,13:45,Standard,815₹,75,13
Uae,NakheelMall,Emirati,13:45,StandardPremium,"1,064₹",25,3
Uae,CityCentreFujairah,Emirati,13:50,VipPremium,"1,397₹",78,26
Oman,MallOfOman,Emirati,13:50,StandardPremium,954₹,26,3
Oman,MallOfOman,Emirati,13:50,Standard,778₹,21,0
Uae,CityCentreAjman,Emirati,14:00,Standard,892₹,96,8
Uae,CityCentreAjman,Emirati,14:00,StandardPremium,"1,153₹",60,19
Uae,MallOfTheEmirates,Emirati,14:00,Standard,815₹,70,8
Uae,MallOfTheEmirates,Emirati,14:00,StandardPremium,"1,064₹",69,16
Uae,Mercato,Emirati,14:00,Standard,815₹,61,5
Uae,Mercato,Emirati,14:00,StandardPremium,"1,281₹",82,15
Uae,TheGalleriaAlMaryahIsland,Emirati,14:00,StandardPremium,"1,131₹",75,23
Uae,TheGalleriaAlMaryahIsland,Emirati,14:00,Standard,887₹,66,4
Uae,WafiMallAtWafiCity,Emirati,14:00,Standard,815₹,56,0
Uae,WafiMallAtWafiCity,Emirati,14:00,StandardPremium,"1,064₹",64,8
Uae,YasMallAbuDhabi,Emirati,14:00,MaxStandard,964₹,260,12
Uae,YasMallAbuDhabi,Emirati,14:00,MaxPremium,"1,375₹",196,43
Uae,YasMallAbuDhabi,Emirati,14:00,MaxLounger,887₹,14,3
Uae,NationTowersAbuDhabi,Emirati,14:00,VipPremium,"1,663₹",21,8
Oman,CityCentreSuhar,Emirati,14:15,Standard,666₹,56,22
Oman,CityCentreSuhar,Emirati,14:15,StandardPremium,778₹,41,20
Uae,AlHamraMallRasAlKhaimah,Emirati,14:20,Standard,815₹,59,28
Uae,AlHamraMallRasAlKhaimah,Emirati,14:20,StandardPremium,"1,064₹",40,31
Uae,CityCentreAlZahia,Emirati,14:20,MaxPremium,"1,281₹",202,75
Uae,CityCentreAlZahia,Emirati,14:20,MaxStandard,887₹,128,9
Uae,CityCentreAlZahia,Emirati,14:20,MaxLounger,815₹,14,1
Uae,CityCentreFujairah,Emirati,14:20,MaxStandard,887₹,141,63
Uae,CityCentreFujairah,Emirati,14:20,MaxPremium,"1,164₹",110,93
Uae,NationTowersAbuDhabi,Emirati,14:20,StandardPremium,"1,375₹",60,6
Uae,NationTowersAbuDhabi,Emirati,14:20,Standard,887₹,64,0
Uae,AlJimiMall,Emirati,14:25,MaxPremium,"1,382₹",94,0
Uae,AlJimiMall,Emirati,14:25,MaxStandard,970₹,59,0
Uae,MallOfTheEmirates,Emirati,14:30,ZemanAwwalCinemaByVoxCinemasStandard,"1,109₹",18,4
Uae,MallOfTheEmirates,Emirati,14:30,ZemanAwwalCinemaByVoxCinemasCouch,"1,109₹",9,0
Uae,YasMallAbuDhabi,Emirati,14:30,TheatreStandard,"3,992₹",36,7
Bahrain,CityCentreBahrain,Emirati,14:45,Standard,842₹,108,17
Uae,TheGalleriaAlMaryahIsland,Emirati,15:15,StandardPremium,"1,135₹",28,0
Uae,TheGalleriaAlMaryahIsland,Emirati,15:15,Standard,890₹,16,0
