Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Egypt,CityCentreAlmaza,Egyptian,09:00,StandardPremium,502₹,42,5
Egypt,MallOfEgypt,Egyptian,09:45,Standard,460₹,81,0
Egypt,MallOfEgypt,Egyptian,09:45,StandardVip,502₹,31,6
Egypt,CityCentreAlmaza,Egyptian,12:45,StandardPremium,500₹,42,26
Egypt,MallOfEgypt,Egyptian,13:30,Standard,458₹,81,13
Egypt,MallOfEgypt,Egyptian,13:30,StandardVip,500₹,31,15
Egypt,CityCentreAlmaza,Egyptian,16:30,StandardPremium,502₹,42,9
Egypt,MallOfEgypt,Egyptian,17:15,Standard,460₹,81,0
Egypt,MallOfEgypt,Egyptian,17:15,StandardVip,502₹,31,4
Egypt,CityCentreAlmaza,Egyptian,20:15,StandardPremium,502₹,42,5
Egypt,MallOfEgypt,Egyptian,21:00,Standard,460₹,81,0
Egypt,MallOfEgypt,Egyptian,21:00,StandardVip,502₹,31,4
