Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RedSeaMallJeddah,Egyptian,00:40,StandardPremium,"1,380₹",92,0
SaudiArabia,RedSeaMallJeddah,Egyptian,00:40,Standard,"1,168₹",68,0
SaudiArabia,RedSeaMallJeddah,Egyptian,00:40,StandardWheelchairSpace,"1,168₹",3,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,01:45,StandardPremium,"1,377₹",31,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,01:45,Standard,"1,165₹",16,2
SaudiArabia,RiyadhFrontRiyadh,Egyptian,06:00,StandardPremium,"1,377₹",31,0
SaudiArabia,RiyadhFrontRiyadh,Egyptian,06:00,Standard,"1,165₹",16,2
SaudiArabia,RedSeaMallJeddah,Egyptian,08:20,StandardPremium,"1,380₹",92,0
SaudiArabia,RedSeaMallJeddah,Egyptian,08:20,Standard,"1,168₹",68,0
SaudiArabia,RedSeaMallJeddah,Egyptian,08:20,StandardWheelchairSpace,"1,168₹",3,0
Egypt,MallOfEgypt,Egyptian,09:00,Standard,454₹,37,0
Egypt,MallOfEgypt,Egyptian,09:00,StandardPremium,496₹,30,4
Oman,Mgm,Egyptian,10:00,StandardPremium,869₹,38,0
Oman,Mgm,Egyptian,10:00,Standard,761₹,35,2
Oman,CityCentreMuscat,Egyptian,10:05,Standard,652₹,36,2
Uae,CityCentreMirdif,Egyptian,10:30,StandardPremium,"1,042₹",20,0
Uae,CityCentreMirdif,Egyptian,10:30,Standard,798₹,25,0
Qatar,DohaOasis,Egyptian,10:45,Standard,986₹,43,0
Uae,CityCentreFujairah,Egyptian,10:45,Standard,796₹,56,2
Uae,CityCentreFujairah,Egyptian,10:45,StandardPremium,"1,040₹",64,2
Qatar,DohaOasis,Egyptian,10:50,Standard,984₹,43,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,11:15,StandardPremium,"1,377₹",27,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,11:15,Standard,"1,165₹",26,0
Egypt,MallOfEgypt,Egyptian,11:30,Standard,454₹,37,0
Egypt,MallOfEgypt,Egyptian,11:30,StandardPremium,496₹,30,4
Kuwait,TheAvenuesKuwait,Egyptian,11:40,StandardPremiumFamily,"1,162₹",15,0
Kuwait,TheAvenuesKuwait,Egyptian,11:40,StandardStandardFamily,904₹,8,0
Kuwait,TheAvenuesKuwait,Egyptian,11:40,StandardPremiumBachelor,"1,162₹",16,1
