Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,Burjuman,Malayalam,10:30,Standard,812₹,41,4
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:35,Standard,812₹,60,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:35,StandardPremium,"1,061₹",70,0
Uae,CityCentreDeira,Malayalam,10:45,Standard,812₹,84,0
Uae,CityCentreDeira,Malayalam,10:45,StandardPremium,"1,061₹",51,0
Uae,CityCentreSharjah,Malayalam,11:00,Standard,812₹,40,0
Uae,CityCentreSharjah,Malayalam,11:00,StandardVip,"1,061₹",26,1
Uae,CityCentreShindagha,Malayalam,13:25,Standard,796₹,93,0
Uae,CityCentreShindagha,Malayalam,13:25,StandardPremium,"1,040₹",31,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,13:25,Standard,812₹,60,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,13:25,StandardPremium,"1,061₹",70,0
Uae,CityCentreSharjah,Malayalam,13:45,Standard,812₹,45,0
Uae,CityCentreSharjah,Malayalam,13:45,StandardPremium,"1,061₹",35,2
Uae,Burjuman,Malayalam,13:55,VipPremium,"1,393₹",50,3
Oman,SuharPlaza,Malayalam,14:00,Standard,510₹,196,4
Oman,CityCentreSuhar,Malayalam,14:40,KidsVip,664₹,44,2
Uae,CityCentreShindagha,Malayalam,15:00,Standard,812₹,31,0
Uae,CityCentreShindagha,Malayalam,15:00,StandardPremium,"1,061₹",14,0
Oman,Azaiba,Malayalam,15:45,Standard,589₹,102,4
Uae,CityCentreDeira,Malayalam,16:10,Standard,812₹,84,0
Uae,CityCentreDeira,Malayalam,16:10,StandardPremium,"1,061₹",51,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,16:15,Standard,812₹,60,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,16:15,StandardPremium,"1,061₹",70,0
Uae,Burjuman,Malayalam,16:20,Standard,812₹,41,4
Uae,CityCentreSharjah,Malayalam,16:25,Standard,812₹,40,0
Uae,CityCentreSharjah,Malayalam,16:25,StandardVip,"1,061₹",26,1
Oman,Ruwi,Malayalam,18:00,Standard,631₹,27,0
Oman,CityCentreSuhar,Malayalam,18:45,Standard,664₹,50,0
Oman,CityCentreSuhar,Malayalam,18:45,StandardPremium,776₹,28,4
Uae,CityCentreShindagha,Malayalam,19:00,Standard,796₹,93,0
Uae,CityCentreShindagha,Malayalam,19:00,StandardPremium,"1,040₹",31,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,19:05,Standard,812₹,60,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,19:05,StandardPremium,"1,061₹",70,0
Uae,CityCentreSharjah,Malayalam,19:20,Standard,812₹,45,0
Uae,CityCentreSharjah,Malayalam,19:20,StandardPremium,"1,061₹",35,2
