Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RedSeaMallJeddah,Indonesian,02:00,VipPremium,"1,702₹",48,0
SaudiArabia,RedSeaMallJeddah,Indonesian,02:00,VipWheelchairSpace,"1,702₹",2,2
SaudiArabia,RedSeaMallJeddah,Indonesian,05:35,StandardPremium,"1,383₹",92,0
SaudiArabia,RedSeaMallJeddah,Indonesian,05:35,Standard,"1,170₹",68,0
SaudiArabia,RedSeaMallJeddah,Indonesian,05:35,StandardWheelchairSpace,"1,170₹",3,0
SaudiArabia,AlQasrMallRiyadh,Indonesian,08:30,StandardPremium,"1,383₹",18,0
SaudiArabia,AlQasrMallRiyadh,Indonesian,08:30,Standard,"1,170₹",18,0
SaudiArabia,RedSeaMallJeddah,Indonesian,08:35,StandardPremium,"1,383₹",92,0
SaudiArabia,RedSeaMallJeddah,Indonesian,08:35,Standard,"1,170₹",68,0
SaudiArabia,RedSeaMallJeddah,Indonesian,08:35,StandardWheelchairSpace,"1,170₹",3,0
SaudiArabia,RiyadhFrontRiyadh,Indonesian,09:15,StandardPremium,"1,377₹",18,0
SaudiArabia,RiyadhFrontRiyadh,Indonesian,09:15,Standard,"1,165₹",23,2
Kuwait,TheAvenuesKuwait,Indonesian,10:05,StandardPremiumFamily,"1,163₹",48,0
Kuwait,TheAvenuesKuwait,Indonesian,10:05,StandardPremiumBachelor,"1,163₹",60,1
Kuwait,TheAvenuesKuwait,Indonesian,10:05,StandardStandardFamily,905₹,23,0
Kuwait,TheAvenuesKuwait,Indonesian,10:05,StandardStandardBachelor,905₹,26,0
Uae,NakheelMall,Indonesian,10:30,StandardPremium,"1,040₹",40,0
Uae,NationTowersAbuDhabi,Indonesian,10:30,Standard,867₹,36,0
Uae,NationTowersAbuDhabi,Indonesian,10:30,StandardPremium,"1,344₹",48,0
SaudiArabia,SaharaMallRiyadh,Indonesian,10:45,Standard,"1,187₹",32,0
SaudiArabia,SaharaMallRiyadh,Indonesian,10:45,StandardPremium,"1,403₹",38,0
Uae,WafiMallAtWafiCity,Indonesian,10:45,Standard,796₹,56,0
Uae,WafiMallAtWafiCity,Indonesian,10:45,StandardPremium,"1,040₹",64,0
Uae,TheGalleriaAlMaryahIsland,Indonesian,11:00,StandardPremium,"1,105₹",26,0
Uae,TheGalleriaAlMaryahIsland,Indonesian,11:00,Standard,867₹,14,0
Uae,CityCentreAjman,Indonesian,11:15,Standard,890₹,46,2
