Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,Burjuman,Malayalam,09:00,StandardPremium,"1,040₹",74,4
Uae,Burjuman,Malayalam,09:00,Standard,796₹,50,0
Uae,CityCentreSharjah,Malayalam,09:00,Standard,796₹,73,0
Uae,CityCentreSharjah,Malayalam,09:00,StandardPremium,"1,040₹",54,2
Uae,CityCentreShindagha,Malayalam,09:00,Standard,796₹,100,0
Uae,CityCentreShindagha,Malayalam,09:00,StandardPremium,"1,040₹",30,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,09:00,Standard,796₹,207,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,09:00,StandardPremium,"1,040₹",89,0
Oman,CityCentreSuhar,Malayalam,09:05,Standard,654₹,56,0
Oman,CityCentreSuhar,Malayalam,09:05,StandardPremium,764₹,39,4
Uae,CityCentreAjman,Malayalam,09:15,Standard,872₹,78,0
Uae,CityCentreAjman,Malayalam,09:15,StandardPremium,"1,127₹",52,0
Uae,WafiMallAtWafiCity,Malayalam,09:15,StandardPremium,"1,040₹",66,0
Uae,WafiMallAtWafiCity,Malayalam,09:15,Standard,796₹,50,0
Oman,SuharPlaza,Malayalam,11:30,Standard,510₹,196,4
Oman,NizwaGrandMall,Malayalam,12:00,Standard,664₹,28,0
Oman,NizwaGrandMall,Malayalam,12:00,StandardPremium,776₹,30,3
Uae,Burjuman,Malayalam,12:20,StandardPremium,"1,061₹",74,11
Uae,Burjuman,Malayalam,12:20,Standard,812₹,50,7
Uae,CityCentreSharjah,Malayalam,12:20,Standard,812₹,73,5
Uae,CityCentreSharjah,Malayalam,12:20,StandardPremium,"1,061₹",54,11
Uae,CityCentreShindagha,Malayalam,12:20,Standard,796₹,100,0
Uae,CityCentreShindagha,Malayalam,12:20,StandardPremium,"1,040₹",30,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,12:20,Standard,812₹,207,6
Uae,MegaplexCineplexGrandHyatt,Malayalam,12:20,StandardPremium,"1,061₹",89,1
Uae,CityCentreDeira,Malayalam,12:20,Standard,812₹,111,26
Uae,CityCentreDeira,Malayalam,12:20,StandardPremium,"1,061₹",96,21
Uae,CityCentreAjman,Malayalam,12:30,Standard,872₹,78,0
Uae,CityCentreAjman,Malayalam,12:30,StandardPremium,"1,127₹",52,0
Oman,Shatti,Malayalam,14:25,Standard,654₹,185,0
Uae,WafiMallAtWafiCity,Malayalam,14:45,StandardPremium,"1,061₹",66,0
Uae,WafiMallAtWafiCity,Malayalam,14:45,Standard,812₹,50,4
Oman,Azaiba,Malayalam,15:00,Standard,599₹,97,4
Oman,Panorama,Malayalam,15:30,Standard,664₹,133,4
Uae,Burjuman,Malayalam,15:40,StandardPremium,"1,061₹",74,10
Uae,Burjuman,Malayalam,15:40,Standard,812₹,50,7
Uae,CityCentreSharjah,Malayalam,15:40,Standard,812₹,73,6
Uae,CityCentreSharjah,Malayalam,15:40,StandardPremium,"1,061₹",54,7
Uae,CityCentreShindagha,Malayalam,15:40,Standard,812₹,100,9
Uae,CityCentreShindagha,Malayalam,15:40,StandardPremium,"1,061₹",30,1
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:40,Standard,812₹,207,16
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:40,StandardPremium,"1,061₹",89,6
Oman,Ruwi,Malayalam,15:40,StandardPremium,502₹,98,0
Uae,CityCentreDeira,Malayalam,15:40,Standard,812₹,111,17
Uae,CityCentreDeira,Malayalam,15:40,StandardPremium,"1,061₹",96,0
Uae,CityCentreAjman,Malayalam,15:45,Standard,872₹,78,0
Uae,CityCentreAjman,Malayalam,15:45,StandardPremium,"1,127₹",52,0
Oman,Salalah,Malayalam,16:15,Standard,443₹,108,0
Oman,Salalah,Malayalam,16:15,StandardPremium,664₹,112,0
Oman,Mgm,Malayalam,17:15,StandardPremium,886₹,17,0
Oman,Mgm,Malayalam,17:15,Standard,776₹,32,2
Oman,CityCentreSuhar,Malayalam,17:30,KidsVip,664₹,44,3
Oman,NizwaGrandMall,Malayalam,17:35,Standard,664₹,28,0
Oman,NizwaGrandMall,Malayalam,17:35,StandardPremium,776₹,30,3
Oman,SuharPlaza,Malayalam,19:00,Standard,510₹,160,4
Uae,Burjuman,Malayalam,19:00,StandardPremium,"1,061₹",74,4
Uae,Burjuman,Malayalam,19:00,Standard,812₹,50,0
Uae,CityCentreSharjah,Malayalam,19:00,Standard,812₹,73,0
Uae,CityCentreSharjah,Malayalam,19:00,StandardPremium,"1,061₹",54,2
Uae,CityCentreShindagha,Malayalam,19:00,Standard,812₹,100,0
Uae,CityCentreShindagha,Malayalam,19:00,StandardPremium,"1,061₹",30,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,19:00,Standard,812₹,207,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,19:00,StandardPremium,"1,061₹",89,2
Uae,CityCentreDeira,Malayalam,19:00,Standard,812₹,111,0
Uae,CityCentreDeira,Malayalam,19:00,StandardPremium,"1,061₹",96,1
