Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreDeira,Malayalam,10:15,Standard,798₹,96,3
Uae,CityCentreDeira,Malayalam,10:15,StandardPremium,"1,043₹",57,0
Uae,CityCentreShindagha,Malayalam,10:45,Standard,798₹,31,0
Uae,CityCentreShindagha,Malayalam,10:45,StandardPremium,"1,043₹",14,0
Uae,CityCentreSharjah,Malayalam,11:45,StandardPremium,912₹,70,0
Oman,SuharPlaza,Malayalam,12:00,Standard,502₹,251,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,12:30,Standard,799₹,39,1
Uae,MegaplexCineplexGrandHyatt,Malayalam,12:30,StandardPremium,"1,044₹",61,0
Uae,Burjuman,Malayalam,13:10,Standard,799₹,41,4
Uae,CityCentreSharjah,Malayalam,13:25,Standard,799₹,45,0
Uae,CityCentreSharjah,Malayalam,13:25,StandardPremium,"1,044₹",35,2
Uae,CityCentreShindagha,Malayalam,13:45,Standard,799₹,93,0
Uae,CityCentreShindagha,Malayalam,13:45,StandardPremium,"1,044₹",31,0
Oman,Azaiba,Malayalam,14:10,Standard,590₹,102,1
Oman,NizwaGrandMall,Malayalam,15:35,Standard,654₹,60,0
Oman,NizwaGrandMall,Malayalam,15:35,StandardPremium,764₹,58,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:40,Standard,797₹,60,1
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:40,StandardPremium,"1,041₹",70,0
Uae,CityCentreDeira,Malayalam,15:50,Standard,799₹,96,0
Uae,CityCentreDeira,Malayalam,15:50,StandardPremium,"1,044₹",57,0
Uae,CityCentreDeira,Malayalam,17:30,KidsPremium,"1,044₹",37,0
Uae,Burjuman,Malayalam,18:45,Standard,799₹,41,4
Uae,CityCentreSharjah,Malayalam,19:00,Standard,799₹,45,0
Uae,CityCentreSharjah,Malayalam,19:00,StandardPremium,"1,044₹",35,2
Uae,CityCentreShindagha,Malayalam,19:20,Standard,799₹,93,0
Uae,CityCentreShindagha,Malayalam,19:20,StandardPremium,"1,044₹",31,0
