Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,Burjuman,Hindi,08:45,Standard,797₹,48,3
Bahrain,CityCentreBahrain,Hindi,10:45,Standard,824₹,119,1
Oman,CityCentreMuscat,Hindi,11:50,Standard,652₹,47,4
Oman,CityCentreMuscat,Hindi,11:50,StandardPremium,869₹,44,0
Uae,CityCentreAjman,Hindi,12:00,Standard,873₹,45,14
Uae,CityCentreAjman,Hindi,12:00,StandardPremium,"1,128₹",29,12
Uae,Burjuman,Hindi,12:10,Standard,797₹,48,26
Oman,MallOfOman,Hindi,12:10,StandardPremium,933₹,26,0
Oman,MallOfOman,Hindi,12:10,Standard,761₹,21,5
Uae,CityCentreFujairah,Hindi,12:35,Standard,797₹,58,0
Uae,CityCentreFujairah,Hindi,12:35,StandardPremium,"1,041₹",40,0
Oman,Mgm,Hindi,13:00,StandardPremium,869₹,17,0
Oman,Mgm,Hindi,13:00,Standard,761₹,32,2
Bahrain,CityCentreBahrain,Hindi,14:00,Standard,824₹,119,1
Uae,CityCentreAlZahia,Hindi,15:15,StandardPremium,"1,041₹",19,9
Uae,CityCentreAlZahia,Hindi,15:15,Standard,797₹,24,12
Oman,MallOfOman,Hindi,15:25,StandardPremium,933₹,26,11
Oman,MallOfOman,Hindi,15:25,Standard,761₹,21,9
Uae,Burjuman,Hindi,15:35,Standard,797₹,48,28
Uae,TheGalleriaAlMaryahIsland,Hindi,15:55,StandardPremium,"1,106₹",32,16
Uae,TheGalleriaAlMaryahIsland,Hindi,15:55,Standard,868₹,18,0
Uae,CityCentreDeira,Hindi,16:15,Standard,797₹,93,23
Uae,CityCentreDeira,Hindi,16:15,StandardPremium,"1,041₹",88,16
Bahrain,CityCentreBahrain,Hindi,17:15,Standard,824₹,119,7
Oman,CityCentreSuhar,Hindi,17:30,KidsVip,652₹,44,2
Oman,MallOfOman,Hindi,18:15,StandardPremium,933₹,26,2
Oman,MallOfOman,Hindi,18:15,Standard,761₹,21,2
Oman,CityCentreMuscat,Hindi,18:45,Standard,652₹,47,0
Oman,CityCentreMuscat,Hindi,18:45,StandardPremium,869₹,44,0
Uae,Burjuman,Hindi,19:00,Standard,797₹,48,7
Bahrain,CityCentreBahrain,Hindi,20:30,Standard,824₹,119,6
