Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RedSeaMallJeddah,English,04:40,StandardPremium,"1,084₹",66,1
SaudiArabia,RedSeaMallJeddah,English,04:40,Standard,867₹,60,0
SaudiArabia,RiyadhFrontRiyadh,English,06:00,StandardPremium,"1,084₹",31,2
SaudiArabia,RiyadhFrontRiyadh,English,06:00,Standard,867₹,18,4
SaudiArabia,TownSquareJeddah,English,07:00,StandardPremium,"1,084₹",20,0
SaudiArabia,TownSquareJeddah,English,07:00,Standard,867₹,26,0
SaudiArabia,AlQasrMallRiyadh,English,07:45,StandardPremium,"1,084₹",18,0
SaudiArabia,AlQasrMallRiyadh,English,07:45,Standard,867₹,18,0
SaudiArabia,RiyadhFrontRiyadh,English,08:45,StandardPremium,"1,084₹",31,0
SaudiArabia,RiyadhFrontRiyadh,English,08:45,Standard,867₹,18,4
Uae,MallOfTheEmirates,English,08:55,Standard,932₹,63,0
Uae,MallOfTheEmirates,English,08:55,StandardPremium,"1,154₹",50,3
Uae,MallOfTheEmirates,English,08:55,StandardPreferredView,"1,221₹",38,2
Oman,MallOfOman,English,09:00,StandardPremium,956₹,26,0
Oman,MallOfOman,English,09:00,Standard,780₹,21,0
Uae,NakheelMall,English,09:40,StandardPremium,"1,154₹",18,0
Uae,NakheelMall,English,09:40,StandardPreferredView,"1,221₹",15,0
Uae,CityCentreAlZahia,English,09:45,StandardPremium,"1,154₹",17,1
Uae,CityCentreAlZahia,English,09:45,Standard,932₹,25,0
Uae,WafiMallAtWafiCity,English,09:45,StandardPremium,"1,154₹",44,0
Uae,WafiMallAtWafiCity,English,09:45,Standard,932₹,50,0
Uae,WafiMallAtWafiCity,English,09:45,StandardPreferredView,"1,221₹",22,0
SaudiArabia,AtyafMallRiyadh,English,10:00,Standard,867₹,27,0
SaudiArabia,AtyafMallRiyadh,English,10:00,StandardPremium,"1,084₹",28,0
SaudiArabia,JubailGalleriaMallJubail,English,10:30,Standard,"1,084₹",83,1
SaudiArabia,RedSeaMallJeddah,English,10:30,StandardPremium,"1,084₹",66,4
SaudiArabia,RedSeaMallJeddah,English,10:30,Standard,867₹,60,0
SaudiArabia,TheRoofRiyadh,English,10:30,StandardPremium,"1,084₹",32,0
SaudiArabia,TheRoofRiyadh,English,10:30,Standard,867₹,20,0
SaudiArabia,RiyadhParkRiyadh,English,11:15,StandardPremium,"1,084₹",34,3
SaudiArabia,RiyadhParkRiyadh,English,11:15,Standard,867₹,41,2
SaudiArabia,RiyadhFrontRiyadh,English,11:30,StandardPremium,"1,084₹",31,2
SaudiArabia,RiyadhFrontRiyadh,English,11:30,Standard,867₹,18,4
Uae,MallOfTheEmirates,English,11:30,TheatreStandard,"3,729₹",34,8
Oman,CityCentreSuhar,English,11:40,Standard,668₹,50,0
Oman,CityCentreSuhar,English,11:40,StandardPremium,780₹,28,4
Uae,YasMallAbuDhabi,English,12:05,Standard,"1,028₹",39,1
Uae,YasMallAbuDhabi,English,12:05,StandardPremium,"1,252₹",20,0
Uae,YasMallAbuDhabi,English,12:05,StandardPreferredView,"1,319₹",20,3
Uae,NationTowersAbuDhabi,English,12:15,StandardPremium,"1,453₹",36,1
Uae,NationTowersAbuDhabi,English,12:15,Standard,"1,028₹",36,0
Uae,TheGalleriaAlMaryahIsland,English,12:20,StandardPremium,"1,252₹",16,0
Uae,TheGalleriaAlMaryahIsland,English,12:20,Standard,"1,028₹",14,0
Uae,TheGalleriaAlMaryahIsland,English,12:20,StandardPreferredView,"1,319₹",10,0
Uae,NakheelMall,English,12:30,StandardPremium,"1,163₹",18,0
Uae,NakheelMall,English,12:30,StandardPreferredView,"1,230₹",15,0
SaudiArabia,SaharaMallRiyadh,English,13:30,StandardPremium,"1,092₹",48,1
SaudiArabia,SaharaMallRiyadh,English,13:30,Standard,873₹,48,0
SaudiArabia,TownSquareJeddah,English,13:30,StandardPremium,"1,092₹",20,1
SaudiArabia,TownSquareJeddah,English,13:30,Standard,873₹,26,0
Uae,CityCentreMirdif,English,13:40,StandardPremium,"1,163₹",60,5
Uae,CityCentreMirdif,English,13:40,Standard,939₹,75,2
Uae,CityCentreMirdif,English,13:40,StandardPreferredView,"1,230₹",27,6
SaudiArabia,AlQasrMallRiyadh,English,13:45,StandardPremium,"1,092₹",18,0
SaudiArabia,AlQasrMallRiyadh,English,13:45,Standard,873₹,18,0
SaudiArabia,RiyadhFrontRiyadh,English,14:15,StandardPremium,"1,092₹",31,6
SaudiArabia,RiyadhFrontRiyadh,English,14:15,Standard,873₹,18,4
Uae,YasMallAbuDhabi,English,14:45,TheatreStandard,"3,996₹",36,0
SaudiArabia,WestAvenueMallDammam,English,15:00,StandardPremium,"1,092₹",84,5
SaudiArabia,WestAvenueMallDammam,English,15:00,Standard,873₹,74,0
Uae,CityCentreMirdif,English,15:00,TheatreStandard,"3,757₹",40,6
Oman,MallOfOman,English,15:00,StandardPremium,962₹,26,0
Oman,MallOfOman,English,15:00,Standard,785₹,21,2
SaudiArabia,HailSquareHail,English,15:00,Standard,873₹,91,0
SaudiArabia,HailSquareHail,English,15:00,StandardPremium,"1,092₹",91,0
SaudiArabia,TheEsplanadeRiyadh,English,15:00,StandardPremium,"1,092₹",32,11
SaudiArabia,TheEsplanadeRiyadh,English,15:00,Standard,873₹,32,2
Uae,MallOfTheEmirates,English,15:10,Standard,939₹,63,0
Uae,MallOfTheEmirates,English,15:10,StandardPremium,"1,163₹",50,5
Uae,MallOfTheEmirates,English,15:10,StandardPreferredView,"1,230₹",38,2
SaudiArabia,AtyafMallRiyadh,English,15:15,Standard,873₹,27,0
SaudiArabia,AtyafMallRiyadh,English,15:15,StandardPremium,"1,092₹",28,1
Uae,NationTowersAbuDhabi,English,15:15,StandardPremium,"1,453₹",36,7
Uae,NationTowersAbuDhabi,English,15:15,Standard,"1,028₹",36,0
Uae,NakheelMall,English,15:20,StandardPremium,"1,163₹",18,0
Uae,NakheelMall,English,15:20,StandardPreferredView,"1,230₹",15,4
Uae,CityCentreAlZahia,English,15:40,StandardPremium,"1,163₹",17,6
Uae,CityCentreAlZahia,English,15:40,Standard,939₹,25,6
Uae,WafiMallAtWafiCity,English,16:00,StandardPremium,"1,163₹",44,4
Uae,WafiMallAtWafiCity,English,16:00,Standard,939₹,50,1
Uae,WafiMallAtWafiCity,English,16:00,StandardPreferredView,"1,230₹",22,0
SaudiArabia,TheSpotSheikhJaberRiyadh,English,16:15,Standard,873₹,52,0
SaudiArabia,TheSpotSheikhJaberRiyadh,English,16:15,StandardPremium,"1,092₹",65,0
SaudiArabia,TheRoofRiyadh,English,16:30,StandardPremium,"1,092₹",32,9
SaudiArabia,TheRoofRiyadh,English,16:30,Standard,873₹,20,5
SaudiArabia,RedSeaMallJeddah,English,16:50,StandardPremium,"1,092₹",66,29
SaudiArabia,RedSeaMallJeddah,English,16:50,Standard,873₹,60,6
SaudiArabia,RiyadhFrontRiyadh,English,17:00,StandardPremium,"1,092₹",31,24
SaudiArabia,RiyadhFrontRiyadh,English,17:00,Standard,873₹,18,13
Oman,CityCentreSuhar,English,17:00,KidsVip,672₹,44,4
SaudiArabia,RiyadhParkRiyadh,English,17:15,StandardPremium,"1,092₹",34,16
SaudiArabia,RiyadhParkRiyadh,English,17:15,Standard,873₹,41,5
SaudiArabia,TabukParkTabuk,English,17:15,Standard,"1,201₹",20,6
SaudiArabia,TabukParkTabuk,English,17:15,StandardPremium,"1,419₹",29,9
Uae,CityCentreMirdif,English,17:40,StandardPremium,"1,163₹",42,0
Uae,CityCentreMirdif,English,17:40,Standard,939₹,70,0
