Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,AlQasrMallRiyadh,Telugu,08:30,StandardPremium,"1,380₹",18,0
SaudiArabia,AlQasrMallRiyadh,Telugu,08:30,Standard,"1,167₹",18,0
Oman,CityCentreSuhar,Hindi,09:30,Standard,653₹,50,0
Oman,CityCentreSuhar,Hindi,09:30,StandardPremium,763₹,28,0
Uae,WafiMallAtWafiCity,Hindi,11:00,Standard,798₹,52,0
Uae,WafiMallAtWafiCity,Hindi,11:00,StandardPremium,"1,042₹",91,0
Uae,CityCentreShindagha,Hindi,11:35,Standard,798₹,94,0
Uae,CityCentreShindagha,Hindi,11:35,StandardPremium,"1,042₹",37,0
Uae,CityCentreSharjah,Hindi,11:40,Standard,798₹,43,0
Uae,CityCentreSharjah,Hindi,11:40,StandardPremium,"1,042₹",35,0
Uae,CityCentreAlZahia,Hindi,11:45,StandardPremium,"1,042₹",19,4
Uae,CityCentreAlZahia,Hindi,11:45,Standard,798₹,24,0
Uae,CityCentreDeira,Hindi,11:45,Standard,798₹,84,1
Uae,CityCentreDeira,Hindi,11:45,StandardPremium,"1,042₹",51,0
Uae,CityCentreDeira,Telugu,11:55,Standard,795₹,84,0
Uae,CityCentreDeira,Telugu,11:55,StandardPremium,"1,038₹",51,0
Uae,Burjuman,Hindi,12:05,StandardPremium,"1,043₹",110,9
Uae,Burjuman,Hindi,12:05,Standard,798₹,80,5
Uae,CityCentreAjman,Hindi,12:30,Standard,874₹,78,0
Uae,CityCentreAjman,Hindi,12:30,StandardPremium,"1,130₹",52,2
Oman,Ruwi,Hindi,12:30,Standard,630₹,429,391
Oman,Ruwi,Hindi,12:30,StandardPremium,501₹,396,2
Oman,Azaiba,Hindi,13:00,Standard,588₹,129,2
SaudiArabia,AlQasrMallRiyadh,Telugu,14:30,StandardPremium,"1,380₹",18,0
SaudiArabia,AlQasrMallRiyadh,Telugu,14:30,Standard,"1,168₹",18,0
Uae,CityCentreSharjah,Telugu,14:30,StandardPremium,912₹,70,1
Uae,CityCentreShindagha,Telugu,14:40,Standard,798₹,94,3
Uae,CityCentreShindagha,Telugu,14:40,StandardPremium,"1,043₹",37,0
Uae,CityCentreDeira,Hindi,15:00,Standard,798₹,84,2
Uae,CityCentreDeira,Hindi,15:00,StandardPremium,"1,043₹",51,2
Uae,Burjuman,Hindi,15:10,StandardPremium,"1,043₹",110,11
Uae,Burjuman,Hindi,15:10,Standard,798₹,80,2
Oman,CityCentreSuhar,Hindi,15:15,Standard,653₹,50,0
Oman,CityCentreSuhar,Hindi,15:15,StandardPremium,763₹,28,0
Uae,Burjuman,Hindi,15:40,VipPremium,"1,369₹",50,3
Uae,MegaplexCineplexGrandHyatt,Hindi,15:50,Standard,798₹,60,0
Uae,MegaplexCineplexGrandHyatt,Hindi,15:50,StandardPremium,"1,043₹",70,0
Oman,SuharPlaza,Hindi,16:00,Standard,501₹,196,3
Oman,Salalah,Hindi,16:50,Standard,435₹,108,0
Oman,Salalah,Hindi,16:50,StandardPremium,653₹,112,9
Uae,MallOfTheEmirates,Hindi,17:15,StandardPremium,"1,043₹",48,8
Uae,Burjuman,Telugu,17:35,Standard,798₹,38,2
Uae,CityCentreSharjah,Telugu,17:35,StandardPremium,912₹,70,0
Uae,CityCentreSharjah,Hindi,17:45,Standard,798₹,43,0
Uae,CityCentreSharjah,Hindi,17:45,StandardPremium,"1,043₹",35,0
Uae,CityCentreShindagha,Hindi,17:45,Standard,798₹,94,0
Uae,CityCentreShindagha,Hindi,17:45,StandardPremium,"1,043₹",37,0
Uae,CityCentreDeira,Hindi,18:05,Standard,798₹,84,0
Uae,CityCentreDeira,Hindi,18:05,StandardPremium,"1,043₹",51,4
Uae,CityCentreShindagha,Telugu,18:10,Standard,798₹,67,0
Uae,CityCentreShindagha,Telugu,18:10,StandardPremium,"1,043₹",24,0
Uae,Burjuman,Hindi,18:15,StandardPremium,"1,043₹",110,5
Uae,Burjuman,Hindi,18:15,Standard,798₹,80,6
Uae,CityCentreAjman,Hindi,18:30,Standard,870₹,78,0
Uae,CityCentreAjman,Hindi,18:30,StandardPremium,"1,125₹",52,0
Uae,CityCentreAlZahia,Hindi,18:30,StandardPremium,"1,043₹",19,3
Uae,CityCentreAlZahia,Hindi,18:30,Standard,798₹,24,2
Uae,MallOfTheEmirates,Hindi,18:45,StandardPremium,912₹,47,6
Uae,CityCentreDeira,Hindi,19:00,GoldStandard,"2,053₹",32,2
Uae,MegaplexCineplexGrandHyatt,Hindi,19:00,Standard,798₹,60,0
Uae,MegaplexCineplexGrandHyatt,Hindi,19:00,StandardPremium,"1,043₹",70,0
Oman,Azaiba,Hindi,19:00,Standard,588₹,129,0
Oman,Salalah,Hindi,19:00,Standard,435₹,106,1
Oman,Salalah,Hindi,19:00,StandardPremium,653₹,112,4
Uae,CityCentreShindagha,Hindi,19:10,Standard,798₹,31,7
Uae,CityCentreShindagha,Hindi,19:10,StandardPremium,"1,043₹",14,0
Uae,CityCentreMirdif,Hindi,19:25,StandardPremium,"1,043₹",29,0
Uae,CityCentreMirdif,Hindi,19:25,Standard,798₹,25,3
Oman,Ruwi,Hindi,19:30,StandardPremium,501₹,98,3
SaudiArabia,AlQasrMallRiyadh,Telugu,20:30,StandardPremium,"1,380₹",18,0
SaudiArabia,AlQasrMallRiyadh,Telugu,20:30,Standard,"1,168₹",18,0
