Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,TownSquareJeddah,Egyptian,07:00,StandardPremium,"1,369₹",20,0
SaudiArabia,TownSquareJeddah,Egyptian,07:00,Standard,"1,158₹",26,1
SaudiArabia,AlQasrMallRiyadh,Egyptian,07:45,StandardPremium,"1,369₹",18,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,07:45,Standard,"1,158₹",18,0
Bahrain,CityCentreBahrain,Egyptian,08:15,Standard,819₹,113,0
Qatar,DohaOasis,Egyptian,09:45,Standard,978₹,43,0
SaudiArabia,TownSquareJeddah,Egyptian,11:15,StandardPremium,"1,369₹",20,0
SaudiArabia,TownSquareJeddah,Egyptian,11:15,Standard,"1,158₹",26,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,11:45,StandardPremium,"1,369₹",18,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,11:45,Standard,"1,158₹",18,0
Qatar,DohaOasis,Egyptian,11:50,Standard,978₹,43,0
Uae,YasMallAbuDhabi,Egyptian,13:30,Standard,865₹,25,0
Uae,YasMallAbuDhabi,Egyptian,13:30,StandardPremium,"1,103₹",18,0
SaudiArabia,AtyafMallRiyadh,Egyptian,13:30,Standard,"1,163₹",27,0
SaudiArabia,AtyafMallRiyadh,Egyptian,13:30,StandardPremium,"1,374₹",28,0
Bahrain,CityCentreBahrain,Egyptian,13:45,Standard,822₹,113,0
Qatar,DohaFestivalCity,Egyptian,13:55,Standard,873₹,24,2
Qatar,DohaFestivalCity,Egyptian,13:55,StandardPremium,"1,091₹",31,3
Uae,CityCentreMirdif,Egyptian,14:15,StandardPremium,"1,044₹",20,0
Uae,CityCentreMirdif,Egyptian,14:15,Standard,799₹,25,0
Oman,MallOfOman,Egyptian,15:20,StandardPremium,932₹,26,0
Oman,MallOfOman,Egyptian,15:20,Standard,760₹,19,0
SaudiArabia,TownSquareJeddah,Egyptian,15:35,StandardPremium,"1,374₹",20,0
SaudiArabia,TownSquareJeddah,Egyptian,15:35,Standard,"1,163₹",26,0
Uae,YasMallAbuDhabi,Egyptian,15:45,Standard,865₹,25,0
Uae,YasMallAbuDhabi,Egyptian,15:45,StandardPremium,"1,103₹",18,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,15:45,StandardPremium,"1,374₹",18,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,15:45,Standard,"1,163₹",18,3
Qatar,DohaOasis,Egyptian,16:10,Standard,982₹,43,0
Kuwait,TheAvenuesKuwait,Egyptian,16:35,StandardPremiumFamily,"1,158₹",15,3
Kuwait,TheAvenuesKuwait,Egyptian,16:35,StandardStandardFamily,901₹,10,0
Kuwait,TheAvenuesKuwait,Egyptian,16:35,StandardPremiumBachelor,"1,158₹",12,3
Kuwait,TheAvenuesKuwait,Egyptian,16:35,StandardStandardBachelor,901₹,10,2
Uae,CityCentreFujairah,Egyptian,16:45,Standard,795₹,48,0
Uae,CityCentreFujairah,Egyptian,16:45,StandardPremium,"1,039₹",49,0
SaudiArabia,AtyafMallRiyadh,Egyptian,17:45,Standard,"1,163₹",27,0
SaudiArabia,AtyafMallRiyadh,Egyptian,17:45,StandardPremium,"1,374₹",28,0
Uae,YasMallAbuDhabi,Egyptian,18:00,Standard,865₹,25,0
Uae,YasMallAbuDhabi,Egyptian,18:00,StandardPremium,"1,103₹",18,0
Uae,CityCentreMirdif,Egyptian,18:40,StandardPremium,"1,044₹",20,0
Uae,CityCentreMirdif,Egyptian,18:40,Standard,799₹,25,0
Oman,MallOfOman,Egyptian,18:55,StandardPremium,928₹,26,0
Oman,MallOfOman,Egyptian,18:55,Standard,757₹,19,0
Uae,CityCentreFujairah,Egyptian,19:00,Standard,795₹,48,0
Uae,CityCentreFujairah,Egyptian,19:00,StandardPremium,"1,039₹",49,0
Bahrain,CityCentreBahrain,Egyptian,19:15,Standard,822₹,113,0
SaudiArabia,AlQasrMallRiyadh,Egyptian,19:45,StandardPremium,"1,374₹",18,2
SaudiArabia,AlQasrMallRiyadh,Egyptian,19:45,Standard,"1,163₹",18,0
SaudiArabia,TownSquareJeddah,Egyptian,19:55,StandardPremium,"1,377₹",20,0
SaudiArabia,TownSquareJeddah,Egyptian,19:55,Standard,"1,165₹",26,0
Kuwait,TheAvenuesKuwait,Egyptian,21:05,StandardPremiumFamily,"1,158₹",15,5
Kuwait,TheAvenuesKuwait,Egyptian,21:05,StandardStandardFamily,901₹,10,0
Kuwait,TheAvenuesKuwait,Egyptian,21:05,StandardPremiumBachelor,"1,158₹",12,5
Kuwait,TheAvenuesKuwait,Egyptian,21:05,StandardStandardBachelor,901₹,10,1
Kuwait,TheAvenuesKuwait,Egyptian,21:20,StandardPremiumFamily,"1,162₹",15,0
Kuwait,TheAvenuesKuwait,Egyptian,21:20,StandardStandardFamily,903₹,8,0
Kuwait,TheAvenuesKuwait,Egyptian,21:20,StandardPremiumBachelor,"1,162₹",16,1
Kuwait,TheAvenuesKuwait,Egyptian,21:20,StandardStandardBachelor,903₹,7,0
SaudiArabia,TownSquareJeddah,Egyptian,22:00,StandardPremium,"1,377₹",20,0
SaudiArabia,TownSquareJeddah,Egyptian,22:00,Standard,"1,165₹",26,0
