Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,MegaplexCineplexGrandHyatt,Kannada,10:25,Standard,795₹,39,0
Uae,MegaplexCineplexGrandHyatt,Kannada,10:25,StandardPremium,"1,038₹",61,1
Uae,CityCentreShindagha,Kannada,11:00,Standard,799₹,93,0
Uae,CityCentreShindagha,Kannada,11:00,StandardPremium,"1,044₹",31,0
Uae,CityCentreDeira,Kannada,11:25,Standard,795₹,54,0
Uae,CityCentreDeira,Kannada,11:25,StandardPremium,"1,038₹",50,0
Uae,CityCentreSharjah,Kannada,12:30,StandardPremium,909₹,70,0
Oman,Azaiba,Kannada,13:00,Standard,584₹,97,5
Uae,MegaplexCineplexGrandHyatt,Kannada,13:45,Standard,792₹,39,0
Uae,MegaplexCineplexGrandHyatt,Kannada,13:45,StandardPremium,"1,034₹",61,7
Uae,Burjuman,Kannada,14:25,Standard,792₹,48,5
Uae,MegaplexCineplexGrandHyatt,Kannada,14:45,Standard,799₹,39,0
Uae,MegaplexCineplexGrandHyatt,Kannada,14:45,StandardPremium,"1,044₹",61,0
Oman,Ruwi,Kannada,15:30,Standard,625₹,27,0
Uae,Burjuman,Kannada,17:30,StandardPremium,913₹,43,2
Uae,CityCentreShindagha,Kannada,17:50,Standard,799₹,93,0
Uae,CityCentreShindagha,Kannada,17:50,StandardPremium,"1,044₹",31,0
Uae,CityCentreDeira,Kannada,18:45,Standard,792₹,93,0
Uae,CityCentreDeira,Kannada,18:45,StandardPremium,"1,034₹",88,1
Uae,Burjuman,Kannada,19:15,StandardPremium,905₹,43,4
Uae,CityCentreSharjah,Kannada,19:20,StandardPremium,905₹,70,0
Uae,CityCentreShindagha,Kannada,19:20,Standard,792₹,31,0
Uae,CityCentreShindagha,Kannada,19:20,StandardPremium,"1,034₹",14,0
