Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreDeira,Punjabi,10:45,Standard,796₹,54,4
Uae,CityCentreDeira,Punjabi,10:45,StandardPremium,"1,040₹",50,0
Uae,CityCentreDeira,Punjabi,13:10,Standard,796₹,35,0
Uae,Burjuman,Punjabi,13:20,Standard,796₹,38,2
Oman,SuharPlaza,Punjabi,14:15,Standard,500₹,160,6
Uae,Burjuman,Punjabi,15:15,StandardPremium,910₹,43,2
Uae,MegaplexCineplexGrandHyatt,Punjabi,15:30,Standard,796₹,36,4
Uae,MegaplexCineplexGrandHyatt,Punjabi,15:30,StandardPremium,"1,040₹",58,2
Uae,Burjuman,Punjabi,15:40,VipPremium,"1,366₹",50,16
Oman,Ruwi,Punjabi,15:45,Standard,629₹,27,2
Uae,CityCentreDeira,Punjabi,16:05,Standard,796₹,35,9
Uae,Burjuman,Punjabi,18:15,StandardPremium,910₹,43,9
Uae,Burjuman,Punjabi,18:35,VipPremium,"1,366₹",50,16
Oman,Azaiba,Punjabi,19:05,Standard,587₹,97,4
Uae,MegaplexCineplexGrandHyatt,Punjabi,19:10,Standard,796₹,60,4
Uae,MegaplexCineplexGrandHyatt,Punjabi,19:10,StandardPremium,"1,040₹",70,0
Uae,Burjuman,Punjabi,19:20,Standard,796₹,38,3
Uae,CityCentreDeira,Punjabi,19:30,StandardPremium,"1,040₹",37,3
Uae,Burjuman,Punjabi,19:35,Standard,796₹,31,9
