Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,Tagalog,01:00,KidsPremium,"1,166₹",38,0
Uae,CityCentreDeira,Tagalog,08:00,MaxCity1016Standard,651₹,153,5
Uae,CityCentreDeira,Tagalog,08:00,MaxCity1016Premium,651₹,210,20
Uae,Burjuman,Tagalog,08:00,StandardPremium,651₹,134,4
Uae,Burjuman,Tagalog,08:00,Standard,651₹,86,0
Uae,CityCentreSharjah,Tagalog,09:15,Standard,651₹,40,0
Uae,CityCentreSharjah,Tagalog,09:15,StandardVip,651₹,26,1
Uae,TheGalleriaAlMaryahIsland,Tagalog,09:15,StandardPremium,651₹,29,0
Uae,TheGalleriaAlMaryahIsland,Tagalog,09:15,Standard,651₹,26,0
Uae,MallOfTheEmirates,Tagalog,09:30,Standard,651₹,70,9
Uae,MallOfTheEmirates,Tagalog,09:30,StandardPremium,651₹,69,6
SaudiArabia,AlQasrMallRiyadh,Tagalog,10:15,StandardPremium,"1,378₹",32,0
SaudiArabia,AlQasrMallRiyadh,Tagalog,10:15,Standard,"1,166₹",32,0
Qatar,DohaFestivalCity,Tagalog,10:15,Standard,656₹,24,0
Qatar,DohaFestivalCity,Tagalog,10:15,StandardPremium,656₹,31,3
SaudiArabia,RiyadhParkRiyadh,Tagalog,10:30,VipPremium,"1,697₹",34,12
Uae,CityCentreDeira,Tagalog,10:30,MaxCity1016Standard,651₹,153,5
Uae,CityCentreDeira,Tagalog,10:30,MaxCity1016Premium,651₹,210,21
Uae,Burjuman,Tagalog,10:30,StandardPremium,651₹,134,4
Uae,Burjuman,Tagalog,10:30,Standard,651₹,86,0
Oman,CityCentreMuscat,Tagalog,11:15,Standard,621₹,36,0
Uae,CityCentreDeira,Tagalog,11:15,Standard,651₹,93,0
Uae,CityCentreDeira,Tagalog,11:15,StandardPremium,651₹,88,2
SaudiArabia,TownSquareJeddah,Tagalog,11:20,StandardPremium,"1,378₹",20,5
SaudiArabia,TownSquareJeddah,Tagalog,11:20,Standard,"1,166₹",26,2
Uae,Burjuman,Tagalog,11:25,VipPremium,"1,367₹",50,1
Uae,TheGalleriaAlMaryahIsland,Tagalog,11:45,StandardPremium,651₹,29,0
Uae,TheGalleriaAlMaryahIsland,Tagalog,11:45,Standard,651₹,26,0
Uae,MallOfTheEmirates,Tagalog,12:00,Standard,651₹,70,0
Uae,MallOfTheEmirates,Tagalog,12:00,StandardPremium,651₹,69,4
Kuwait,TheAvenuesKuwait,Tagalog,12:30,StandardPremiumFamily,"1,160₹",15,2
Kuwait,TheAvenuesKuwait,Tagalog,12:30,StandardStandardFamily,902₹,10,3
Kuwait,TheAvenuesKuwait,Tagalog,12:30,StandardPremiumBachelor,"1,160₹",12,3
Kuwait,TheAvenuesKuwait,Tagalog,12:30,StandardStandardBachelor,902₹,10,0
Uae,CityCentreDeira,Tagalog,13:00,MaxCity1016Standard,651₹,153,5
Uae,CityCentreDeira,Tagalog,13:00,MaxCity1016Premium,651₹,210,22
Uae,Burjuman,Tagalog,13:00,StandardPremium,651₹,134,4
Uae,Burjuman,Tagalog,13:00,Standard,651₹,86,0
Uae,CityCentreDeira,Tagalog,13:45,Standard,797₹,93,17
Uae,CityCentreDeira,Tagalog,13:45,StandardPremium,"1,041₹",88,3
Uae,AbuDhabiMallAbuDhabi,Tagalog,14:00,Standard,868₹,104,11
Uae,AbuDhabiMallAbuDhabi,Tagalog,14:00,StandardPremium,"1,106₹",64,3
Uae,CityCentreSharjah,Tagalog,14:20,Standard,797₹,40,13
Uae,CityCentreSharjah,Tagalog,14:20,StandardVip,"1,041₹",26,6
Uae,MallOfTheEmirates,Tagalog,14:30,Standard,797₹,70,11
Uae,MallOfTheEmirates,Tagalog,14:30,StandardPremium,"1,041₹",69,10
Uae,AlJimiMall,Tagalog,14:30,StandardVip,"1,106₹",46,2
Uae,AlJimiMall,Tagalog,14:30,Standard,868₹,46,11
Uae,CityCentreMirdif,Tagalog,14:45,StandardPremium,"1,041₹",29,2
Uae,CityCentreMirdif,Tagalog,14:45,Standard,797₹,25,2
SaudiArabia,AlQasrMallRiyadh,Tagalog,15:00,StandardPremium,"1,378₹",32,22
SaudiArabia,AlQasrMallRiyadh,Tagalog,15:00,Standard,"1,166₹",32,10
SaudiArabia,SaharaMallRiyadh,Tagalog,15:00,Standard,"1,166₹",32,28
SaudiArabia,SaharaMallRiyadh,Tagalog,15:00,StandardPremium,"1,378₹",38,31
Qatar,DohaFestivalCity,Tagalog,15:00,Standard,875₹,24,6
Qatar,DohaFestivalCity,Tagalog,15:00,StandardPremium,"1,094₹",31,20
Uae,CityCentreDeira,Tagalog,15:30,MaxCity1016Standard,868₹,153,12
Uae,CityCentreDeira,Tagalog,15:30,MaxCity1016Premium,"1,253₹",210,61
Uae,CityCentreDeira,Tagalog,15:30,MaxCity1016Lounger,797₹,19,0
Uae,Burjuman,Tagalog,15:30,StandardPremium,"1,041₹",134,32
Uae,Burjuman,Tagalog,15:30,Standard,797₹,86,14
SaudiArabia,TownSquareJeddah,Tagalog,16:00,StandardPremium,"1,378₹",20,8
SaudiArabia,TownSquareJeddah,Tagalog,16:00,Standard,"1,166₹",26,19
Oman,CityCentreMuscat,Tagalog,16:00,Standard,652₹,36,4
Uae,AbuDhabiMallAbuDhabi,Tagalog,16:25,Standard,868₹,104,21
Uae,AbuDhabiMallAbuDhabi,Tagalog,16:25,StandardPremium,"1,106₹",64,11
Uae,Burjuman,Tagalog,16:30,VipPremium,"1,367₹",50,5
Uae,MallOfTheEmirates,Tagalog,17:00,Standard,797₹,70,22
Uae,MallOfTheEmirates,Tagalog,17:00,StandardPremium,"1,041₹",69,42
SaudiArabia,RiyadhParkRiyadh,Tagalog,17:30,VipPremium,"1,697₹",34,32
SaudiArabia,AlQasrMallRiyadh,Tagalog,19:45,StandardPremium,424₹,32,18
SaudiArabia,AlQasrMallRiyadh,Tagalog,19:45,Standard,424₹,32,1
SaudiArabia,RiyadhParkRiyadh,Tagalog,21:45,KidsPremium,"1,166₹",38,3
