Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Qatar,DohaOasis,English,08:00,Standard,"1,004₹",43,0
Egypt,MallOfEgypt,English,09:30,Standard,455₹,37,0
Egypt,MallOfEgypt,English,09:30,StandardPremium,497₹,30,4
Qatar,DohaOasis,English,10:45,Standard,"1,004₹",43,0
Oman,CityCentreSuhar,English,11:30,Standard,664₹,56,0
Oman,CityCentreSuhar,English,11:30,StandardPremium,776₹,39,4
Qatar,DohaFestivalCity,English,12:00,Standard,892₹,22,0
Qatar,DohaFestivalCity,English,12:00,StandardPremium,"1,115₹",37,3
Egypt,MallOfEgypt,English,12:15,Standard,455₹,37,0
Egypt,MallOfEgypt,English,12:15,StandardPremium,497₹,30,4
Egypt,CityCentreAlmaza,English,12:15,StandardPremium,497₹,42,5
Qatar,DohaOasis,English,13:30,Standard,"1,004₹",43,0
Egypt,MallOfEgypt,English,15:00,Standard,455₹,37,0
Egypt,MallOfEgypt,English,15:00,StandardPremium,497₹,30,4
Oman,Shatti,English,15:25,Standard,664₹,185,0
Kuwait,TheAvenuesKuwait,English,16:15,StandardPremiumFamily,"1,179₹",15,4
Kuwait,TheAvenuesKuwait,English,16:15,StandardStandardFamily,917₹,10,0
Kuwait,TheAvenuesKuwait,English,16:15,StandardPremiumBachelor,"1,179₹",12,3
Kuwait,TheAvenuesKuwait,English,16:15,StandardStandardBachelor,917₹,10,0
Qatar,DohaOasis,English,16:15,Standard,"1,004₹",43,0
Oman,CityCentreMuscat,English,16:20,Standard,664₹,36,2
Oman,CityCentreSuhar,English,16:30,Standard,664₹,56,0
Oman,CityCentreSuhar,English,16:30,StandardPremium,776₹,39,4
Qatar,DohaFestivalCity,English,16:40,Standard,892₹,22,0
Qatar,DohaFestivalCity,English,16:40,StandardPremium,"1,115₹",37,3
Egypt,MallOfEgypt,English,17:45,Standard,455₹,37,0
Egypt,MallOfEgypt,English,17:45,StandardPremium,497₹,30,4
Egypt,CityCentreAlmaza,English,17:45,StandardPremium,497₹,42,5
Oman,MallOfOman,English,18:00,StandardPremium,951₹,26,0
Oman,MallOfOman,English,18:00,Standard,776₹,21,0
Oman,Sur,English,18:00,Standard,510₹,252,4
Kuwait,TheAvenuesKuwait,English,18:55,StandardPremiumFamily,"1,179₹",15,1
Kuwait,TheAvenuesKuwait,English,18:55,StandardStandardFamily,917₹,10,0
Kuwait,TheAvenuesKuwait,English,18:55,StandardPremiumBachelor,"1,179₹",12,1
Kuwait,TheAvenuesKuwait,English,18:55,StandardStandardBachelor,917₹,10,0
Qatar,DohaOasis,English,19:00,Standard,"1,004₹",43,0
Oman,SuharPlaza,English,19:30,Standard,510₹,196,4
Egypt,MallOfEgypt,English,20:30,Standard,455₹,37,0
Egypt,MallOfEgypt,English,20:30,StandardPremium,497₹,30,4
Kuwait,TheAvenuesKuwait,English,21:35,StandardPremiumFamily,"1,179₹",15,0
Kuwait,TheAvenuesKuwait,English,21:35,StandardStandardFamily,917₹,10,0
Kuwait,TheAvenuesKuwait,English,21:35,StandardPremiumBachelor,"1,179₹",12,1
Kuwait,TheAvenuesKuwait,English,21:35,StandardStandardBachelor,917₹,10,0
