Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Oman,CityCentreSuhar,Malayalam,07:00,Standard,572₹,35,0
Oman,CityCentreSuhar,Malayalam,07:00,StandardPremium,572₹,9,2
Uae,Burjuman,Malayalam,08:45,VipPremium,"1,398₹",50,4
Uae,CityCentreAjman,Malayalam,09:00,Standard,"1,021₹",96,0
Uae,CityCentreAjman,Malayalam,09:00,StandardPremium,"1,243₹",42,0
Uae,CityCentreAjman,Malayalam,09:00,StandardPreferredView,"1,309₹",18,0
Uae,CityCentreSharjah,Malayalam,09:00,Standard,932₹,40,1
Uae,CityCentreSharjah,Malayalam,09:00,StandardPremium,"1,154₹",25,0
Uae,CityCentreSharjah,Malayalam,09:00,StandardPreferredView,"1,221₹",11,0
Uae,CityCentreDeira,Malayalam,09:30,Standard,932₹,93,2
Uae,CityCentreDeira,Malayalam,09:30,StandardPremium,"1,154₹",56,2
Uae,CityCentreDeira,Malayalam,09:30,StandardPreferredView,"1,221₹",32,0
Uae,CityCentreShindagha,Malayalam,09:40,Standard,932₹,31,0
Uae,CityCentreShindagha,Malayalam,09:40,StandardPremium,"1,154₹",14,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,09:45,Standard,932₹,207,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,09:45,StandardPremium,"1,154₹",69,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,09:45,StandardPreferredView,"1,221₹",24,0
Uae,CityCentreSharjah,Malayalam,10:00,VipPremium,"1,398₹",48,0
Oman,SuharPlaza,Malayalam,10:55,Standard,513₹,160,5
Uae,MegaplexCineplexGrandHyatt,Malayalam,11:05,Standard,932₹,39,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,11:05,StandardPremium,"1,154₹",44,2
Uae,MegaplexCineplexGrandHyatt,Malayalam,11:05,StandardPreferredView,"1,221₹",17,0
Uae,CityCentreShindagha,Malayalam,11:55,Standard,932₹,93,2
Uae,CityCentreShindagha,Malayalam,11:55,StandardPremium,"1,154₹",21,1
Uae,CityCentreShindagha,Malayalam,11:55,StandardPreferredView,"1,221₹",10,0
Uae,CityCentreAjman,Malayalam,12:00,Standard,"1,021₹",96,0
Uae,CityCentreAjman,Malayalam,12:00,StandardPremium,"1,243₹",42,0
Uae,CityCentreAjman,Malayalam,12:00,StandardPreferredView,"1,309₹",18,0
Uae,CityCentreSharjah,Malayalam,12:05,Standard,939₹,40,4
Uae,CityCentreSharjah,Malayalam,12:05,StandardPremium,"1,163₹",25,2
Uae,CityCentreSharjah,Malayalam,12:05,StandardPreferredView,"1,230₹",11,0
Uae,CityCentreDeira,Malayalam,12:30,Standard,939₹,93,0
