Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Oman,CityCentreMuscat,English,08:10,Standard,668₹,36,2
Uae,AlHamraMallRasAlKhaimah,English,08:15,Standard,819₹,29,0
Uae,AlHamraMallRasAlKhaimah,English,08:15,StandardPremium,"1,070₹",21,0
Oman,CityCentreQurum,English,09:45,Standard,781₹,43,0
Oman,CityCentreQurum,English,09:45,StandardPremium,957₹,48,4
Uae,WafiMallAtWafiCity,English,10:15,StandardPremium,"1,070₹",66,0
Uae,WafiMallAtWafiCity,English,10:15,Standard,819₹,50,0
Uae,CityCentreAlZahia,English,10:45,StandardPremium,"1,070₹",17,0
Uae,CityCentreAlZahia,English,10:45,Standard,819₹,25,0
Oman,CityCentreSuhar,English,11:15,Standard,668₹,50,0
Oman,CityCentreSuhar,English,11:15,StandardPremium,780₹,28,4
Uae,CityCentreFujairah,English,11:30,Standard,819₹,48,0
Uae,CityCentreFujairah,English,11:30,StandardPremium,"1,070₹",49,0
Uae,MallOfTheEmirates,English,11:40,StandardPremium,"1,070₹",48,4
Uae,TheGalleriaAlMaryahIsland,English,11:40,StandardPremium,"1,137₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,11:40,Standard,892₹,20,0
Oman,Shatti,English,12:45,Standard,668₹,185,0
Uae,CityCentreMirdif,English,13:20,StandardPremium,"1,070₹",20,0
Uae,CityCentreMirdif,English,13:20,Standard,819₹,25,0
Oman,MallOfOman,English,13:30,StandardPremium,956₹,26,0
Oman,MallOfOman,English,13:30,Standard,780₹,21,0
Uae,YasMallAbuDhabi,English,13:50,Standard,892₹,39,1
Uae,YasMallAbuDhabi,English,13:50,StandardPremium,"1,137₹",40,3
Uae,CityCentreFujairah,English,14:30,Standard,819₹,38,0
Uae,CityCentreFujairah,English,14:30,StandardPremium,"1,070₹",36,0
Uae,AlHamraMallRasAlKhaimah,English,15:00,Standard,819₹,29,0
Uae,AlHamraMallRasAlKhaimah,English,15:00,StandardPremium,"1,070₹",21,0
Oman,CityCentreMuscat,English,15:00,Standard,668₹,36,2
Oman,CityCentreQurum,English,15:30,Standard,781₹,43,0
Oman,CityCentreQurum,English,15:30,StandardPremium,957₹,48,4
Uae,YasMallAbuDhabi,English,16:10,Standard,892₹,39,1
Uae,YasMallAbuDhabi,English,16:10,StandardPremium,"1,137₹",40,3
Oman,CityCentreSuhar,English,16:15,Standard,668₹,50,0
Oman,CityCentreSuhar,English,16:15,StandardPremium,780₹,28,4
Uae,TheGalleriaAlMaryahIsland,English,16:40,StandardPremium,"1,137₹",25,0
Uae,TheGalleriaAlMaryahIsland,English,16:40,Standard,892₹,20,0
Uae,CityCentreAlZahia,English,17:15,StandardPremium,"1,070₹",17,0
Uae,CityCentreAlZahia,English,17:15,Standard,819₹,25,0
Oman,MallOfOman,English,18:00,StandardPremium,956₹,26,0
Oman,MallOfOman,English,18:00,Standard,780₹,21,0
Uae,CityCentreFujairah,English,18:15,Standard,819₹,38,0
Uae,CityCentreFujairah,English,18:15,StandardPremium,"1,070₹",36,0
Uae,MallOfTheEmirates,English,18:45,StandardPremium,"1,070₹",48,4
Uae,WafiMallAtWafiCity,English,19:15,StandardPremium,"1,070₹",66,0
Uae,WafiMallAtWafiCity,English,19:15,Standard,819₹,50,0
Uae,CityCentreMirdif,English,19:45,StandardPremium,"1,070₹",20,0
Uae,CityCentreMirdif,English,19:45,Standard,819₹,25,0
