Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhParkRiyadh,English,00:55,VipStandard,"1,736₹",30,0
SaudiArabia,RedSeaMallJeddah,English,05:35,VipPremium,"1,741₹",48,0
SaudiArabia,RedSeaMallJeddah,English,05:35,VipWheelchairSpace,"1,741₹",2,2
SaudiArabia,TownSquareJeddah,English,06:30,VipPremium,"1,736₹",46,2
SaudiArabia,TheRoofRiyadh,English,07:45,StandardPremium,"1,410₹",32,0
SaudiArabia,TheRoofRiyadh,English,07:45,Standard,"1,193₹",20,1
SaudiArabia,RiyadhFrontRiyadh,English,08:00,StandardPremium,"1,410₹",31,2
SaudiArabia,RiyadhFrontRiyadh,English,08:00,Standard,"1,193₹",16,2
Qatar,DohaOasis,English,08:00,Standard,"1,008₹",45,1
SaudiArabia,RedSeaMallJeddah,English,08:10,VipPremium,"1,736₹",48,3
SaudiArabia,RedSeaMallJeddah,English,08:10,VipWheelchairSpace,"1,736₹",2,2
SaudiArabia,RiyadhParkRiyadh,English,08:15,VipStandard,"1,736₹",30,2
Oman,CityCentreMuscat,English,08:30,Standard,667₹,36,2
Oman,MallOfOman,English,08:30,StandardPremium,955₹,26,0
Oman,MallOfOman,English,08:30,Standard,779₹,21,1
Kuwait,TheAvenuesKuwait,English,08:50,StandardPremiumFamily,"1,185₹",54,0
Kuwait,TheAvenuesKuwait,English,08:50,StandardPremiumBachelor,"1,185₹",54,1
Kuwait,TheAvenuesKuwait,English,08:50,StandardStandardFamily,"1,053₹",44,0
Kuwait,TheAvenuesKuwait,English,08:50,StandardStandardBachelor,"1,053₹",49,0
Bahrain,VoxCinemasTheAvenues,English,09:00,Standard,951₹,41,0
Bahrain,VoxCinemasTheAvenues,English,09:00,StandardPremium,"1,189₹",25,0
Lebanon,CityCentreBeirut,English,09:00,Standard,"4,584₹",40,1
Lebanon,CityCentreBeirut,English,09:00,StandardVip,"5,123₹",27,1
SaudiArabia,TownSquareJeddah,English,09:00,VipPremium,"1,736₹",46,0
Qatar,DohaFestivalCity,English,10:15,Standard,896₹,22,0
Qatar,DohaFestivalCity,English,10:15,StandardPremium,"1,120₹",37,3
Uae,MallOfTheEmirates,English,10:30,StandardPremium,"1,066₹",48,8
Uae,TheGalleriaAlMaryahIsland,English,10:30,StandardPremium,"1,132₹",25,4
Uae,TheGalleriaAlMaryahIsland,English,10:30,Standard,888₹,20,0
SaudiArabia,RiyadhFrontRiyadh,English,10:30,StandardPremium,"1,410₹",31,1
SaudiArabia,RiyadhFrontRiyadh,English,10:30,Standard,"1,193₹",16,2
Uae,YasMallAbuDhabi,English,10:35,Standard,888₹,40,3
Uae,YasMallAbuDhabi,English,10:35,StandardPremium,"1,132₹",49,7
Uae,CityCentreAlZahia,English,10:45,StandardPremium,"1,066₹",19,1
Uae,CityCentreAlZahia,English,10:45,Standard,816₹,24,2
Uae,MallOfTheEmirates,English,10:45,TheatreStandard,"3,731₹",34,11
SaudiArabia,RedSeaMallJeddah,English,10:45,VipPremium,"1,736₹",48,0
SaudiArabia,RedSeaMallJeddah,English,10:45,VipWheelchairSpace,"1,736₹",2,2
Qatar,DohaOasis,English,10:45,Standard,"1,008₹",45,0
Oman,CityCentreQurum,English,11:00,Standard,779₹,47,0
Oman,CityCentreQurum,English,11:00,StandardPremium,955₹,47,11
SaudiArabia,KingdomCentreRiyadh,English,11:00,VipStandard,"3,255₹",30,9
