Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,AlQasrMallRiyadh,Tamil,07:30,StandardPremium,"1,414₹",67,0
SaudiArabia,AlQasrMallRiyadh,Tamil,07:30,Standard,"1,197₹",52,0
Uae,CityCentreDeira,Tamil,09:30,Standard,819₹,93,0
Uae,CityCentreDeira,Tamil,09:30,StandardPremium,"1,070₹",88,0
Oman,CityCentreSuhar,Tamil,09:45,Standard,669₹,56,0
Oman,CityCentreSuhar,Tamil,09:45,StandardPremium,782₹,39,4
Bahrain,CityCentreBahrain,Tamil,09:55,Standard,845₹,110,1
Uae,CityCentreSharjah,Tamil,10:00,Standard,819₹,40,0
Uae,CityCentreSharjah,Tamil,10:00,StandardPremium,"1,070₹",36,2
Uae,Burjuman,Tamil,10:45,Standard,818₹,48,3
Oman,Mgm,Tamil,10:45,StandardPremium,892₹,38,0
Oman,Mgm,Tamil,10:45,Standard,782₹,35,2
Oman,MallOfOman,Tamil,10:55,StandardPremium,958₹,26,0
Oman,MallOfOman,Tamil,10:55,Standard,782₹,21,0
Uae,CityCentreAlZahia,Tamil,11:00,StandardPremium,"1,069₹",32,0
Uae,CityCentreAlZahia,Tamil,11:00,Standard,818₹,25,1
Uae,MegaplexCineplexGrandHyatt,Tamil,11:00,Standard,818₹,96,0
Uae,MegaplexCineplexGrandHyatt,Tamil,11:00,StandardPremium,"1,069₹",104,0
Oman,Azaiba,Tamil,11:00,Standard,603₹,102,2
Uae,Burjuman,Tamil,11:40,Standard,818₹,31,3
Uae,CityCentreDeira,Tamil,12:15,Standard,816₹,93,2
Uae,CityCentreDeira,Tamil,12:15,StandardPremium,"1,066₹",88,0
Oman,Ruwi,Tamil,12:15,Standard,645₹,27,0
Oman,CityCentreSuhar,Tamil,12:30,Standard,572₹,56,0
Oman,CityCentreSuhar,Tamil,12:30,StandardPremium,572₹,39,4
Uae,CityCentreSharjah,Tamil,12:45,Standard,819₹,40,0
Uae,CityCentreSharjah,Tamil,12:45,StandardPremium,"1,070₹",36,2
Uae,Burjuman,Tamil,13:30,Standard,816₹,48,4
Uae,MegaplexCineplexGrandHyatt,Tamil,13:45,Standard,816₹,96,2
Uae,MegaplexCineplexGrandHyatt,Tamil,13:45,StandardPremium,"1,066₹",104,0
SaudiArabia,AlQasrMallRiyadh,Tamil,13:45,StandardPremium,"1,410₹",67,0
SaudiArabia,AlQasrMallRiyadh,Tamil,13:45,Standard,"1,193₹",52,0
Oman,SuharPlaza,Tamil,14:05,Standard,512₹,160,7
Uae,CityCentreShindagha,Tamil,14:15,Standard,819₹,94,0
Uae,CityCentreShindagha,Tamil,14:15,StandardPremium,"1,070₹",37,0
Oman,Salalah,Tamil,14:15,Standard,445₹,101,0
Oman,Salalah,Tamil,14:15,StandardPremium,668₹,92,0
Bahrain,CityCentreBahrain,Tamil,14:25,Standard,845₹,110,1
SaudiArabia,AtyafMallRiyadh,Tamil,14:30,Standard,"1,193₹",27,0
SaudiArabia,AtyafMallRiyadh,Tamil,14:30,StandardPremium,"1,410₹",28,0
Uae,CityCentreDeira,Tamil,15:00,Standard,819₹,93,0
Uae,CityCentreDeira,Tamil,15:00,StandardPremium,"1,070₹",88,0
Oman,Shatti,Tamil,15:00,Standard,667₹,185,0
Oman,CityCentreSuhar,Tamil,15:15,Standard,668₹,56,0
Oman,CityCentreSuhar,Tamil,15:15,StandardPremium,781₹,39,4
Uae,CityCentreSharjah,Tamil,15:30,Standard,819₹,40,0
Uae,CityCentreSharjah,Tamil,15:30,StandardPremium,"1,070₹",36,2
Uae,CityCentreSharjah,Tamil,15:30,Standard,816₹,40,1
Uae,CityCentreSharjah,Tamil,15:30,StandardPremium,"1,066₹",36,2
Oman,Mgm,Tamil,16:00,StandardPremium,889₹,38,2
Oman,Mgm,Tamil,16:00,Standard,779₹,35,8
Oman,Sur,Tamil,16:00,Standard,512₹,167,5
Oman,MallOfOman,Tamil,16:10,StandardPremium,955₹,26,0
Oman,MallOfOman,Tamil,16:10,Standard,779₹,21,0
Uae,Burjuman,Tamil,16:15,Standard,816₹,48,9
Uae,CityCentreAjman,Tamil,16:30,StandardPremium,"1,154₹",44,0
Uae,MegaplexCineplexGrandHyatt,Tamil,16:30,Standard,816₹,96,0
Uae,MegaplexCineplexGrandHyatt,Tamil,16:30,StandardPremium,"1,066₹",104,2
Uae,CityCentreSharjah,Tamil,16:35,Standard,816₹,40,0
Uae,CityCentreSharjah,Tamil,16:35,StandardVip,"1,066₹",26,2
Oman,Azaiba,Tamil,16:35,Standard,602₹,102,4
Oman,NizwaGrandMall,Tamil,16:35,Standard,572₹,48,0
Oman,NizwaGrandMall,Tamil,16:35,StandardPremium,572₹,49,3
Uae,CityCentreShindagha,Tamil,17:00,Standard,816₹,94,2
Uae,CityCentreShindagha,Tamil,17:00,StandardPremium,"1,066₹",37,0
Oman,CityCentreSuhar,Tamil,18:00,Standard,668₹,56,0
Oman,CityCentreSuhar,Tamil,18:00,StandardPremium,781₹,39,4
Uae,Burjuman,Tamil,18:15,Standard,816₹,31,6
Uae,CityCentreDeira,Tamil,18:15,Standard,816₹,93,7
Uae,CityCentreDeira,Tamil,18:15,StandardPremium,"1,066₹",88,6
Uae,CityCentreSharjah,Tamil,18:15,Standard,819₹,40,0
Uae,CityCentreSharjah,Tamil,18:15,StandardPremium,"1,070₹",36,2
Uae,CityCentreSharjah,Tamil,18:15,Standard,816₹,40,0
Uae,CityCentreSharjah,Tamil,18:15,StandardPremium,"1,066₹",36,2
Uae,CityCentreAlZahia,Tamil,18:20,KidsPremium,932₹,33,0
Uae,Burjuman,Tamil,19:00,Standard,816₹,48,3
Bahrain,CityCentreBahrain,Tamil,19:00,Standard,845₹,110,1
Oman,Ruwi,Tamil,19:00,Standard,645₹,27,0
Uae,CityCentreShindagha,Tamil,19:00,Standard,816₹,31,0
Uae,CityCentreShindagha,Tamil,19:00,StandardPremium,"1,066₹",14,0
Uae,CityCentreAjman,Tamil,19:15,StandardPremium,"1,154₹",44,0
Uae,MegaplexCineplexGrandHyatt,Tamil,19:15,Standard,816₹,96,2
Uae,MegaplexCineplexGrandHyatt,Tamil,19:15,StandardPremium,"1,066₹",104,5
Uae,CityCentreShindagha,Tamil,19:45,Standard,819₹,94,0
Uae,CityCentreShindagha,Tamil,19:45,StandardPremium,"1,070₹",37,0
Oman,Azaiba,Tamil,19:45,Standard,601₹,102,0
SaudiArabia,AlQasrMallRiyadh,Tamil,20:00,StandardPremium,"1,410₹",67,0
SaudiArabia,AlQasrMallRiyadh,Tamil,20:00,Standard,"1,193₹",52,0
SaudiArabia,AtyafMallRiyadh,Tamil,20:45,Standard,"1,193₹",27,0
SaudiArabia,AtyafMallRiyadh,Tamil,20:45,StandardPremium,"1,410₹",28,0
