Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreDeira,Malayalam,12:00,Standard,792₹,125,0
Uae,CityCentreDeira,Malayalam,12:00,StandardPremium,"1,034₹",84,2
Uae,MegaplexCineplexGrandHyatt,Malayalam,14:35,Standard,799₹,39,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,14:35,StandardPremium,"1,044₹",61,0
Uae,CityCentreSharjah,Malayalam,15:45,Standard,795₹,43,0
Uae,CityCentreSharjah,Malayalam,15:45,StandardPremium,"1,039₹",35,0
Uae,Burjuman,Malayalam,18:10,Standard,795₹,41,6
Uae,CityCentreDeira,Malayalam,18:50,Standard,795₹,125,1
Uae,CityCentreDeira,Malayalam,18:50,StandardPremium,"1,039₹",84,0
Uae,CityCentreSharjah,Malayalam,18:50,Standard,795₹,43,0
Uae,CityCentreSharjah,Malayalam,18:50,StandardPremium,"1,039₹",35,2
