Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,RiyadhFrontRiyadh,English,00:00,VipPremium,"1,696₹",30,2
SaudiArabia,TheRoofRiyadh,English,00:30,StandardPremium,"1,380₹",57,1
SaudiArabia,TheRoofRiyadh,English,00:30,Standard,"1,168₹",41,0
SaudiArabia,RedSeaMallJeddah,English,04:35,ImaxPremium,"2,017₹",151,6
SaudiArabia,RedSeaMallJeddah,English,04:35,ImaxStandard,"1,805₹",106,2
SaudiArabia,RedSeaMallJeddah,English,04:35,ImaxLounger,"2,230₹",14,0
SaudiArabia,RedSeaMallJeddah,English,05:55,GoldStandard,"2,336₹",48,0
SaudiArabia,RiyadhFrontRiyadh,English,06:00,VipPremium,"1,699₹",30,6
SaudiArabia,RiyadhFrontRiyadh,English,06:30,GoldStandard,"3,186₹",32,3
SaudiArabia,RiyadhParkRiyadh,English,07:15,ImaxStandard,"1,486₹",210,2
SaudiArabia,TownSquareJeddah,English,07:15,IceImmersivePremium,"1,593₹",147,3
SaudiArabia,KingdomCentreRiyadh,English,08:05,VipStandard,"3,186₹",30,1
SaudiArabia,KingdomCentreRiyadh,English,08:15,VipStandard,"3,186₹",24,0
SaudiArabia,RiyadhFrontRiyadh,English,08:15,MaxPremium,"1,911₹",146,4
SaudiArabia,RiyadhFrontRiyadh,English,08:15,MaxStandard,"1,699₹",125,0
SaudiArabia,RiyadhFrontRiyadh,English,08:15,MaxLounger,"2,124₹",10,0
SaudiArabia,WestAvenueMallDammam,English,08:20,MaxPremium,"1,911₹",98,0
SaudiArabia,WestAvenueMallDammam,English,08:20,MaxStandard,"1,699₹",126,0
SaudiArabia,AlQasrMallRiyadh,English,08:30,StandardPremium,"1,380₹",52,0
SaudiArabia,AlQasrMallRiyadh,English,08:30,Standard,"1,168₹",51,2
SaudiArabia,TheRoofRiyadh,English,09:00,StandardPremium,"1,380₹",57,1
SaudiArabia,TheRoofRiyadh,English,09:00,Standard,"1,168₹",41,0
Oman,MallOfOman,English,09:00,StandardPremium,935₹,26,0
Oman,MallOfOman,English,09:00,Standard,762₹,19,0
Egypt,CityCentreAlmaza,English,09:15,StandardPremium,497₹,37,5
Egypt,CityCentreAlmaza,English,09:15,Standard,455₹,50,0
Kuwait,TheAvenuesKuwait,English,09:20,HubStandard,"2,584₹",60,0
Bahrain,CityCentreBahrain,English,09:30,ImaxStandard,"1,058₹",188,0
Bahrain,CityCentreBahrain,English,09:30,ImaxPremium,"1,291₹",183,0
SaudiArabia,TheRoofRiyadh,English,09:30,VipPremium,"1,699₹",48,0
Lebanon,CityCentreBeirut,English,09:40,Standard,"4,490₹",40,5
Lebanon,CityCentreBeirut,English,09:40,StandardVip,"5,018₹",28,2
Bahrain,CityCentreBahrain,English,09:45,Standard,825₹,130,1
Kuwait,TheAvenuesKuwait,English,09:50,MaxPremium,"1,292₹",236,17
SaudiArabia,AlQasrMallRiyadh,English,10:00,MaxPremium,"1,911₹",88,0
SaudiArabia,AlQasrMallRiyadh,English,10:00,MaxStandard,"1,699₹",60,0
SaudiArabia,AlQasrMallRiyadh,English,10:00,MaxLounger,"2,124₹",8,0
Uae,CityCentreMirdif,English,10:00,StandardPremium,"1,043₹",128,11
Uae,CityCentreMirdif,English,10:00,Standard,798₹,133,1
Uae,TheGalleriaAlMaryahIsland,English,10:00,StandardPremium,"1,108₹",60,0
