Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,HailSquareHail,English,00:00,Standard,"1,169₹",91,7
SaudiArabia,HailSquareHail,English,00:00,StandardPremium,"1,382₹",91,0
SaudiArabia,TownSquareJeddah,English,00:00,KidsPremium,"1,169₹",41,0
SaudiArabia,TownSquareJeddah,English,00:00,KidsLounger,"1,169₹",6,0
SaudiArabia,TheRoofRiyadh,English,00:00,StandardPremium,"1,382₹",45,5
SaudiArabia,TheRoofRiyadh,English,00:00,Standard,"1,169₹",32,0
SaudiArabia,RiyadhFrontRiyadh,English,00:30,StandardPremium,"1,382₹",65,7
SaudiArabia,RiyadhFrontRiyadh,English,00:30,Standard,"1,169₹",70,10
SaudiArabia,RedSeaMallJeddah,English,00:59,StandardPremium,"1,382₹",92,17
SaudiArabia,RedSeaMallJeddah,English,00:59,Standard,"1,169₹",68,7
SaudiArabia,RedSeaMallJeddah,English,00:59,StandardWheelchairSpace,"1,169₹",3,0
SaudiArabia,RiyadhFrontRiyadh,English,01:45,GoldStandard,"3,189₹",12,3
SaudiArabia,AlQasrMallRiyadh,English,06:00,StandardPremium,"1,382₹",46,2
SaudiArabia,AlQasrMallRiyadh,English,06:00,Standard,"1,169₹",44,3
Bahrain,CityCentreBahrain,English,09:00,Standard,826₹,197,8
Egypt,CityCentreAlmaza,English,09:30,StandardPremium,497₹,42,5
Uae,YasMallAbuDhabi,English,10:15,Standard,870₹,31,0
Uae,YasMallAbuDhabi,English,10:15,StandardPremium,"1,109₹",49,5
Egypt,MallOfEgypt,English,10:15,Standard,455₹,81,2
Egypt,MallOfEgypt,English,10:15,StandardVip,497₹,31,4
SaudiArabia,KingdomCentreRiyadh,English,10:30,VipStandard,"3,189₹",30,7
Lebanon,CityCentreBeirut,English,10:35,Standard,"4,490₹",70,4
Lebanon,CityCentreBeirut,English,10:35,StandardVip,"5,019₹",43,6
Qatar,DohaOasis,English,11:00,CouchSingleSeaterPremium,"1,646₹",92,2
Qatar,DohaOasis,English,11:00,CouchSingleSeaterStandard,"1,426₹",51,0
SaudiArabia,AtyafMallRiyadh,English,11:15,Vip,"1,701₹",30,0
Bahrain,CityCentreBahrain,English,11:15,Standard,826₹,197,23
Uae,CityCentreFujairah,English,11:45,Standard,799₹,58,0
Uae,CityCentreFujairah,English,11:45,StandardPremium,"1,044₹",40,3
Uae,YasMallAbuDhabi,English,12:00,Standard,866₹,80,8
Uae,YasMallAbuDhabi,English,12:00,StandardPremium,"1,104₹",112,17
Oman,CityCentreQurum,English,12:30,Standard,760₹,42,6
Oman,CityCentreQurum,English,12:30,StandardPremium,932₹,53,5
SaudiArabia,TheRoofRiyadh,English,12:35,VipPremium,"1,693₹",48,4
SaudiArabia,JubailGalleriaMallJubail,English,12:40,Standard,"1,376₹",85,5
Uae,CityCentreMirdif,English,12:45,StandardPremium,"1,039₹",71,31
Uae,CityCentreMirdif,English,12:45,Standard,796₹,70,28
Egypt,MallOfEgypt,English,12:45,Standard,452₹,81,2
Egypt,MallOfEgypt,English,12:45,StandardVip,494₹,31,12
Lebanon,CityCentreBeirut,English,12:50,Standard,"4,468₹",70,5
Lebanon,CityCentreBeirut,English,12:50,StandardVip,"4,994₹",43,8
SaudiArabia,AlQasrMallRiyadh,English,13:00,StandardPremium,"1,376₹",46,6
SaudiArabia,AlQasrMallRiyadh,English,13:00,Standard,"1,164₹",44,2
SaudiArabia,KingdomCentreRiyadh,English,13:00,VipStandard,"3,176₹",30,3
SaudiArabia,SaharaMallRiyadh,English,13:15,Standard,"1,164₹",56,3
SaudiArabia,SaharaMallRiyadh,English,13:15,StandardPremium,"1,376₹",52,6
Oman,MallOfOman,English,13:15,StandardPremium,932₹,26,14
Oman,MallOfOman,English,13:15,Standard,760₹,21,10
SaudiArabia,RiyadhFrontRiyadh,English,13:30,StandardPremium,"1,376₹",65,6
SaudiArabia,RiyadhFrontRiyadh,English,13:30,Standard,"1,164₹",70,9
Bahrain,CityCentreBahrain,English,13:30,Standard,823₹,197,20
Uae,TheGalleriaAlMaryahIsland,English,13:40,TheatreStandard,"3,899₹",32,5
Qatar,DohaOasis,English,13:45,VipStandard,"3,824₹",20,5
Uae,CityCentreAlZahia,English,14:15,StandardPremium,"1,039₹",25,20
Uae,CityCentreAlZahia,English,14:15,Standard,796₹,40,34
SaudiArabia,SaharaMallRiyadh,English,14:25,GoldStandard,"2,329₹",30,6
SaudiArabia,RiyadhFrontRiyadh,English,14:30,GoldStandard,"3,176₹",32,7
Egypt,CityCentreAlmaza,English,14:30,StandardPremium,494₹,42,34
SaudiArabia,RedSeaMallJeddah,English,14:45,StandardPremium,"1,376₹",92,39
SaudiArabia,RedSeaMallJeddah,English,14:45,Standard,"1,164₹",68,11
SaudiArabia,RedSeaMallJeddah,English,14:45,StandardWheelchairSpace,"1,164₹",3,0
Uae,YasMallAbuDhabi,English,14:45,Standard,866₹,31,5
Uae,YasMallAbuDhabi,English,14:45,StandardPremium,"1,104₹",49,32
SaudiArabia,TheEsplanadeRiyadh,English,15:00,StandardPremium,"1,376₹",89,22
SaudiArabia,TheEsplanadeRiyadh,English,15:00,Standard,"1,164₹",66,8
Uae,TheGalleriaAlMaryahIsland,English,15:00,StandardPremium,"1,104₹",60,15
Uae,TheGalleriaAlMaryahIsland,English,15:00,Standard,866₹,66,14
Oman,MallOfOman,English,15:00,StandardPremium,932₹,26,21
Oman,MallOfOman,English,15:00,Standard,760₹,21,12
Lebanon,CityCentreBeirut,English,15:05,Standard,"4,468₹",70,3
Lebanon,CityCentreBeirut,English,15:05,StandardVip,"4,994₹",43,11
SaudiArabia,WestAvenueMallDammam,English,15:15,StandardPremium,"1,376₹",84,18
