Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreDeira,Malayalam,07:00,Standard,799₹,93,0
Uae,CityCentreDeira,Malayalam,07:00,StandardPremium,"1,044₹",88,0
Uae,CityCentreSharjah,Malayalam,08:15,Standard,799₹,73,0
Uae,CityCentreSharjah,Malayalam,08:15,StandardPremium,"1,044₹",52,2
Uae,CityCentreMirdif,Malayalam,08:30,StandardPremium,"1,044₹",128,10
Uae,CityCentreMirdif,Malayalam,08:30,Standard,799₹,133,0
Uae,CityCentreDeira,Malayalam,08:45,MaxCity1016Standard,870₹,153,5
Uae,CityCentreDeira,Malayalam,08:45,MaxCity1016Premium,"1,256₹",210,20
Uae,CityCentreDeira,Malayalam,08:45,MaxCity1016Lounger,799₹,19,0
Uae,MallOfTheEmirates,Malayalam,08:50,Standard,799₹,45,2
Uae,MallOfTheEmirates,Malayalam,08:50,StandardPremium,"1,044₹",46,4
Uae,Burjuman,Malayalam,09:00,StandardPremium,"1,044₹",110,4
Uae,Burjuman,Malayalam,09:00,Standard,799₹,80,0
Uae,CityCentreAlZahia,Malayalam,09:00,StandardPremium,"1,044₹",107,0
Uae,CityCentreAlZahia,Malayalam,09:00,Standard,799₹,79,0
Uae,CityCentreSharjah,Malayalam,09:00,Standard,799₹,79,0
Uae,CityCentreSharjah,Malayalam,09:00,StandardPremium,"1,044₹",67,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,09:00,Standard,798₹,207,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,09:00,StandardPremium,"1,043₹",89,1
Uae,CityCentreShindagha,Malayalam,09:15,Standard,799₹,94,0
Uae,CityCentreShindagha,Malayalam,09:15,StandardPremium,"1,044₹",37,0
Uae,WafiMallAtWafiCity,Malayalam,09:15,Standard,799₹,56,0
Uae,WafiMallAtWafiCity,Malayalam,09:15,StandardPremium,"1,044₹",64,0
Oman,Azaiba,Malayalam,09:20,Standard,586₹,129,4
Oman,CityCentreQurum,Malayalam,09:30,Standard,760₹,53,0
Oman,CityCentreQurum,Malayalam,09:30,StandardPremium,932₹,59,4
Uae,CityCentreAjman,Malayalam,09:45,MaxStandard,957₹,180,0
Uae,CityCentreAjman,Malayalam,09:45,MaxPremium,"1,251₹",189,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:00,Standard,799₹,96,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:00,StandardPremium,"1,044₹",104,0
Uae,Burjuman,Malayalam,10:45,VipPremium,"1,370₹",50,1
Oman,Mgm,Malayalam,10:45,StandardPremium,868₹,17,0
Oman,Mgm,Malayalam,10:45,Standard,760₹,32,2
SaudiArabia,AlQasrMallRiyadh,Malayalam,10:45,StandardPremium,"1,376₹",45,0
SaudiArabia,AlQasrMallRiyadh,Malayalam,10:45,Standard,"1,164₹",46,0
Oman,NizwaGrandMall,Malayalam,11:15,Standard,651₹,24,0
Oman,NizwaGrandMall,Malayalam,11:15,StandardPremium,760₹,20,3
Bahrain,CityCentreBahrain,Malayalam,11:30,Standard,823₹,108,1
Uae,CityCentreAlZahia,Malayalam,11:30,StandardPremium,"1,039₹",73,8
Uae,CityCentreAlZahia,Malayalam,11:30,Standard,796₹,79,1
