Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,MegaplexCineplexGrandHyatt,Malayalam,07:00,Standard,797₹,39,9
Uae,MegaplexCineplexGrandHyatt,Malayalam,07:00,StandardPremium,"1,041₹",61,16
Uae,CityCentreShindagha,Malayalam,08:25,Standard,797₹,101,2
Uae,CityCentreShindagha,Malayalam,08:25,StandardPremium,"1,041₹",42,3
Uae,CityCentreSharjah,Malayalam,09:15,StandardPremium,911₹,70,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:05,Standard,797₹,60,1
Uae,MegaplexCineplexGrandHyatt,Malayalam,10:05,StandardPremium,"1,041₹",70,10
Uae,CityCentreDeira,Malayalam,10:50,Standard,797₹,96,62
Uae,CityCentreDeira,Malayalam,10:50,StandardPremium,"1,041₹",57,55
Uae,Burjuman,Malayalam,11:25,Standard,797₹,41,36
Uae,CityCentreShindagha,Malayalam,11:35,Standard,797₹,31,24
Uae,CityCentreShindagha,Malayalam,11:35,StandardPremium,"1,041₹",14,13
Uae,MegaplexCineplexGrandHyatt,Malayalam,12:40,Standard,797₹,39,12
Uae,MegaplexCineplexGrandHyatt,Malayalam,12:40,StandardPremium,"1,041₹",61,45
Uae,CityCentreSharjah,Malayalam,13:45,Standard,797₹,45,28
Uae,CityCentreSharjah,Malayalam,13:45,StandardPremium,"1,041₹",35,33
Uae,CityCentreShindagha,Malayalam,14:10,Standard,797₹,93,54
Uae,CityCentreShindagha,Malayalam,14:10,StandardPremium,"1,041₹",31,20
Oman,Azaiba,Malayalam,14:10,Standard,588₹,102,1
Uae,Burjuman,Malayalam,14:15,Standard,797₹,41,26
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:40,Standard,797₹,60,20
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:40,StandardPremium,"1,041₹",70,23
Oman,Ruwi,Malayalam,16:00,Standard,629₹,27,0
Oman,NizwaGrandMall,Malayalam,16:10,Standard,652₹,28,3
Oman,NizwaGrandMall,Malayalam,16:10,StandardPremium,761₹,30,0
Uae,CityCentreDeira,Malayalam,16:30,Standard,797₹,96,53
Uae,CityCentreDeira,Malayalam,16:30,StandardPremium,"1,041₹",57,47
Oman,SuharPlaza,Malayalam,16:30,Standard,501₹,160,0
Uae,CityCentreShindagha,Malayalam,16:55,Standard,797₹,93,26
Uae,CityCentreShindagha,Malayalam,16:55,StandardPremium,"1,041₹",31,3
Uae,Burjuman,Malayalam,17:00,Standard,797₹,41,28
Uae,MegaplexCineplexGrandHyatt,Malayalam,18:25,Standard,797₹,60,10
Uae,MegaplexCineplexGrandHyatt,Malayalam,18:25,StandardPremium,"1,041₹",70,4
Uae,CityCentreDeira,Malayalam,19:15,Standard,797₹,96,7
Uae,CityCentreDeira,Malayalam,19:15,StandardPremium,"1,041₹",57,7
Uae,CityCentreSharjah,Malayalam,19:20,Standard,797₹,45,7
Uae,CityCentreSharjah,Malayalam,19:20,StandardPremium,"1,041₹",35,2
Uae,CityCentreShindagha,Malayalam,19:40,Standard,797₹,93,11
Uae,CityCentreShindagha,Malayalam,19:40,StandardPremium,"1,041₹",31,2
