Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreSharjah,Malayalam,10:45,Standard,796₹,45,1
Uae,CityCentreSharjah,Malayalam,10:45,StandardPremium,"1,040₹",35,2
Uae,CityCentreSharjah,Malayalam,10:45,VipPremium,"1,366₹",40,0
Uae,CityCentreSharjah,Malayalam,11:15,Standard,796₹,73,0
Uae,CityCentreSharjah,Malayalam,11:15,StandardPremium,"1,040₹",52,2
Uae,CityCentreDeira,Malayalam,11:30,Standard,796₹,125,6
Uae,CityCentreDeira,Malayalam,11:30,StandardPremium,"1,040₹",84,2
Uae,CityCentreShindagha,Malayalam,11:30,Standard,796₹,93,3
Uae,CityCentreShindagha,Malayalam,11:30,StandardPremium,"1,040₹",31,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,11:30,Standard,796₹,60,1
Uae,MegaplexCineplexGrandHyatt,Malayalam,11:30,StandardPremium,"1,040₹",70,2
Uae,Burjuman,Malayalam,12:00,Standard,796₹,48,7
Uae,CityCentreSharjah,Malayalam,14:20,VipPremium,"1,366₹",40,1
Uae,CityCentreSharjah,Malayalam,14:45,Standard,796₹,73,5
Uae,CityCentreSharjah,Malayalam,14:45,StandardPremium,"1,040₹",52,8
Uae,CityCentreAjman,Malayalam,15:00,Standard,872₹,45,4
Uae,CityCentreAjman,Malayalam,15:00,StandardPremium,"1,127₹",29,0
Uae,CityCentreDeira,Malayalam,15:00,Standard,796₹,125,10
Uae,CityCentreDeira,Malayalam,15:00,StandardPremium,"1,040₹",84,0
Uae,CityCentreShindagha,Malayalam,15:00,Standard,796₹,93,13
Uae,CityCentreShindagha,Malayalam,15:00,StandardPremium,"1,040₹",31,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:00,Standard,796₹,60,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,15:00,StandardPremium,"1,040₹",70,0
Uae,Burjuman,Malayalam,15:30,Standard,796₹,48,14
Oman,Azaiba,Malayalam,15:40,Standard,587₹,97,15
Uae,CityCentreSharjah,Malayalam,17:15,Standard,796₹,45,9
Uae,CityCentreSharjah,Malayalam,17:15,StandardPremium,"1,040₹",35,8
Uae,CityCentreSharjah,Malayalam,17:50,VipPremium,"1,366₹",40,0
Uae,CityCentreSharjah,Malayalam,18:15,Standard,796₹,73,3
Uae,CityCentreSharjah,Malayalam,18:15,StandardPremium,"1,040₹",52,4
Uae,MegaplexCineplexGrandHyatt,Malayalam,18:25,Standard,796₹,36,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,18:25,StandardPremium,"1,040₹",58,0
Uae,CityCentreAjman,Malayalam,18:30,Standard,872₹,45,10
Uae,CityCentreAjman,Malayalam,18:30,StandardPremium,"1,127₹",29,1
Uae,CityCentreDeira,Malayalam,18:30,Standard,796₹,125,2
Uae,CityCentreDeira,Malayalam,18:30,StandardPremium,"1,040₹",84,2
Uae,CityCentreShindagha,Malayalam,18:30,Standard,796₹,93,2
Uae,CityCentreShindagha,Malayalam,18:30,StandardPremium,"1,040₹",31,0
Uae,MegaplexCineplexGrandHyatt,Malayalam,18:30,Standard,796₹,60,2
Uae,MegaplexCineplexGrandHyatt,Malayalam,18:30,StandardPremium,"1,040₹",70,5
Uae,Burjuman,Malayalam,19:00,Standard,796₹,48,7
Oman,Ruwi,Malayalam,19:00,StandardPremium,500₹,98,2
