Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreMirdif,Tamil,05:30,StandardPremium,"1,154₹",42,0
Uae,CityCentreMirdif,Tamil,05:30,Standard,932₹,70,0
Uae,CityCentreMirdif,Tamil,05:30,StandardPreferredView,"1,221₹",29,4
SaudiArabia,AlQasrMallRiyadh,Tamil,07:00,StandardPremium,"1,410₹",67,0
SaudiArabia,AlQasrMallRiyadh,Tamil,07:00,Standard,"1,193₹",52,1
SaudiArabia,AlQasrMallRiyadh,Tamil,07:45,StandardPremium,"1,410₹",56,0
SaudiArabia,AlQasrMallRiyadh,Tamil,07:45,Standard,"1,193₹",51,0
Uae,CityCentreDeira,Tamil,07:45,StandardPremium,"1,154₹",67,5
Uae,CityCentreDeira,Tamil,07:45,Standard,932₹,154,9
Uae,CityCentreDeira,Tamil,07:45,StandardPreferredView,"1,221₹",38,2
SaudiArabia,WestAvenueMallDammam,Tamil,08:00,StandardPremium,"1,410₹",84,2
SaudiArabia,WestAvenueMallDammam,Tamil,08:00,Standard,"1,193₹",77,0
Uae,Burjuman,Tamil,08:00,VipPremium,"1,398₹",50,0
Uae,CityCentreAjman,Tamil,08:00,MaxStandard,"1,087₹",103,2
Uae,CityCentreAjman,Tamil,08:00,MaxPremium,"1,443₹",198,0
Uae,CityCentreMirdif,Tamil,08:00,StandardPremium,"1,154₹",84,4
Uae,CityCentreMirdif,Tamil,08:00,Standard,932₹,133,7
Uae,CityCentreMirdif,Tamil,08:00,StandardPreferredView,"1,221₹",44,10
Uae,CityCentreSharjah,Tamil,08:00,MaxCity1016Standard,999₹,150,3
Uae,CityCentreSharjah,Tamil,08:00,MaxCity1016Premium,"1,332₹",144,8
Uae,CityCentreShindagha,Tamil,08:00,Standard,932₹,101,2
Uae,CityCentreShindagha,Tamil,08:00,StandardPremium,"1,154₹",29,0
Uae,CityCentreShindagha,Tamil,08:00,StandardPreferredView,"1,221₹",13,0
Uae,MallOfTheEmirates,Tamil,08:00,Standard,932₹,68,11
Uae,MallOfTheEmirates,Tamil,08:00,StandardPremium,"1,154₹",42,3
Uae,MallOfTheEmirates,Tamil,08:00,StandardPreferredView,"1,221₹",27,3
Uae,NakheelMall,Tamil,08:00,StandardPremium,"1,154₹",56,0
Uae,NakheelMall,Tamil,08:00,StandardPreferredView,"1,221₹",34,0
Uae,MallOfTheEmirates,Tamil,08:05,StandardPremium,"1,154₹",32,0
Uae,MallOfTheEmirates,Tamil,08:05,StandardPreferredView,"1,221₹",16,4
SaudiArabia,TownSquareJeddah,Tamil,08:30,StandardPremium,"1,410₹",58,0
SaudiArabia,TownSquareJeddah,Tamil,08:30,Standard,"1,193₹",80,0
Uae,Burjuman,Tamil,08:30,MaxCity1016Premium,"1,221₹",120,10
Uae,Burjuman,Tamil,08:30,MaxCity1016Standard,999₹,104,13
Uae,CityCentreSharjah,Malayalam,08:35,Standard,932₹,46,9
Uae,CityCentreDeira,Tamil,08:45,MaxCity1016WithLaserBalcony,"1,887₹",138,9
Uae,CityCentreDeira,Tamil,08:45,MaxCity1016WithLaserPremium,"1,443₹",148,0
Uae,CityCentreDeira,Tamil,08:45,MaxCity1016WithLaserStandard,999₹,212,7
Uae,CityCentreDeira,Tamil,08:45,MaxCity1016WithLaserLounger,999₹,28,0
Uae,CityCentreSharjah,Tamil,09:00,Standard,932₹,79,2
Uae,CityCentreSharjah,Tamil,09:00,StandardPremium,"1,154₹",47,0
Uae,CityCentreSharjah,Tamil,09:00,StandardPreferredView,"1,221₹",20,0
Uae,CityCentreShindagha,Tamil,09:00,Standard,932₹,67,4
Uae,CityCentreShindagha,Tamil,09:00,StandardPremium,"1,154₹",24,1
Uae,MegaplexCineplexGrandHyatt,Tamil,09:00,Standard,932₹,60,0
Uae,MegaplexCineplexGrandHyatt,Tamil,09:00,StandardPremium,"1,154₹",48,0
Uae,MegaplexCineplexGrandHyatt,Tamil,09:00,StandardPreferredView,"1,221₹",22,2
Uae,Burjuman,Tamil,09:15,StandardPremium,"1,154₹",93,0
Uae,Burjuman,Tamil,09:15,Standard,932₹,86,4
Uae,Burjuman,Tamil,09:15,StandardPreferredView,"1,221₹",41,0
Uae,Mercato,Tamil,09:15,Standard,932₹,54,2
Uae,Mercato,Tamil,09:15,StandardPremium,"1,332₹",64,0
Uae,CityCentreAjman,Tamil,09:20,Standard,"1,021₹",96,10
Uae,CityCentreAjman,Tamil,09:20,StandardPremium,"1,243₹",42,0
Uae,CityCentreAjman,Tamil,09:20,StandardPreferredView,"1,309₹",18,0
Uae,WafiMallAtWafiCity,Tamil,09:25,StandardPremium,"1,154₹",44,0
Uae,WafiMallAtWafiCity,Tamil,09:25,Standard,932₹,50,0
Uae,WafiMallAtWafiCity,Tamil,09:25,StandardPreferredView,"1,221₹",22,0
Uae,CityCentreSharjah,Tamil,10:00,VipPremium,"1,398₹",40,0
SaudiArabia,AlQasrMallRiyadh,Tamil,10:30,StandardPremium,"1,410₹",67,0
SaudiArabia,AlQasrMallRiyadh,Tamil,10:30,Standard,"1,193₹",52,0
Uae,CityCentreAlZahia,Tamil,10:30,StandardPremium,"1,154₹",25,4
Uae,CityCentreAlZahia,Tamil,10:30,Standard,932₹,40,4
Uae,MegaplexCineplexGrandHyatt,Tamil,10:30,Standard,932₹,207,9
