Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Uae,CityCentreDeira,Tamil,08:30,Standard,799₹,54,0
Uae,CityCentreDeira,Tamil,08:30,StandardPremium,"1,044₹",50,0
Uae,Burjuman,Tamil,09:30,VipPremium,"1,370₹",50,16
Oman,Azaiba,Tamil,10:20,Standard,590₹,97,0
Uae,MegaplexCineplexGrandHyatt,Tamil,10:30,Standard,799₹,60,0
Uae,MegaplexCineplexGrandHyatt,Tamil,10:30,StandardPremium,"1,044₹",70,0
Uae,CityCentreSharjah,Tamil,11:30,StandardPremium,913₹,46,0
Uae,Burjuman,Tamil,15:20,VipPremium,"1,366₹",50,19
Uae,MegaplexCineplexGrandHyatt,Tamil,16:20,Standard,799₹,60,0
Uae,MegaplexCineplexGrandHyatt,Tamil,16:20,StandardPremium,"1,044₹",70,0
Uae,CityCentreShindagha,Tamil,16:35,Standard,799₹,31,0
Uae,CityCentreShindagha,Tamil,16:35,StandardPremium,"1,044₹",14,0
Uae,CityCentreSharjah,Tamil,17:45,StandardPremium,913₹,46,0
Uae,Burjuman,Tamil,18:25,VipPremium,"1,366₹",50,19
Oman,Ruwi,Tamil,18:35,Standard,628₹,27,0
Uae,CityCentreDeira,Tamil,18:45,StandardPremium,"1,044₹",37,0
