Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
SaudiArabia,TheRoofRiyadh,Arabic,09:05,StandardPremium,"1,189₹",30,1
SaudiArabia,TheRoofRiyadh,Arabic,09:05,Standard,997₹,19,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,11:00,StandardPremium,"1,189₹",24,2
SaudiArabia,RiyadhFrontRiyadh,Arabic,11:00,Standard,997₹,32,0
SaudiArabia,AlQasrMallRiyadh,Arabic,11:30,StandardPremium,"1,189₹",27,0
SaudiArabia,AlQasrMallRiyadh,Arabic,11:30,Standard,997₹,26,0
SaudiArabia,RedSeaMallJeddah,Arabic,11:30,VipPremium,"1,443₹",48,0
SaudiArabia,RedSeaMallJeddah,Arabic,11:30,VipWheelchairSpace,"1,443₹",2,2
SaudiArabia,TabukParkTabuk,Arabic,13:00,Standard,998₹,20,0
SaudiArabia,TabukParkTabuk,Arabic,13:00,StandardPremium,"1,189₹",28,0
SaudiArabia,RiyadhParkRiyadh,Arabic,13:45,StandardPremium,"1,189₹",32,1
SaudiArabia,RiyadhParkRiyadh,Arabic,13:45,Standard,998₹,32,1
SaudiArabia,RiyadhFrontRiyadh,Arabic,15:10,StandardPremium,"1,189₹",31,1
SaudiArabia,RiyadhFrontRiyadh,Arabic,15:10,Standard,998₹,16,2
SaudiArabia,AlQasrMallRiyadh,Arabic,15:30,StandardPremium,"1,189₹",27,0
SaudiArabia,AlQasrMallRiyadh,Arabic,15:30,Standard,998₹,26,0
SaudiArabia,TownSquareJeddah,Arabic,15:35,StandardPremium,"1,189₹",20,4
SaudiArabia,TownSquareJeddah,Arabic,15:35,Standard,998₹,26,0
SaudiArabia,SaharaMallRiyadh,Arabic,17:30,Standard,998₹,32,0
SaudiArabia,SaharaMallRiyadh,Arabic,17:30,StandardPremium,"1,189₹",38,0
SaudiArabia,WestAvenueMallDammam,Arabic,17:35,StandardPremium,"1,189₹",84,1
SaudiArabia,WestAvenueMallDammam,Arabic,17:35,Standard,998₹,74,0
SaudiArabia,AtyafMallRiyadh,Arabic,18:15,Standard,998₹,19,0
SaudiArabia,AtyafMallRiyadh,Arabic,18:15,StandardPremium,"1,189₹",22,2
SaudiArabia,TheEsplanadeRiyadh,Arabic,19:30,StandardPremium,"1,189₹",32,0
SaudiArabia,TheEsplanadeRiyadh,Arabic,19:30,Standard,998₹,32,0
SaudiArabia,RiyadhFrontRiyadh,Arabic,20:00,StandardPremium,"1,189₹",31,2
SaudiArabia,RiyadhFrontRiyadh,Arabic,20:00,Standard,998₹,16,2
SaudiArabia,RiyadhParkRiyadh,Arabic,20:15,KidsPremium,"1,189₹",38,2
SaudiArabia,HailSquareHail,Arabic,23:00,Standard,998₹,26,0
SaudiArabia,HailSquareHail,Arabic,23:00,StandardPremium,"1,189₹",20,0
