Country,Name,Language,Time(UTC),Type,Price,Capacity,Booked
Kuwait,TheAvenuesKuwait,English,11:50,HubStandard,"2,634₹",60,2
Uae,CityCentreAlZahia,English,13:15,StandardPremium,"1,065₹",19,3
Uae,CityCentreAlZahia,English,13:15,Standard,815₹,24,0
Kuwait,TheAvenuesKuwait,English,14:20,StandardPremiumFamily,"1,185₹",15,6
Kuwait,TheAvenuesKuwait,English,14:20,StandardStandardFamily,"1,054₹",10,0
Kuwait,TheAvenuesKuwait,English,14:20,StandardPremiumBachelor,"1,185₹",12,7
Kuwait,TheAvenuesKuwait,English,14:20,StandardStandardBachelor,"1,054₹",10,0
Uae,TheGalleriaAlMaryahIsland,English,17:45,StandardPremium,"1,132₹",28,1
Uae,TheGalleriaAlMaryahIsland,English,17:45,Standard,888₹,16,0
SaudiArabia,SaharaMallRiyadh,English,22:30,Standard,"1,193₹",56,1
SaudiArabia,SaharaMallRiyadh,English,22:30,StandardPremium,"1,410₹",52,0
